HomeTeam,AwayTeam,FTHG,FTAG
Arsenal Sarandi,Union de Santa Fe,1,0
Velez Sarsfield,Argentinos Jrs,3,0
Racing Club,Atl. Rafaela,1,1
Colon Santa FE,Lanus,1,0
Quilmes,Boca Juniors,3,0
Newells Old Boys,Independiente,0,0
Godoy Cruz,All Boys,1,1
San Lorenzo,San Martin S.J.,2,1
River Plate,Belgrano,1,2
Tigre,Estudiantes L.P.,1,2
San Martin S.J.,Colon Santa FE,0,1
Lanus,Newells Old Boys,0,1
Estudiantes L.P.,River Plate,0,2
All Boys,Quilmes,1,1
Belgrano,San Lorenzo,0,0
Argentinos Jrs,Racing Club,0,2
Union de Santa Fe,Godoy Cruz,0,1
Boca Juniors,Tigre,2,0
Atl. Rafaela,Arsenal Sarandi,0,0
Independiente,Velez Sarsfield,0,0
Boca Juniors,All Boys,3,1
Colon Santa FE,Belgrano,2,2
San Lorenzo,Estudiantes L.P.,0,1
Racing Club,Independiente,2,0
Godoy Cruz,Atl. Rafaela,2,0
Velez Sarsfield,Lanus,0,2
Tigre,River Plate,2,3
Quilmes,Union de Santa Fe,2,1
Arsenal Sarandi,Argentinos Jrs,2,2
Newells Old Boys,San Martin S.J.,2,0
All Boys,Tigre,2,2
Union de Santa Fe,Boca Juniors,1,2
Argentinos Jrs,Godoy Cruz,2,1
Independiente,Arsenal Sarandi,0,2
Atl. Rafaela,Quilmes,1,1
Belgrano,Newells Old Boys,0,0
Lanus,Racing Club,1,1
San Martin S.J.,Velez Sarsfield,0,3
River Plate,San Lorenzo,0,0
Estudiantes L.P.,Colon Santa FE,1,2
All Boys,Union de Santa Fe,3,1
Newells Old Boys,Estudiantes L.P.,1,0
Arsenal Sarandi,Lanus,1,0
Velez Sarsfield,Belgrano,2,1
Tigre,San Lorenzo,1,1
Boca Juniors,Atl. Rafaela,2,1
Godoy Cruz,Independiente,2,1
Colon Santa FE,River Plate,1,1
Quilmes,Argentinos Jrs,0,1
Racing Club,San Martin S.J.,3,1
San Martin S.J.,Arsenal Sarandi,4,0
Atl. Rafaela,All Boys,2,1
Estudiantes L.P.,Velez Sarsfield,0,0
San Lorenzo,Colon Santa FE,2,1
Argentinos Jrs,Boca Juniors,1,1
Belgrano,Racing Club,1,0
Independiente,Quilmes,1,1
River Plate,Newells Old Boys,3,3
Union de Santa Fe,Tigre,1,1
Lanus,Godoy Cruz,2,0
Tigre,Colon Santa FE,2,2
All Boys,Argentinos Jrs,0,1
Godoy Cruz,San Martin S.J.,1,0
Racing Club,Estudiantes L.P.,0,1
Boca Juniors,Independiente,2,1
Newells Old Boys,San Lorenzo,1,0
Arsenal Sarandi,Belgrano,0,2
Velez Sarsfield,River Plate,2,0
Union de Santa Fe,Atl. Rafaela,0,0
Quilmes,Lanus,0,0
Belgrano,Godoy Cruz,1,0
Atl. Rafaela,Tigre,3,0
Argentinos Jrs,Union de Santa Fe,3,3
San Lorenzo,Velez Sarsfield,1,2
Independiente,All Boys,1,1
River Plate,Racing Club,0,1
Colon Santa FE,Newells Old Boys,1,2
San Martin S.J.,Quilmes,4,0
Lanus,Boca Juniors,2,0
Estudiantes L.P.,Arsenal Sarandi,2,1
Quilmes,Belgrano,1,1
All Boys,Lanus,2,1
Godoy Cruz,Estudiantes L.P.,1,0
Atl. Rafaela,Argentinos Jrs,5,3
Racing Club,San Lorenzo,4,0
Arsenal Sarandi,River Plate,0,4
Tigre,Newells Old Boys,0,0
Union de Santa Fe,Independiente,1,2
Velez Sarsfield,Colon Santa FE,2,4
Boca Juniors,San Martin S.J.,1,1
Lanus,Union de Santa Fe,2,0
Argentinos Jrs,Tigre,0,0
San Martin S.J.,All Boys,2,1
San Lorenzo,Arsenal Sarandi,0,0
Estudiantes L.P.,Quilmes,2,1
Colon Santa FE,Racing Club,0,1
Belgrano,Boca Juniors,3,1
Independiente,Atl. Rafaela,2,0
Newells Old Boys,Velez Sarsfield,1,0
River Plate,Godoy Cruz,5,0
Arsenal Sarandi,Colon Santa FE,2,0
Argentinos Jrs,Independiente,0,1
All Boys,Belgrano,1,0
Union de Santa Fe,San Martin S.J.,1,2
Godoy Cruz,San Lorenzo,0,0
Tigre,Velez Sarsfield,0,1
Racing Club,Newells Old Boys,0,0
Quilmes,River Plate,1,0
Atl. Rafaela,Lanus,1,2
Boca Juniors,Estudiantes L.P.,0,0
San Lorenzo,Quilmes,2,2
San Martin S.J.,Atl. Rafaela,1,2
Estudiantes L.P.,All Boys,0,1
Newells Old Boys,Arsenal Sarandi,2,1
Velez Sarsfield,Racing Club,1,0
River Plate,Boca Juniors,2,2
Belgrano,Union de Santa Fe,1,0
Lanus,Argentinos Jrs,1,0
Colon Santa FE,Godoy Cruz,1,1
Atl. Rafaela,Belgrano,1,3
Argentinos Jrs,San Martin S.J.,1,1
Union de Santa Fe,Estudiantes L.P.,2,2
Boca Juniors,San Lorenzo,3,1
Arsenal Sarandi,Velez Sarsfield,1,5
Godoy Cruz,Newells Old Boys,1,1
Quilmes,Colon Santa FE,2,2
All Boys,River Plate,0,0
Tigre,Racing Club,1,1
Independiente,Lanus,0,2
Belgrano,Argentinos Jrs,0,0
Newells Old Boys,Quilmes,0,0
Velez Sarsfield,Godoy Cruz,2,1
San Lorenzo,All Boys,4,0
River Plate,Union de Santa Fe,2,0
Estudiantes L.P.,Atl. Rafaela,3,1
Lanus,Tigre,4,1
San Martin S.J.,Independiente,0,0
Colon Santa FE,Boca Juniors,0,0
Racing Club,Arsenal Sarandi,0,0
Argentinos Jrs,Estudiantes L.P.,2,1
Union de Santa Fe,San Lorenzo,2,2
Quilmes,Velez Sarsfield,0,1
All Boys,Colon Santa FE,1,1
Atl. Rafaela,River Plate,0,0
Godoy Cruz,Racing Club,0,1
Lanus,San Martin S.J.,2,1
Boca Juniors,Newells Old Boys,0,0
Tigre,Arsenal Sarandi,0,1
San Lorenzo,Atl. Rafaela,1,0
Estudiantes L.P.,Independiente,2,0
Arsenal Sarandi,Godoy Cruz,3,0
Colon Santa FE,Union de Santa Fe,2,0
San Martin S.J.,Tigre,2,2
Newells Old Boys,All Boys,1,2
Velez Sarsfield,Boca Juniors,0,1
