HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Antwerp,St. Gilloise,1,1,1.0,0.0,2.0,5.0,3.0,3.0,0.0,0.0
Dender,Cercle Brugge,0,0,0.0,0.0,3.0,3.0,0.0,2.0,0.0,0.0
Waregem,Mechelen,1,1,0.0,1.0,9.0,6.0,3.0,2.0,0.0,0.0
RAAL La Louviere,Standard,0,2,0.0,2.0,5.0,1.0,2.0,1.0,0.0,0.0
Anderlecht,Westerlo,5,2,2.0,0.0,8.0,3.0,4.0,3.0,0.0,0.0
Oud-Heverlee Leuven,Charleroi,2,2,1.0,0.0,4.0,8.0,2.0,2.0,0.0,0.0
Club Brugge,Genk,2,1,0.0,1.0,8.0,6.0,1.0,2.0,1.0,0.0
St Truiden,Gent,3,1,0.0,0.0,4.0,6.0,1.0,1.0,0.0,0.0
Mechelen,Club Brugge,2,1,1.0,0.0,2.0,3.0,4.0,0.0,0.0,0.0
Westerlo,Waregem,3,1,2.0,1.0,3.0,5.0,1.0,1.0,0.0,0.0
Standard,Dender,1,1,0.0,0.0,5.0,1.0,3.0,3.0,0.0,0.0
Gent,RAAL La Louviere,1,0,0.0,0.0,5.0,2.0,0.0,1.0,0.0,0.0
Genk,Antwerp,1,1,1.0,1.0,4.0,2.0,0.0,2.0,0.0,0.0
Cercle Brugge,Anderlecht,0,2,0.0,1.0,5.0,3.0,2.0,2.0,0.0,0.0
St. Gilloise,Oud-Heverlee Leuven,5,0,2.0,0.0,4.0,7.0,1.0,2.0,0.0,0.0
Charleroi,St Truiden,1,1,1.0,1.0,1.0,7.0,5.0,1.0,1.0,0.0
St Truiden,Dender,2,0,1.0,0.0,4.0,2.0,3.0,0.0,0.0,1.0
Club Brugge,Cercle Brugge,2,0,0.0,0.0,9.0,5.0,2.0,3.0,0.0,1.0
Westerlo,Mechelen,0,1,0.0,0.0,8.0,5.0,1.0,1.0,0.0,0.0
Gent,St. Gilloise,2,3,0.0,1.0,5.0,10.0,1.0,4.0,0.0,0.0
RAAL La Louviere,Charleroi,1,0,1.0,0.0,4.0,3.0,3.0,0.0,0.0,0.0
Anderlecht,Waregem,2,3,0.0,1.0,6.0,5.0,0.0,3.0,0.0,0.0
Standard,Genk,2,1,1.0,0.0,2.0,6.0,3.0,3.0,0.0,0.0
Antwerp,Oud-Heverlee Leuven,3,1,1.0,0.0,5.0,3.0,3.0,5.0,0.0,1.0
Oud-Heverlee Leuven,Genk,1,2,1.0,2.0,6.0,6.0,2.0,2.0,0.0,0.0
Waregem,Club Brugge,0,1,0.0,0.0,3.0,9.0,2.0,2.0,0.0,0.0
Mechelen,Gent,1,1,1.0,0.0,2.0,11.0,2.0,1.0,0.0,0.0
St. Gilloise,Standard,3,0,1.0,0.0,12.0,1.0,1.0,2.0,0.0,1.0
Dender,Anderlecht,0,2,0.0,0.0,2.0,7.0,1.0,1.0,0.0,0.0
St Truiden,RAAL La Louviere,2,1,1.0,0.0,4.0,5.0,1.0,2.0,0.0,0.0
Charleroi,Antwerp,1,1,1.0,1.0,4.0,1.0,3.0,3.0,0.0,0.0
Cercle Brugge,Westerlo,4,1,3.0,0.0,1.0,11.0,0.0,1.0,0.0,0.0
Standard,Cercle Brugge,0,3,0.0,3.0,4.0,3.0,1.0,3.0,0.0,0.0
Waregem,St Truiden,0,2,0.0,0.0,2.0,11.0,2.0,0.0,1.0,0.0
Antwerp,Mechelen,2,1,1.0,1.0,6.0,13.0,0.0,3.0,1.0,0.0
RAAL La Louviere,St. Gilloise,0,0,0.0,0.0,5.0,2.0,2.0,3.0,0.0,0.0
Dender,Oud-Heverlee Leuven,0,1,0.0,0.0,4.0,6.0,3.0,4.0,0.0,0.0
Cercle Brugge,St Truiden,1,1,1.0,1.0,3.0,8.0,2.0,1.0,0.0,0.0
Mechelen,RAAL La Louviere,3,2,1.0,0.0,4.0,6.0,1.0,0.0,0.0,0.0
Westerlo,Antwerp,2,0,1.0,0.0,5.0,4.0,2.0,3.0,0.0,0.0
Charleroi,Dender,3,1,1.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0
Gent,Club Brugge,1,1,0.0,0.0,6.0,7.0,4.0,2.0,0.0,0.0
Oud-Heverlee Leuven,Standard,1,0,0.0,0.0,4.0,4.0,3.0,3.0,0.0,0.0
St. Gilloise,Anderlecht,2,0,1.0,0.0,5.0,5.0,1.0,6.0,0.0,2.0
Genk,Waregem,3,2,2.0,2.0,5.0,4.0,2.0,2.0,1.0,0.0
Standard,Mechelen,1,1,0.0,0.0,12.0,5.0,3.0,3.0,0.0,0.0
Waregem,Oud-Heverlee Leuven,2,0,2.0,0.0,2.0,6.0,3.0,4.0,0.0,0.0
Dender,St. Gilloise,0,1,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0
RAAL La Louviere,Club Brugge,1,0,1.0,0.0,5.0,6.0,0.0,1.0,0.0,0.0
Antwerp,Gent,1,2,1.0,1.0,5.0,1.0,4.0,2.0,0.0,1.0
Cercle Brugge,Charleroi,2,3,0.0,2.0,4.0,3.0,1.0,2.0,0.0,0.0
Anderlecht,Genk,1,1,0.0,0.0,3.0,7.0,2.0,3.0,1.0,0.0
St Truiden,Westerlo,0,3,0.0,1.0,8.0,3.0,1.0,2.0,0.0,0.0
Genk,Charleroi,0,1,0.0,1.0,4.0,3.0,0.0,2.0,0.0,0.0
Gent,Dender,3,0,1.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0
Oud-Heverlee Leuven,RAAL La Louviere,1,2,1.0,2.0,2.0,1.0,4.0,3.0,0.0,0.0
Charleroi,Waregem,1,2,1.0,0.0,6.0,11.0,3.0,1.0,1.0,0.0
Anderlecht,Antwerp,0,0,0.0,0.0,8.0,2.0,3.0,2.0,0.0,0.0
Genk,St. Gilloise,1,2,0.0,1.0,8.0,5.0,2.0,4.0,0.0,0.0
Westerlo,Standard,0,2,0.0,2.0,7.0,1.0,0.0,5.0,0.0,0.0
Club Brugge,St Truiden,2,0,1.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0
Mechelen,Cercle Brugge,0,0,0.0,0.0,7.0,7.0,1.0,3.0,0.0,0.0
Anderlecht,Gent,1,0,0.0,0.0,8.0,2.0,3.0,3.0,0.0,0.0
Club Brugge,Westerlo,5,5,1.0,2.0,5.0,4.0,1.0,3.0,0.0,0.0
Oud-Heverlee Leuven,Anderlecht,1,1,0.0,0.0,2.0,5.0,4.0,3.0,0.0,0.0
Waregem,Antwerp,2,0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0
Standard,Club Brugge,1,2,1.0,1.0,7.0,8.0,4.0,2.0,1.0,0.0
St. Gilloise,Westerlo,2,0,0.0,0.0,9.0,2.0,3.0,2.0,0.0,0.0
St Truiden,Genk,1,2,1.0,0.0,3.0,6.0,4.0,2.0,1.0,0.0
Cercle Brugge,Gent,2,4,2.0,2.0,10.0,2.0,2.0,3.0,0.0,0.0
Charleroi,Mechelen,0,2,0.0,2.0,5.0,3.0,0.0,4.0,0.0,0.0
Dender,RAAL La Louviere,0,0,0.0,0.0,4.0,2.0,1.0,3.0,0.0,0.0
Gent,Charleroi,2,1,1.0,1.0,4.0,2.0,2.0,4.0,0.0,0.0
Mechelen,St Truiden,1,3,1.0,0.0,5.0,9.0,3.0,1.0,0.0,0.0
RAAL La Louviere,Waregem,0,0,0.0,0.0,12.0,1.0,2.0,3.0,0.0,0.0
Antwerp,Cercle Brugge,1,1,1.0,1.0,8.0,3.0,1.0,1.0,0.0,0.0
Anderlecht,Standard,1,0,0.0,0.0,6.0,4.0,3.0,3.0,0.0,1.0
Genk,Dender,2,1,1.0,1.0,8.0,3.0,2.0,5.0,0.0,2.0
Club Brugge,St. Gilloise,1,0,0.0,0.0,7.0,3.0,2.0,3.0,0.0,0.0
Westerlo,Oud-Heverlee Leuven,2,0,1.0,0.0,6.0,6.0,2.0,2.0,0.0,0.0
RAAL La Louviere,Westerlo,0,0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0
Oud-Heverlee Leuven,Club Brugge,0,1,0.0,0.0,4.0,11.0,2.0,1.0,0.0,0.0
St. Gilloise,Charleroi,3,1,1.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0
Cercle Brugge,Genk,2,2,1.0,1.0,4.0,4.0,3.0,2.0,0.0,0.0
Dender,Mechelen,1,3,0.0,1.0,4.0,4.0,1.0,0.0,0.0,0.0
St Truiden,Anderlecht,2,2,1.0,2.0,5.0,6.0,1.0,2.0,0.0,0.0
Waregem,Gent,4,1,3.0,0.0,3.0,12.0,0.0,2.0,0.0,0.0
Standard,Antwerp,1,0,1.0,0.0,4.0,5.0,2.0,3.0,1.0,0.0
Charleroi,Anderlecht,1,0,0.0,0.0,5.0,9.0,2.0,2.0,0.0,0.0
Westerlo,Dender,1,1,0.0,1.0,11.0,3.0,2.0,2.0,0.0,0.0
Mechelen,Oud-Heverlee Leuven,1,1,0.0,0.0,6.0,2.0,3.0,5.0,0.0,0.0
Gent,Standard,4,0,3.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0
Antwerp,Club Brugge,0,1,0.0,1.0,1.0,5.0,2.0,1.0,0.0,0.0
Cercle Brugge,Waregem,1,1,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0
Genk,RAAL La Louviere,1,1,1.0,1.0,9.0,3.0,1.0,3.0,0.0,0.0
St. Gilloise,St Truiden,2,0,0.0,0.0,5.0,6.0,1.0,2.0,0.0,0.0
Standard,Charleroi,3,1,1.0,1.0,4.0,5.0,2.0,3.0,0.0,0.0
Waregem,St. Gilloise,1,4,0.0,2.0,2.0,5.0,1.0,4.0,0.0,0.0
Club Brugge,Dender,2,1,2.0,0.0,7.0,4.0,1.0,1.0,0.0,0.0
Anderlecht,Mechelen,3,1,2.0,1.0,9.0,2.0,1.0,1.0,0.0,0.0
Westerlo,Genk,0,1,0.0,1.0,4.0,4.0,0.0,1.0,0.0,0.0
Oud-Heverlee Leuven,Gent,4,0,2.0,0.0,0.0,9.0,4.0,2.0,0.0,1.0
St Truiden,Antwerp,1,0,1.0,0.0,6.0,4.0,3.0,2.0,0.0,1.0
RAAL La Louviere,Cercle Brugge,2,1,1.0,0.0,1.0,5.0,3.0,1.0,0.0,0.0
Dender,Waregem,2,2,1.0,0.0,6.0,5.0,1.0,1.0,0.0,0.0
Cercle Brugge,Oud-Heverlee Leuven,1,2,1.0,0.0,8.0,3.0,1.0,1.0,0.0,0.0
Charleroi,Westerlo,2,0,1.0,0.0,7.0,5.0,2.0,1.0,0.0,0.0
Antwerp,RAAL La Louviere,3,1,0.0,0.0,7.0,4.0,4.0,3.0,0.0,1.0
Anderlecht,Club Brugge,1,0,1.0,0.0,6.0,5.0,5.0,4.0,0.0,0.0
St Truiden,Standard,1,0,0.0,0.0,9.0,1.0,0.0,1.0,0.0,0.0
Gent,Genk,1,1,0.0,1.0,6.0,2.0,2.0,1.0,0.0,0.0
Mechelen,St. Gilloise,1,1,0.0,0.0,4.0,10.0,4.0,2.0,0.0,0.0
Standard,Waregem,0,0,0.0,0.0,5.0,3.0,2.0,1.0,1.0,1.0
St. Gilloise,Cercle Brugge,2,0,1.0,0.0,7.0,4.0,2.0,4.0,0.0,0.0
Westerlo,Gent,0,0,0.0,0.0,9.0,2.0,3.0,3.0,0.0,0.0
Club Brugge,Charleroi,1,0,0.0,0.0,6.0,11.0,2.0,1.0,0.0,0.0
Genk,Mechelen,0,1,0.0,1.0,6.0,3.0,0.0,5.0,0.0,0.0
Antwerp,Dender,1,2,0.0,0.0,5.0,3.0,1.0,4.0,0.0,0.0
RAAL La Louviere,Anderlecht,0,1,0.0,0.0,5.0,7.0,2.0,3.0,0.0,0.0
Oud-Heverlee Leuven,St Truiden,1,2,1.0,2.0,10.0,1.0,3.0,2.0,0.0,0.0
Mechelen,Standard,0,1,0.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0
Dender,Westerlo,2,2,1.0,0.0,2.0,4.0,4.0,1.0,0.0,0.0
Waregem,Cercle Brugge,1,1,1.0,0.0,6.0,7.0,1.0,2.0,0.0,0.0
Charleroi,RAAL La Louviere,0,0,0.0,0.0,6.0,5.0,0.0,1.0,0.0,0.0
Club Brugge,Antwerp,0,1,0.0,0.0,9.0,4.0,0.0,3.0,0.0,0.0
Genk,Oud-Heverlee Leuven,2,1,0.0,0.0,10.0,2.0,0.0,3.0,0.0,0.0
Anderlecht,St. Gilloise,1,0,1.0,0.0,4.0,2.0,2.0,4.0,0.0,0.0
Gent,St Truiden,1,2,1.0,0.0,5.0,6.0,2.0,2.0,0.0,0.0
RAAL La Louviere,Dender,1,2,1.0,1.0,5.0,2.0,1.0,1.0,0.0,0.0
Cercle Brugge,Standard,1,2,0.0,2.0,9.0,5.0,0.0,2.0,0.0,0.0
St. Gilloise,Gent,1,1,0.0,1.0,8.0,0.0,1.0,1.0,0.0,0.0
St Truiden,Club Brugge,3,2,2.0,1.0,8.0,6.0,1.0,1.0,0.0,0.0
Mechelen,Charleroi,1,0,1.0,0.0,7.0,3.0,4.0,2.0,0.0,0.0
Westerlo,Anderlecht,4,0,3.0,0.0,5.0,9.0,3.0,2.0,0.0,0.0
Antwerp,Genk,3,0,2.0,0.0,3.0,10.0,1.0,1.0,0.0,0.0
Oud-Heverlee Leuven,Waregem,1,1,1.0,1.0,4.0,3.0,2.0,3.0,0.0,0.0
Standard,Oud-Heverlee Leuven,0,1,0.0,0.0,5.0,4.0,2.0,2.0,0.0,0.0
Cercle Brugge,Mechelen,2,3,0.0,2.0,6.0,9.0,1.0,2.0,0.0,0.0
Waregem,RAAL La Louviere,2,2,1.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0
Anderlecht,St Truiden,2,1,0.0,0.0,6.0,2.0,4.0,5.0,0.0,0.0
Gent,Antwerp,0,2,0.0,1.0,5.0,1.0,0.0,1.0,1.0,0.0
Dender,Club Brugge,1,5,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0
Charleroi,St. Gilloise,1,1,0.0,1.0,4.0,5.0,1.0,2.0,0.0,0.0
Genk,Westerlo,1,1,0.0,1.0,9.0,7.0,0.0,2.0,0.0,1.0
Charleroi,Genk,2,2,1.0,1.0,8.0,1.0,2.0,0.0,0.0,0.0
Dender,Standard,0,1,0.0,1.0,5.0,4.0,4.0,1.0,0.0,0.0
Westerlo,RAAL La Louviere,2,1,1.0,0.0,4.0,5.0,1.0,0.0,0.0,0.0
St. Gilloise,Waregem,2,0,1.0,0.0,5.0,3.0,1.0,2.0,0.0,0.0
Club Brugge,Gent,2,1,1.0,0.0,10.0,2.0,0.0,2.0,0.0,0.0
St Truiden,Mechelen,1,0,1.0,0.0,2.0,6.0,2.0,2.0,0.0,0.0
Antwerp,Anderlecht,2,2,2.0,0.0,6.0,5.0,0.0,3.0,0.0,0.0
Oud-Heverlee Leuven,Cercle Brugge,0,2,0.0,2.0,8.0,7.0,6.0,5.0,0.0,0.0
Genk,Club Brugge,3,5,1.0,3.0,9.0,2.0,3.0,3.0,0.0,0.0
Cercle Brugge,St. Gilloise,1,1,1.0,1.0,4.0,4.0,3.0,4.0,1.0,1.0
Standard,St Truiden,1,2,1.0,1.0,1.0,5.0,1.0,2.0,1.0,0.0
Anderlecht,Charleroi,1,2,1.0,2.0,8.0,3.0,1.0,4.0,0.0,0.0
Antwerp,Waregem,2,1,1.0,1.0,5.0,7.0,3.0,0.0,0.0,0.0
RAAL La Louviere,Oud-Heverlee Leuven,0,0,0.0,0.0,13.0,5.0,1.0,3.0,0.0,0.0
Mechelen,Dender,1,1,1.0,0.0,5.0,6.0,2.0,5.0,0.0,1.0
Gent,Westerlo,2,0,2.0,0.0,4.0,3.0,1.0,1.0,0.0,0.0
Club Brugge,RAAL La Louviere,2,3,2.0,0.0,2.0,7.0,0.0,3.0,1.0,0.0
Waregem,Genk,2,1,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0
Westerlo,Cercle Brugge,0,2,0.0,2.0,7.0,4.0,0.0,4.0,0.0,0.0
St. Gilloise,Mechelen,1,0,1.0,0.0,7.0,0.0,4.0,2.0,0.0,0.0
Gent,Anderlecht,4,2,1.0,2.0,9.0,8.0,4.0,3.0,0.0,0.0
Dender,Antwerp,1,0,1.0,0.0,2.0,5.0,2.0,0.0,0.0,0.0
Charleroi,Standard,2,0,2.0,0.0,7.0,9.0,2.0,1.0,0.0,0.0
St Truiden,Oud-Heverlee Leuven,1,0,1.0,0.0,2.0,3.0,3.0,6.0,0.0,0.0
Standard,Gent,0,4,0.0,2.0,8.0,4.0,2.0,0.0,0.0,0.0
RAAL La Louviere,St Truiden,1,2,0.0,0.0,6.0,5.0,2.0,2.0,0.0,0.0
Club Brugge,Waregem,4,3,1.0,2.0,7.0,0.0,3.0,3.0,0.0,0.0
Oud-Heverlee Leuven,St. Gilloise,0,0,0.0,0.0,4.0,9.0,3.0,2.0,0.0,0.0
Antwerp,Charleroi,0,2,0.0,1.0,4.0,6.0,2.0,2.0,0.0,0.0
Genk,Cercle Brugge,1,1,1.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0
Anderlecht,Dender,0,0,0.0,0.0,6.0,6.0,2.0,4.0,0.0,0.0
Mechelen,Westerlo,1,1,0.0,1.0,9.0,5.0,3.0,1.0,0.0,0.0
RAAL La Louviere,Gent,1,1,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0
Cercle Brugge,Antwerp,0,4,0.0,2.0,2.0,5.0,1.0,1.0,1.0,0.0
Waregem,Westerlo,0,1,0.0,1.0,7.0,3.0,1.0,2.0,0.0,0.0
St Truiden,Charleroi,0,2,0.0,0.0,6.0,6.0,2.0,3.0,1.0,0.0
Standard,Anderlecht,2,0,1.0,0.0,9.0,4.0,2.0,4.0,0.0,0.0
Dender,Genk,1,2,0.0,2.0,8.0,2.0,5.0,1.0,0.0,0.0
St. Gilloise,Club Brugge,1,0,1.0,0.0,5.0,5.0,3.0,2.0,0.0,0.0
Oud-Heverlee Leuven,Mechelen,2,2,1.0,0.0,7.0,5.0,3.0,6.0,0.0,0.0
Westerlo,St Truiden,0,4,0.0,3.0,6.0,5.0,3.0,1.0,1.0,0.0
Waregem,Dender,1,0,0.0,0.0,6.0,1.0,1.0,4.0,0.0,0.0
Charleroi,Cercle Brugge,3,4,1.0,3.0,6.0,3.0,3.0,3.0,1.0,1.0
Gent,Oud-Heverlee Leuven,1,3,0.0,2.0,6.0,5.0,2.0,5.0,0.0,0.0
Genk,Anderlecht,2,0,0.0,0.0,5.0,7.0,2.0,1.0,0.0,0.0
St. Gilloise,RAAL La Louviere,2,1,1.0,1.0,9.0,1.0,4.0,4.0,0.0,0.0
Club Brugge,Standard,3,0,3.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0
Mechelen,Antwerp,2,0,1.0,0.0,3.0,6.0,1.0,1.0,0.0,0.0
Mechelen,Genk,2,3,1.0,1.0,2.0,4.0,2.0,3.0,0.0,0.0
Oud-Heverlee Leuven,Dender,3,2,2.0,1.0,10.0,7.0,2.0,1.0,0.0,0.0
Charleroi,Gent,2,3,0.0,1.0,12.0,4.0,0.0,3.0,0.0,0.0
Standard,St. Gilloise,1,1,1.0,0.0,3.0,5.0,4.0,4.0,0.0,0.0
Cercle Brugge,Club Brugge,1,2,0.0,0.0,2.0,8.0,1.0,3.0,0.0,0.0
Antwerp,Westerlo,0,2,0.0,1.0,4.0,2.0,2.0,4.0,0.0,0.0
Anderlecht,RAAL La Louviere,0,0,0.0,0.0,8.0,4.0,1.0,5.0,0.0,0.0
St Truiden,Waregem,3,2,2.0,2.0,7.0,6.0,3.0,3.0,0.0,1.0
Gent,Cercle Brugge,0,1,0.0,1.0,4.0,10.0,0.0,4.0,1.0,0.0
Dender,St Truiden,1,4,1.0,2.0,4.0,9.0,3.0,0.0,0.0,0.0
Club Brugge,Oud-Heverlee Leuven,2,1,0.0,0.0,12.0,4.0,0.0,1.0,0.0,0.0
St. Gilloise,Antwerp,2,1,1.0,0.0,10.0,1.0,2.0,1.0,0.0,0.0
