HomeTeam,AwayTeam,FTHG,FTAG
Palmeiras,Portuguesa,1,1
Sport Recife,Flamengo RJ,1,1
Figueirense,Nautico,2,1
Botafogo RJ,Sao Paulo,4,2
Corinthians,Fluminense,0,1
Internacional,Coritiba,2,0
Ponte Preta,Atletico-MG,0,1
Bahia,Santos,0,0
Cruzeiro,Atletico GO,0,0
Vasco,Gremio,2,1
Atletico GO,Ponte Preta,1,1
Flamengo RJ,Internacional,3,3
Portuguesa,Vasco,0,1
Nautico,Cruzeiro,0,0
Atletico-MG,Corinthians,1,0
Coritiba,Botafogo RJ,2,3
Santos,Sport Recife,0,0
Sao Paulo,Bahia,1,0
Fluminense,Figueirense,2,2
Gremio,Palmeiras,1,0
Atletico GO,Gremio,0,1
Sport Recife,Palmeiras,2,1
Atletico-MG,Bahia,1,1
Coritiba,Portuguesa,2,0
Vasco,Nautico,4,2
Internacional,Sao Paulo,1,0
Ponte Preta,Flamengo RJ,2,2
Santos,Fluminense,1,1
Botafogo RJ,Cruzeiro,2,3
Corinthians,Figueirense,1,1
Flamengo RJ,Coritiba,3,1
Palmeiras,Atletico-MG,0,1
Portuguesa,Atletico GO,2,0
Bahia,Vasco,1,2
Fluminense,Internacional,0,0
Gremio,Corinthians,2,0
Cruzeiro,Sport Recife,1,0
Figueirense,Ponte Preta,0,0
Nautico,Botafogo RJ,3,2
Sao Paulo,Santos,1,0
Cruzeiro,Figueirense,1,0
Internacional,Botafogo RJ,1,2
Fluminense,Portuguesa,4,1
Bahia,Sport Recife,2,1
Flamengo RJ,Santos,1,0
Palmeiras,Vasco,1,1
Sao Paulo,Atletico-MG,1,0
Coritiba,Atletico GO,3,0
Nautico,Gremio,1,0
Ponte Preta,Corinthians,1,0
Portuguesa,Sao Paulo,1,0
Vasco,Cruzeiro,1,3
Atletico-MG,Nautico,5,1
Corinthians,Palmeiras,2,1
Figueirense,Bahia,1,1
Gremio,Flamengo RJ,2,0
Atletico GO,Fluminense,1,4
Botafogo RJ,Ponte Preta,1,2
Santos,Coritiba,2,2
Sport Recife,Internacional,0,2
Cruzeiro,Sao Paulo,2,3
Nautico,Fluminense,0,2
Vasco,Ponte Preta,3,2
Bahia,Internacional,1,1
Coritiba,Sport Recife,2,3
Portuguesa,Santos,0,0
Flamengo RJ,Atletico GO,3,2
Gremio,Atletico-MG,0,1
Palmeiras,Figueirense,3,1
Botafogo RJ,Bahia,3,0
Internacional,Cruzeiro,2,1
Atletico GO,Nautico,0,1
Figueirense,Vasco,1,1
Fluminense,Flamengo RJ,1,0
