HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Bayern Munich,RB Leipzig,6,0,3.0,0.0,5.0,5.0,4.0,1.0,0.0,0.0
Ein Frankfurt,Werder Bremen,4,1,2.0,0.0,7.0,1.0,1.0,3.0,0.0,0.0
Freiburg,Augsburg,1,3,0.0,3.0,5.0,5.0,4.0,5.0,0.0,0.0
Heidenheim,Wolfsburg,1,3,1.0,1.0,2.0,5.0,2.0,3.0,0.0,0.0
Leverkusen,Hoffenheim,1,2,1.0,1.0,6.0,4.0,0.0,4.0,0.0,0.0
Union Berlin,Stuttgart,2,1,2.0,0.0,5.0,11.0,4.0,4.0,0.0,0.0
St Pauli,Dortmund,3,3,0.0,1.0,5.0,2.0,2.0,3.0,0.0,1.0
Mainz,FC Koln,0,1,0.0,0.0,8.0,3.0,0.0,2.0,1.0,0.0
M'gladbach,Hamburg,0,0,0.0,0.0,7.0,6.0,2.0,1.0,0.0,0.0
Hamburg,St Pauli,0,2,0.0,1.0,2.0,5.0,3.0,3.0,1.0,0.0
Hoffenheim,Ein Frankfurt,1,3,0.0,2.0,4.0,5.0,2.0,3.0,0.0,0.0
RB Leipzig,Heidenheim,2,0,0.0,0.0,4.0,3.0,2.0,5.0,0.0,0.0
Stuttgart,M'gladbach,1,0,0.0,0.0,6.0,10.0,2.0,1.0,0.0,0.0
Werder Bremen,Leverkusen,3,3,1.0,2.0,3.0,7.0,4.0,3.0,1.0,0.0
Augsburg,Bayern Munich,2,3,0.0,2.0,7.0,5.0,3.0,4.0,0.0,0.0
Wolfsburg,Mainz,1,1,1.0,0.0,3.0,10.0,3.0,5.0,1.0,0.0
Dortmund,Union Berlin,3,0,1.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0
FC Koln,Freiburg,4,1,1.0,0.0,3.0,5.0,2.0,1.0,0.0,0.0
Leverkusen,Ein Frankfurt,3,1,2.0,0.0,4.0,8.0,5.0,3.0,2.0,0.0
Freiburg,Stuttgart,3,1,0.0,1.0,7.0,1.0,1.0,1.0,1.0,0.0
Heidenheim,Dortmund,0,2,0.0,2.0,5.0,4.0,2.0,3.0,1.0,0.0
Mainz,RB Leipzig,0,1,0.0,1.0,3.0,5.0,1.0,0.0,0.0,0.0
Union Berlin,Hoffenheim,2,4,0.0,2.0,9.0,2.0,1.0,1.0,1.0,0.0
Wolfsburg,FC Koln,3,3,1.0,1.0,7.0,4.0,2.0,3.0,0.0,0.0
Bayern Munich,Hamburg,5,0,4.0,0.0,5.0,3.0,2.0,2.0,0.0,0.0
St Pauli,Augsburg,2,1,1.0,1.0,3.0,1.0,1.0,4.0,0.0,0.0
M'gladbach,Werder Bremen,0,4,0.0,2.0,9.0,4.0,1.0,0.0,0.0,0.0
Stuttgart,St Pauli,2,0,1.0,0.0,8.0,4.0,0.0,2.0,0.0,0.0
Augsburg,Mainz,1,4,0.0,2.0,6.0,6.0,1.0,2.0,0.0,1.0
Hamburg,Heidenheim,2,1,1.0,0.0,1.0,12.0,5.0,1.0,0.0,0.0
Hoffenheim,Bayern Munich,1,4,0.0,1.0,5.0,5.0,1.0,2.0,0.0,0.0
Werder Bremen,Freiburg,0,3,0.0,1.0,2.0,0.0,5.0,2.0,0.0,0.0
RB Leipzig,FC Koln,3,1,3.0,1.0,9.0,5.0,1.0,1.0,0.0,0.0
Ein Frankfurt,Union Berlin,3,4,1.0,2.0,5.0,1.0,3.0,2.0,0.0,0.0
Leverkusen,M'gladbach,1,1,0.0,0.0,3.0,4.0,5.0,5.0,0.0,0.0
Dortmund,Wolfsburg,1,0,1.0,0.0,9.0,3.0,1.0,0.0,0.0,0.0
Bayern Munich,Werder Bremen,4,0,2.0,0.0,7.0,6.0,2.0,0.0,0.0,0.0
Heidenheim,Augsburg,2,1,0.0,0.0,3.0,2.0,1.0,6.0,0.0,0.0
Mainz,Dortmund,0,2,0.0,2.0,7.0,5.0,2.0,1.0,1.0,0.0
St Pauli,Leverkusen,1,2,1.0,1.0,13.0,1.0,3.0,5.0,0.0,0.0
Wolfsburg,RB Leipzig,0,1,0.0,1.0,6.0,11.0,2.0,2.0,0.0,0.0
M'gladbach,Ein Frankfurt,4,6,0.0,5.0,4.0,6.0,1.0,2.0,0.0,0.0
Freiburg,Hoffenheim,1,1,1.0,1.0,6.0,8.0,3.0,1.0,0.0,0.0
FC Koln,Stuttgart,1,2,1.0,1.0,8.0,8.0,2.0,2.0,0.0,0.0
Union Berlin,Hamburg,0,0,0.0,0.0,5.0,3.0,2.0,2.0,0.0,1.0
Hoffenheim,FC Koln,0,1,0.0,1.0,11.0,6.0,3.0,1.0,0.0,0.0
Augsburg,Wolfsburg,3,1,1.0,0.0,10.0,5.0,2.0,1.0,0.0,0.0
Dortmund,RB Leipzig,1,1,1.0,1.0,7.0,7.0,1.0,3.0,0.0,0.0
Leverkusen,Union Berlin,2,0,1.0,0.0,4.0,4.0,1.0,3.0,0.0,0.0
Werder Bremen,St Pauli,1,0,1.0,0.0,4.0,1.0,3.0,1.0,0.0,0.0
Ein Frankfurt,Bayern Munich,0,3,0.0,2.0,4.0,3.0,1.0,2.0,0.0,0.0
Stuttgart,Heidenheim,1,0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Hamburg,Mainz,4,0,2.0,0.0,1.0,4.0,2.0,3.0,0.0,0.0
M'gladbach,Freiburg,0,0,0.0,0.0,4.0,1.0,3.0,1.0,0.0,0.0
Union Berlin,M'gladbach,3,1,2.0,1.0,6.0,6.0,5.0,3.0,0.0,0.0
