HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Schalke 04,Hertha,2,1,2,0,5,10,7,1,1,0
Darmstadt,Bochum,4,1,2,1,5,8,2,3,0,0
Elversberg,Nurnberg,1,0,0,0,2,4,2,3,0,0
Karlsruhe,Preußen Münster,3,2,2,1,6,5,3,3,0,1
Paderborn,Holstein Kiel,2,1,1,0,3,0,1,3,0,0
Bielefeld,Fortuna Dusseldorf,5,1,1,1,8,3,4,4,0,1
Greuther Furth,Dresden,3,2,2,1,4,10,1,0,0,0
Hannover,Kaiserslautern,1,0,0,0,5,5,2,3,0,0
Magdeburg,Braunschweig,0,1,0,0,12,2,4,1,0,1
Nurnberg,Darmstadt,0,1,0,0,4,5,2,2,0,0
Preußen Münster,Paderborn,1,1,0,1,5,5,0,0,0,0
Braunschweig,Greuther Furth,3,2,2,1,3,9,2,3,0,0
Dresden,Magdeburg,1,2,1,2,6,5,1,3,0,0
Fortuna Dusseldorf,Hannover,0,2,0,0,5,2,6,4,0,0
Kaiserslautern,Schalke 04,1,0,0,0,5,3,4,4,0,0
Bochum,Elversberg,2,0,0,0,10,0,8,5,0,1
Hertha,Karlsruhe,0,0,0,0,5,10,0,1,0,0
Holstein Kiel,Bielefeld,0,2,0,2,9,7,0,6,0,1
Elversberg,Kaiserslautern,2,1,1,0,4,8,3,2,0,0
Preußen Münster,Nurnberg,2,1,2,0,1,7,3,6,0,0
Hannover,Magdeburg,3,1,2,0,4,2,3,4,0,0
Karlsruhe,Braunschweig,2,0,1,0,5,2,3,4,0,1
Paderborn,Fortuna Dusseldorf,1,2,0,2,9,7,2,2,1,0
Schalke 04,Bochum,2,1,0,0,8,9,0,3,0,0
Bielefeld,Dresden,1,2,0,1,4,5,3,3,1,0
Darmstadt,Hertha,0,0,0,0,7,2,1,1,0,0
Greuther Furth,Holstein Kiel,0,2,0,1,6,3,3,8,0,0
Hertha,Elversberg,0,2,0,1,4,4,6,2,1,0
Nurnberg,Paderborn,0,0,0,0,7,5,3,4,0,0
