HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Birmingham,Ipswich,1,1,0,0,1,4,2,3,0,0
Charlton,Watford,1,0,0,0,3,2,1,2,0,0
Coventry,Hull,0,0,0,0,8,2,3,3,0,0
Southampton,Wrexham,2,1,0,1,7,4,2,2,0,0
Middlesbrough,Swansea,1,0,0,0,7,2,2,5,0,0
Norwich,Millwall,1,2,0,0,6,5,1,4,0,0
Oxford,Portsmouth,0,1,0,1,8,4,1,2,0,0
QPR,Preston,1,1,1,0,5,4,0,3,0,0
Stoke,Derby,3,1,0,0,7,3,1,2,0,0
West Brom,Blackburn,1,0,1,0,3,7,2,0,1,0
Sheffield United,Bristol City,1,4,1,2,14,3,0,0,0,0
Leicester,Sheffield Weds,2,1,0,1,13,3,0,0,0,1
Derby,Coventry,3,5,2,2,6,5,2,5,0,0
Portsmouth,Norwich,1,2,0,2,9,0,3,3,0,0
Wrexham,West Brom,2,3,1,1,5,5,2,0,0,0
Blackburn,Birmingham,1,2,0,0,3,5,1,2,0,0
Bristol City,Charlton,0,0,0,0,4,6,0,1,0,0
Millwall,Middlesbrough,0,3,0,0,6,10,4,5,0,0
Preston,Leicester,2,1,1,0,6,4,2,0,0,0
Sheffield Weds,Stoke,0,3,0,1,6,7,0,3,0,0
Swansea,Sheffield United,1,0,0,0,4,8,1,3,0,0
Watford,QPR,2,1,2,1,2,4,1,2,1,0
Ipswich,Southampton,1,1,1,1,4,5,2,2,0,0
Hull,Oxford,3,2,2,2,10,4,1,1,0,0
Derby,Bristol City,1,1,0,1,4,5,3,0,0,0
Charlton,Leicester,0,1,0,0,13,4,2,1,0,0
Hull,Blackburn,0,3,0,1,2,1,3,3,0,0
Swansea,Watford,1,1,0,1,7,2,3,5,0,0
Birmingham,Oxford,1,0,1,0,4,1,0,0,0,0
Coventry,QPR,7,1,5,0,9,4,1,2,0,0
Norwich,Middlesbrough,1,2,0,2,5,3,0,3,1,0
Preston,Ipswich,1,0,1,0,3,6,6,2,0,0
Sheffield United,Millwall,0,1,0,1,8,7,3,2,0,0
Southampton,Stoke,1,2,0,0,7,3,1,3,0,1
West Brom,Portsmouth,1,1,1,0,2,3,2,5,0,0
Wrexham,Sheffield Weds,2,2,2,0,3,9,0,0,0,0
Leicester,Birmingham,2,0,1,0,1,7,3,3,0,0
Middlesbrough,Sheffield United,1,0,0,0,5,9,0,3,0,0
QPR,Charlton,3,1,1,0,1,2,2,2,0,0
Stoke,West Brom,0,1,0,1,5,5,1,2,0,0
Blackburn,Norwich,0,2,0,1,3,9,2,0,1,0
Bristol City,Hull,4,2,3,1,8,5,1,1,0,0
Ipswich,Derby,2,2,1,0,6,3,2,7,0,0
Millwall,Wrexham,0,2,0,0,5,2,1,3,0,0
Oxford,Coventry,2,2,1,2,0,5,1,2,0,0
Portsmouth,Preston,1,0,1,0,6,4,1,2,0,0
