HomeTeam,AwayTeam,FTHG,FTAG
Shandong Luneng,Zhejiang Yiteng,1,0
Guangzhou Evergrande,Henan Songshan Longmen,3,0
Beijing Guoan,Changchun Yatai,1,0
Hangzhou Greentown,Dalian Yifang F.C.,1,1
Jiangsu Suning,Beijing Renhe,0,0
Liaoning,Shanghai SIPG,1,1
Shanghai Shenxin,Shanghai Shenhua,0,2
Tianjin Jinmen Tiger,Guangzhou R&F,1,1
Dalian Yifang F.C.,Beijing Guoan,0,1
Shanghai Shenhua,Hangzhou Greentown,1,3
Beijing Renhe,Tianjin Jinmen Tiger,2,0
Guangzhou Evergrande,Zhejiang Yiteng,4,1
Changchun Yatai,Henan Songshan Longmen,0,0
Guangzhou R&F,Liaoning,0,0
Shanghai SIPG,Shanghai Shenxin,5,1
Shanghai Shenxin,Guangzhou R&F,1,3
Henan Songshan Longmen,Dalian Yifang F.C.,2,2
Hangzhou Greentown,Shanghai SIPG,1,2
Jiangsu Suning,Zhejiang Yiteng,2,1
Liaoning,Beijing Renhe,1,2
Tianjin Jinmen Tiger,Shandong Luneng,1,1
Guangzhou Evergrande,Changchun Yatai,1,3
Beijing Guoan,Shanghai Shenhua,2,0
Shandong Luneng,Liaoning,1,0
Jiangsu Suning,Guangzhou Evergrande,0,2
Shanghai SIPG,Beijing Guoan,1,0
Beijing Renhe,Shanghai Shenxin,0,1
Dalian Yifang F.C.,Changchun Yatai,2,1
Shanghai Shenhua,Henan Songshan Longmen,0,0
Guangzhou R&F,Hangzhou Greentown,6,2
Tianjin Jinmen Tiger,Zhejiang Yiteng,3,0
Liaoning,Zhejiang Yiteng,3,0
Henan Songshan Longmen,Shanghai SIPG,1,0
Jiangsu Suning,Tianjin Jinmen Tiger,4,0
Changchun Yatai,Shanghai Shenhua,2,2
Shanghai Shenxin,Shandong Luneng,0,1
Hangzhou Greentown,Beijing Renhe,2,1
Guangzhou Evergrande,Dalian Yifang F.C.,4,2
Beijing Guoan,Guangzhou R&F,2,0
Jiangsu Suning,Shandong Luneng,1,0
Tianjin Jinmen Tiger,Guangzhou Evergrande,2,5
Beijing Renhe,Beijing Guoan,1,2
Shanghai SIPG,Changchun Yatai,1,0
