HomeTeam,AwayTeam,FTHG,FTAG
Aarhus,Aalborg,1,1
Sonderjyske,Randers FC,6,1
Esbjerg,Silkeborg,2,3
Brondby,Odense,0,1
FC Copenhagen,Midtjylland,4,2
Horsens,Nordsjaelland,0,4
Silkeborg,Horsens,0,2
Midtjylland,Nordsjaelland,3,1
Odense,Randers FC,0,1
Sonderjyske,FC Copenhagen,1,1
Aalborg,Brondby,2,1
Aarhus,Esbjerg,0,0
Horsens,Midtjylland,2,2
FC Copenhagen,Aalborg,3,0
Esbjerg,Sonderjyske,1,2
Randers FC,Aarhus,2,1
Nordsjaelland,Odense,1,1
Brondby,Silkeborg,2,1
Silkeborg,Odense,0,1
Aalborg,Nordsjaelland,1,1
Esbjerg,FC Copenhagen,1,2
Midtjylland,Randers FC,2,1
Aarhus,Brondby,3,1
Sonderjyske,Horsens,0,2
Odense,Midtjylland,2,1
Nordsjaelland,Silkeborg,6,1
Horsens,Aalborg,1,4
Brondby,Sonderjyske,0,1
FC Copenhagen,Aarhus,3,0
Randers FC,Esbjerg,1,0
Aalborg,Midtjylland,3,0
Silkeborg,Randers FC,0,1
FC Copenhagen,Brondby,1,1
Esbjerg,Horsens,0,0
Aarhus,Nordsjaelland,0,1
Sonderjyske,Odense,1,2
Nordsjaelland,Sonderjyske,4,1
Randers FC,FC Copenhagen,2,3
Midtjylland,Silkeborg,1,1
Odense,Aalborg,0,4
Brondby,Esbjerg,1,1
Horsens,Aarhus,1,4
Sonderjyske,Aalborg,0,4
Silkeborg,Aarhus,0,4
Randers FC,Horsens,0,1
Midtjylland,Esbjerg,1,0
Nordsjaelland,Brondby,0,0
Odense,FC Copenhagen,2,2
Esbjerg,Odense,3,0
Sonderjyske,Silkeborg,0,2
FC Copenhagen,Nordsjaelland,2,1
Aalborg,Randers FC,4,0
Brondby,Horsens,2,2
Aarhus,Midtjylland,3,2
Aarhus,Sonderjyske,2,2
Nordsjaelland,Randers FC,1,1
Horsens,Odense,2,2
Midtjylland,Brondby,1,1
FC Copenhagen,Silkeborg,5,0
Aalborg,Esbjerg,0,2
Nordsjaelland,Esbjerg,3,0
Horsens,FC Copenhagen,1,1
Silkeborg,Aalborg,2,1
Odense,Aarhus,1,2
Randers FC,Brondby,3,2
Midtjylland,Sonderjyske,1,3
Odense,Nordsjaelland,3,0
Sonderjyske,Aarhus,0,3
Silkeborg,Horsens,1,1
Randers FC,Midtjylland,2,1
Esbjerg,FC Copenhagen,2,2
Brondby,Aalborg,1,3
Nordsjaelland,Silkeborg,3,0
Aalborg,Sonderjyske,2,1
Horsens,Esbjerg,0,0
Midtjylland,Odense,1,1
FC Copenhagen,Brondby,1,0
Aarhus,Randers FC,1,1
Nordsjaelland,Aalborg,1,0
Silkeborg,Randers FC,1,2
Esbjerg,Sonderjyske,1,2
Odense,Aarhus,2,4
Midtjylland,Brondby,1,1
Horsens,FC Copenhagen,1,0
Esbjerg,Silkeborg,1,0
Sonderjyske,Nordsjaelland,1,2
Randers FC,Horsens,0,0
Brondby,Odense,0,3
Aarhus,FC Copenhagen,0,2
Aalborg,Midtjylland,1,3
Horsens,Aarhus,2,0
Nordsjaelland,Randers FC,2,2
Odense,Sonderjyske,5,0
Silkeborg,Brondby,1,2
FC Copenhagen,Aalborg,4,0
Midtjylland,Esbjerg,0,0
Aarhus,Nordsjaelland,0,2
Sonderjyske,Silkeborg,2,3
Aalborg,Horsens,2,0
Brondby,Esbjerg,2,2
FC Copenhagen,Midtjylland,2,1
Randers FC,Odense,3,2
Randers FC,Aalborg,0,1
Silkeborg,Odense,0,2
Esbjerg,Nordsjaelland,1,0
Sonderjyske,FC Copenhagen,1,2
Brondby,Horsens,2,0
Aarhus,Midtjylland,1,1
Horsens,Sonderjyske,1,3
Odense,Esbjerg,3,0
Midtjylland,Silkeborg,1,3
FC Copenhagen,Randers FC,2,0
Nordsjaelland,Brondby,3,0
Aalborg,Aarhus,0,3
Sonderjyske,Brondby,2,2
Randers FC,Esbjerg,2,1
Horsens,Midtjylland,0,2
FC Copenhagen,Nordsjaelland,4,1
Aarhus,Silkeborg,3,3
Silkeborg,Aalborg,3,2
Midtjylland,Sonderjyske,1,0
Nordsjaelland,Horsens,1,0
Brondby,Randers FC,0,2
Odense,FC Copenhagen,2,3
Esbjerg,Aarhus,2,1
Aalborg,Odense,2,2
Randers FC,Sonderjyske,2,0
Aalborg,Esbjerg,0,0
Horsens,Odense,2,0
FC Copenhagen,Silkeborg,3,1
Aarhus,Brondby,0,3
Midtjylland,Nordsjaelland,1,1
FC Copenhagen,Horsens,2,1
Randers FC,Silkeborg,1,0
Aarhus,Odense,2,1
Brondby,Midtjylland,1,1
Horsens,Aalborg,2,2
Silkeborg,Sonderjyske,0,5
Odense,Randers FC,0,0
Nordsjaelland,Aarhus,4,2
Esbjerg,Brondby,1,0
Midtjylland,FC Copenhagen,2,2
Sonderjyske,Randers FC,0,2
Odense,Horsens,2,0
Esbjerg,Aalborg,1,0
Nordsjaelland,Midtjylland,3,1
Silkeborg,FC Copenhagen,1,0
Brondby,Aarhus,3,2
Aalborg,Nordsjaelland,0,1
Aarhus,Esbjerg,0,1
Sonderjyske,Midtjylland,0,2
Horsens,Nordsjaelland,0,2
Randers FC,Brondby,0,1
FC Copenhagen,Odense,1,1
Aalborg,Silkeborg,1,0
Sonderjyske,Esbjerg,3,1
Silkeborg,Aarhus,3,1
Midtjylland,Horsens,5,2
Esbjerg,Randers FC,4,0
Brondby,Sonderjyske,0,3
Odense,Aalborg,3,4
Nordsjaelland,FC Copenhagen,2,3
Aarhus,Horsens,0,0
Randers FC,Nordsjaelland,0,0
Sonderjyske,Odense,4,1
Brondby,Silkeborg,2,2
Aalborg,FC Copenhagen,1,1
Esbjerg,Midtjylland,0,1
Silkeborg,Esbjerg,0,1
Nordsjaelland,Sonderjyske,2,2
Horsens,Randers FC,1,0
Odense,Brondby,1,2
FC Copenhagen,Aarhus,0,0
Midtjylland,Aalborg,2,3
Silkeborg,Nordsjaelland,2,2
Sonderjyske,Aalborg,1,0
