HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
For Sittard,Go Ahead Eagles,2,2,1,1,8,5,2,2,0,1
Nijmegen,Excelsior,5,0,1,0,7,2,1,1,0,0
Feyenoord,NAC Breda,2,0,1,0,3,4,1,1,0,0
Heerenveen,Volendam,1,1,1,0,9,2,1,1,0,0
PSV Eindhoven,Sparta Rotterdam,6,1,3,0,8,5,1,1,0,0
Zwolle,Twente,1,0,1,0,2,4,4,1,0,0
Ajax,Telstar,2,0,1,0,8,10,0,0,0,0
AZ Alkmaar,Groningen,4,1,3,1,6,1,2,2,0,0
Utrecht,Heracles,4,0,1,0,4,4,1,2,0,0
Telstar,Zwolle,0,2,0,1,7,0,3,3,0,0
Excelsior,Feyenoord,1,2,1,2,5,6,0,1,0,0
Heracles,Nijmegen,1,4,1,1,3,7,2,2,1,0
Groningen,Heerenveen,2,1,1,1,3,8,4,2,0,0
Go Ahead Eagles,Ajax,2,2,2,2,6,9,1,2,0,0
Sparta Rotterdam,Utrecht,2,1,1,0,5,6,1,3,0,0
Twente,PSV Eindhoven,0,2,0,1,8,6,1,2,0,0
Volendam,AZ Alkmaar,2,2,1,1,3,4,1,3,0,0
NAC Breda,For Sittard,2,1,1,0,4,5,2,3,0,0
Go Ahead Eagles,Sparta Rotterdam,0,3,0,1,12,1,0,2,0,0
PSV Eindhoven,Groningen,4,2,1,1,6,4,0,2,0,0
Telstar,Volendam,2,2,2,0,4,6,3,0,0,0
Heerenveen,Twente,1,2,0,1,7,4,3,3,1,0
Nijmegen,NAC Breda,3,0,1,0,3,1,2,4,0,0
Utrecht,Excelsior,4,1,2,0,7,5,0,0,0,0
Ajax,Heracles,2,0,1,0,10,1,0,2,0,0
Groningen,Heracles,4,0,3,0,6,3,2,1,0,0
Volendam,Ajax,1,1,1,0,2,7,2,3,0,0
Heerenveen,Go Ahead Eagles,2,2,1,1,3,7,3,1,0,0
PSV Eindhoven,Telstar,0,2,0,1,10,3,1,1,0,0
Excelsior,Twente,1,0,0,0,1,4,2,2,1,0
For Sittard,Nijmegen,3,2,2,1,3,4,4,1,0,0
Sparta Rotterdam,Feyenoord,0,4,0,1,1,9,1,2,1,0
Zwolle,Utrecht,0,2,0,2,3,2,2,1,0,0
NAC Breda,AZ Alkmaar,0,1,0,0,1,7,0,5,1,0
Ajax,Zwolle,3,1,2,0,7,1,2,1,0,0
Go Ahead Eagles,Volendam,3,0,3,0,7,7,1,1,0,0
Nijmegen,PSV Eindhoven,3,5,1,3,8,4,2,4,0,0
Feyenoord,Heerenveen,1,0,1,0,6,3,2,2,1,1
Twente,NAC Breda,2,2,0,1,4,3,2,1,0,0
Excelsior,Sparta Rotterdam,0,1,0,0,7,2,4,1,1,0
Heracles,AZ Alkmaar,1,2,1,1,6,9,1,5,0,0
Utrecht,Groningen,0,1,0,0,3,4,0,4,0,0
Telstar,For Sittard,1,3,1,1,10,1,1,0,0,0
Feyenoord,For Sittard,2,0,1,0,13,0,0,1,0,0
Sparta Rotterdam,Twente,1,5,1,1,1,6,0,1,0,0
Volendam,Excelsior,1,2,1,1,5,3,3,2,0,0
Groningen,Telstar,2,0,1,0,7,2,1,2,0,0
For Sittard,Utrecht,1,0,1,0,1,11,4,2,0,0
