HomeTeam,AwayTeam,FTHG,FTAG
HJK,Mariehamn,3,1
Honka,VPS,1,1
KuPS,JJK Jyvaskyla,2,2
Lahti,Haka,1,0
TPS,MyPa,0,1
Lahti,Honka,2,1
JJK Jyvaskyla,Haka,1,4
Mariehamn,KuPS,1,1
MyPa,Jaro,2,0
TPS,HJK,3,1
VPS,Inter Turku,0,2
Haka,Mariehamn,0,2
Honka,JJK Jyvaskyla,0,2
Inter Turku,MyPa,2,0
KuPS,TPS,1,1
VPS,Lahti,2,1
HJK,Jaro,4,1
Jaro,KuPS,1,0
Lahti,Inter Turku,0,5
Mariehamn,Honka,0,0
MyPa,HJK,1,0
TPS,Haka,2,0
JJK Jyvaskyla,VPS,0,2
Jaro,Inter Turku,0,1
KuPS,HJK,0,3
Haka,Jaro,4,1
Honka,TPS,0,2
JJK Jyvaskyla,Lahti,2,1
KuPS,MyPa,1,2
VPS,Mariehamn,1,2
HJK,Inter Turku,2,1
HJK,KuPS,2,0
Inter Turku,JJK Jyvaskyla,2,1
Jaro,Honka,0,1
MyPa,Haka,3,1
TPS,VPS,1,0
Mariehamn,Lahti,2,0
Haka,HJK,0,1
Honka,MyPa,2,1
Inter Turku,KuPS,2,1
JJK Jyvaskyla,Mariehamn,5,2
Lahti,TPS,2,0
VPS,Jaro,1,1
HJK,Honka,3,0
Jaro,Lahti,0,2
KuPS,Haka,3,0
Mariehamn,Inter Turku,2,1
MyPa,VPS,1,0
TPS,JJK Jyvaskyla,2,3
Honka,KuPS,1,0
Inter Turku,Haka,4,1
JJK Jyvaskyla,Jaro,1,1
Lahti,MyPa,0,0
Mariehamn,TPS,2,1
VPS,HJK,1,0
HJK,Lahti,2,0
Haka,Honka,2,1
Jaro,Mariehamn,0,3
KuPS,VPS,0,3
MyPa,JJK Jyvaskyla,0,1
Inter Turku,Lahti,2,0
JJK Jyvaskyla,KuPS,1,5
Haka,VPS,0,1
Honka,Inter Turku,2,1
JJK Jyvaskyla,HJK,0,3
TPS,Jaro,2,3
KuPS,Lahti,1,2
Mariehamn,MyPa,0,0
Inter Turku,Jaro,1,1
Lahti,Haka,0,1
Mariehamn,HJK,2,0
TPS,MyPa,1,0
VPS,Honka,2,0
Haka,JJK Jyvaskyla,3,1
HJK,TPS,0,0
Honka,Lahti,3,2
Inter Turku,VPS,1,1
Jaro,MyPa,1,0
KuPS,Mariehamn,2,0
Jaro,HJK,2,2
JJK Jyvaskyla,Honka,0,1
Lahti,VPS,1,0
Mariehamn,Haka,1,0
MyPa,Inter Turku,4,0
TPS,KuPS,3,0
Haka,TPS,1,0
HJK,MyPa,1,1
KuPS,Jaro,1,0
Lahti,Inter Turku,4,3
VPS,JJK Jyvaskyla,2,0
Honka,Mariehamn,2,2
Inter Turku,HJK,2,0
Jaro,Haka,1,0
Mariehamn,VPS,0,0
JJK Jyvaskyla,Lahti,3,1
MyPa,KuPS,1,1
TPS,Honka,2,1
VPS,TPS,1,3
Haka,MyPa,3,1
Honka,Jaro,2,0
Inter Turku,JJK Jyvaskyla,3,2
Lahti,Mariehamn,2,0
Jaro,VPS,0,0
HJK,Haka,1,0
Mariehamn,JJK Jyvaskyla,3,3
KuPS,Inter Turku,0,6
MyPa,Honka,0,0
TPS,Lahti,4,0
Honka,HJK,1,0
Haka,KuPS,0,2
JJK Jyvaskyla,TPS,2,1
Lahti,Jaro,0,2
VPS,MyPa,2,0
Inter Turku,Mariehamn,0,3
HJK,VPS,3,3
MyPa,Lahti,3,1
Haka,Inter Turku,0,2
Jaro,JJK Jyvaskyla,0,3
KuPS,Honka,0,2
TPS,Mariehamn,1,1
JJK Jyvaskyla,MyPa,0,3
Mariehamn,Jaro,2,0
Lahti,HJK,3,0
Honka,Haka,2,2
TPS,Inter Turku,4,1
VPS,KuPS,0,1
HJK,JJK Jyvaskyla,2,0
Inter Turku,Honka,2,1
KuPS,Lahti,1,0
Jaro,TPS,0,1
VPS,Haka,2,1
MyPa,Mariehamn,2,1
TPS,Haka,9,2
Haka,Lahti,0,3
HJK,Mariehamn,5,1
Inter Turku,Jaro,3,1
KuPS,JJK Jyvaskyla,2,3
MyPa,TPS,1,1
Honka,VPS,1,2
Lahti,Honka,3,2
TPS,HJK,1,2
Jaro,MyPa,0,3
JJK Jyvaskyla,Haka,5,0
Mariehamn,KuPS,2,0
Inter Turku,VPS,2,0
KuPS,TPS,1,3
Haka,Mariehamn,1,1
HJK,Jaro,0,0
MyPa,Inter Turku,0,0
VPS,Lahti,1,3
Honka,JJK Jyvaskyla,3,0
Inter Turku,TPS,3,3
Jaro,KuPS,1,1
MyPa,HJK,1,4
JJK Jyvaskyla,VPS,1,2
Mariehamn,Honka,1,1
Honka,TPS,0,1
Haka,Jaro,0,0
HJK,Inter Turku,1,1
KuPS,MyPa,2,0
Lahti,JJK Jyvaskyla,2,1
VPS,Mariehamn,1,3
HJK,KuPS,4,1
Jaro,Honka,1,0
JJK Jyvaskyla,Inter Turku,0,0
Mariehamn,Lahti,2,2
MyPa,Haka,1,0
TPS,VPS,1,0
Haka,HJK,2,2
JJK Jyvaskyla,Mariehamn,3,2
Lahti,TPS,1,0
VPS,Jaro,2,1
Inter Turku,KuPS,1,4
Honka,MyPa,1,1
Jaro,Lahti,2,1
KuPS,Haka,1,1
MyPa,VPS,1,1
TPS,JJK Jyvaskyla,1,0
HJK,Honka,1,0
Inter Turku,Mariehamn,1,0
Haka,Inter Turku,1,2
Honka,KuPS,2,1
JJK Jyvaskyla,Jaro,4,2
Lahti,MyPa,3,1
Mariehamn,TPS,1,0
VPS,HJK,1,3
Haka,Honka,1,0
HJK,Lahti,2,0
Inter Turku,TPS,0,0
Jaro,Mariehamn,3,3
KuPS,VPS,2,1
MyPa,JJK Jyvaskyla,2,1
Honka,Inter Turku,3,0
JJK Jyvaskyla,HJK,3,6
Lahti,KuPS,2,1
Mariehamn,MyPa,2,2
TPS,Jaro,1,2
VPS,Haka,0,1
TPS,Honka,2,0
KuPS,MyPa,1,1
Rovaniemi,Mariehamn,1,3
TPS,VPS,0,1
Rovaniemi,Lahti,3,0
Jaro,KuPS,2,1
Mariehamn,JJK Jyvaskyla,2,2
MyPa,Inter Turku,1,0
Honka,HJK,0,2
JJK Jyvaskyla,Lahti,0,0
KuPS,Mariehamn,0,1
Rovaniemi,TPS,1,0
VPS,Honka,0,0
HJK,MyPa,2,0
Inter Turku,Jaro,1,0
Inter Turku,HJK,2,2
Jaro,HJK,2,3
Lahti,KuPS,1,0
Mariehamn,Inter Turku,1,2
MyPa,Honka,1,0
TPS,JJK Jyvaskyla,1,0
VPS,Rovaniemi,3,1
HJK,Mariehamn,0,0
Honka,Rovaniemi,2,0
Inter Turku,Lahti,2,0
JJK Jyvaskyla,VPS,0,1
KuPS,TPS,4,1
MyPa,Jaro,1,2
Jaro,Honka,2,2
Mariehamn,MyPa,0,4
Rovaniemi,JJK Jyvaskyla,4,0
VPS,KuPS,1,2
Lahti,HJK,0,1
TPS,Inter Turku,2,1
HJK,TPS,0,2
Honka,JJK Jyvaskyla,3,2
Inter Turku,VPS,0,0
KuPS,Rovaniemi,1,0
Mariehamn,Jaro,1,0
MyPa,Lahti,2,0
HJK,VPS,1,2
Honka,Mariehamn,2,1
JJK Jyvaskyla,KuPS,0,0
Lahti,Jaro,1,2
Rovaniemi,Inter Turku,1,0
HJK,Rovaniemi,2,0
Inter Turku,JJK Jyvaskyla,3,1
Jaro,TPS,1,1
KuPS,Honka,1,2
MyPa,VPS,3,0
Mariehamn,Lahti,2,2
Honka,Lahti,1,0
JJK Jyvaskyla,HJK,1,3
KuPS,Inter Turku,1,1
Rovaniemi,MyPa,2,1
TPS,Mariehamn,2,4
VPS,Jaro,2,1
HJK,KuPS,1,2
Inter Turku,Honka,0,1
Jaro,Rovaniemi,2,1
Lahti,TPS,0,1
Mariehamn,VPS,0,1
MyPa,JJK Jyvaskyla,0,1
HJK,Inter Turku,6,0
Jaro,JJK Jyvaskyla,3,0
Lahti,VPS,0,2
Mariehamn,Rovaniemi,1,0
MyPa,KuPS,2,0
TPS,Honka,2,0
Honka,HJK,1,0
Inter Turku,MyPa,0,0
JJK Jyvaskyla,Mariehamn,3,2
KuPS,Jaro,3,0
