HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Aris,Volos NFC,2,0,0.0,0.0,5.0,4.0,2.0,4.0,0.0,0.0
Olympiakos,Asteras Tripolis,2,0,0.0,0.0,12.0,3.0,0.0,3.0,0.0,0.0
Panetolikos,Atromitos,0,2,0.0,1.0,1.0,4.0,1.0,2.0,0.0,0.0
AEK,Panserraikos,2,0,2.0,0.0,9.0,1.0,1.0,1.0,0.0,0.0
PAOK,Larisa,1,0,0.0,0.0,9.0,2.0,1.0,2.0,0.0,0.0
Levadeiakos,Kifisia,3,2,2.0,2.0,7.0,3.0,2.0,3.0,1.0,0.0
Volos NFC,Olympiakos,0,2,0.0,0.0,4.0,8.0,2.0,0.0,0.0,0.0
Panserraikos,OFI Crete,0,1,0.0,0.0,3.0,6.0,2.0,2.0,0.0,0.0
Aris,Panetolikos,0,2,0.0,0.0,7.0,2.0,0.0,6.0,0.0,0.0
Larisa,Kifisia,1,1,0.0,0.0,2.0,5.0,4.0,5.0,0.0,0.0
AEK,Asteras Tripolis,1,0,1.0,0.0,5.0,3.0,3.0,2.0,0.0,0.0
PAOK,Atromitos,1,0,0.0,0.0,6.0,1.0,1.0,6.0,0.0,1.0
Panathinaikos,Levadeiakos,1,1,1.0,0.0,7.0,3.0,1.0,1.0,0.0,0.0
Olympiakos,Panserraikos,5,0,0.0,0.0,11.0,0.0,0.0,3.0,0.0,1.0
Atromitos,Aris,1,2,1.0,1.0,4.0,7.0,1.0,2.0,0.0,0.0
Panetolikos,Volos NFC,1,2,1.0,2.0,7.0,3.0,5.0,6.0,0.0,0.0
Asteras Tripolis,Larisa,2,2,2.0,0.0,4.0,2.0,4.0,4.0,0.0,0.0
Kifisia,Panathinaikos,3,2,1.0,1.0,3.0,6.0,5.0,4.0,0.0,0.0
Levadeiakos,AEK,0,1,0.0,0.0,2.0,8.0,2.0,2.0,0.0,0.0
OFI Crete,PAOK,1,2,0.0,2.0,5.0,2.0,2.0,1.0,0.0,0.0
Kifisia,Aris,0,1,0.0,0.0,2.0,4.0,1.0,3.0,1.0,0.0
Panserraikos,Atromitos,1,1,0.0,1.0,3.0,7.0,5.0,3.0,0.0,0.0
Volos NFC,Asteras Tripolis,2,1,1.0,0.0,7.0,3.0,3.0,4.0,0.0,0.0
PAOK,Panetolikos,0,0,0.0,0.0,12.0,1.0,1.0,5.0,0.0,1.0
Larisa,AEK,1,1,0.0,0.0,4.0,6.0,4.0,0.0,0.0,0.0
Levadeiakos,OFI Crete,4,0,1.0,0.0,7.0,3.0,1.0,3.0,0.0,2.0
Panathinaikos,Olympiakos,1,1,0.0,0.0,1.0,4.0,4.0,4.0,0.0,0.0
Olympiakos,Levadeiakos,3,2,1.0,0.0,10.0,3.0,2.0,5.0,0.0,0.0
Aris,Panserraikos,1,1,1.0,0.0,10.0,1.0,2.0,4.0,0.0,0.0
AEK,Volos NFC,1,0,0.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0
OFI Crete,Kifisia,1,3,0.0,1.0,3.0,6.0,2.0,6.0,1.0,0.0
Asteras Tripolis,PAOK,3,3,2.0,3.0,4.0,4.0,7.0,4.0,1.0,0.0
Panetolikos,Panathinaikos,1,2,1.0,0.0,2.0,5.0,2.0,3.0,0.0,0.0
Atromitos,Larisa,1,1,1.0,0.0,2.0,3.0,1.0,6.0,0.0,1.0
OFI Crete,Aris,3,0,1.0,0.0,2.0,5.0,4.0,0.0,0.0,0.0
Panserraikos,Asteras Tripolis,2,1,1.0,0.0,2.0,4.0,5.0,4.0,0.0,0.0
Larisa,Volos NFC,2,5,1.0,2.0,10.0,2.0,4.0,3.0,0.0,0.0
Kifisia,AEK,2,3,2.0,1.0,6.0,3.0,3.0,6.0,0.0,1.0
Levadeiakos,Panetolikos,6,0,4.0,0.0,6.0,2.0,0.0,3.0,0.0,2.0
PAOK,Olympiakos,2,1,0.0,1.0,1.0,3.0,4.0,3.0,0.0,0.0
Panathinaikos,Atromitos,1,0,0.0,0.0,6.0,2.0,0.0,2.0,0.0,0.0
Larisa,Olympiakos,0,2,0.0,2.0,1.0,6.0,3.0,1.0,0.0,0.0
Atromitos,Levadeiakos,2,2,2.0,1.0,1.0,5.0,6.0,0.0,0.0,0.0
Panetolikos,OFI Crete,4,2,0.0,0.0,4.0,7.0,4.0,4.0,1.0,1.0
Asteras Tripolis,Kifisia,2,2,0.0,1.0,3.0,5.0,6.0,5.0,0.0,0.0
Volos NFC,Panserraikos,2,1,1.0,0.0,11.0,2.0,0.0,3.0,0.0,0.0
Aris,Panathinaikos,1,1,0.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0
AEK,PAOK,0,2,0.0,1.0,5.0,3.0,2.0,1.0,1.0,0.0
Kifisia,Panetolikos,1,1,1.0,1.0,4.0,4.0,6.0,1.0,1.0,0.0
Panserraikos,Larisa,0,2,0.0,2.0,1.0,6.0,2.0,3.0,1.0,0.0
OFI Crete,Atromitos,1,3,1.0,1.0,4.0,8.0,2.0,2.0,0.0,0.0
Levadeiakos,Aris,1,1,0.0,1.0,5.0,7.0,1.0,3.0,0.0,0.0
Panathinaikos,Asteras Tripolis,2,0,1.0,0.0,6.0,2.0,3.0,3.0,0.0,0.0
PAOK,Volos NFC,3,0,0.0,0.0,6.0,0.0,2.0,2.0,0.0,0.0
Olympiakos,AEK,2,0,1.0,0.0,4.0,4.0,3.0,2.0,0.0,0.0
Volos NFC,Panathinaikos,1,0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,0.0
Atromitos,Kifisia,1,2,0.0,0.0,3.0,9.0,1.0,4.0,0.0,0.0
Olympiakos,Aris,2,1,0.0,0.0,5.0,7.0,2.0,1.0,1.0,0.0
Larisa,Levadeiakos,0,2,0.0,1.0,3.0,11.0,3.0,4.0,0.0,0.0
Panserraikos,PAOK,0,5,0.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0
AEK,Panetolikos,1,0,0.0,0.0,8.0,2.0,4.0,2.0,0.0,0.0
Asteras Tripolis,OFI Crete,3,0,1.0,0.0,10.0,1.0,2.0,4.0,0.0,1.0
Panetolikos,Larisa,3,0,1.0,0.0,4.0,2.0,1.0,1.0,0.0,0.0
Aris,Asteras Tripolis,0,0,0.0,0.0,4.0,6.0,2.0,6.0,1.0,0.0
Kifisia,Olympiakos,1,3,0.0,1.0,1.0,10.0,5.0,1.0,1.0,0.0
Levadeiakos,Panserraikos,5,2,2.0,1.0,6.0,4.0,1.0,4.0,0.0,0.0
OFI Crete,AEK,0,1,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0
Atromitos,Volos NFC,0,1,0.0,1.0,7.0,0.0,2.0,4.0,0.0,0.0
Panathinaikos,PAOK,2,1,2.0,0.0,3.0,5.0,5.0,3.0,0.0,0.0
Asteras Tripolis,Panetolikos,1,1,1.0,0.0,3.0,3.0,2.0,1.0,0.0,0.0
Olympiakos,Atromitos,3,0,1.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0
Panserraikos,Panathinaikos,0,3,0.0,1.0,3.0,8.0,2.0,1.0,0.0,0.0
PAOK,Kifisia,3,0,1.0,0.0,8.0,4.0,1.0,7.0,0.0,1.0
AEK,Aris,1,0,0.0,0.0,10.0,1.0,3.0,2.0,0.0,0.0
Volos NFC,Levadeiakos,1,2,1.0,1.0,2.0,2.0,3.0,2.0,0.0,0.0
Larisa,OFI Crete,1,2,1.0,2.0,6.0,3.0,4.0,3.0,0.0,0.0
OFI Crete,Volos NFC,0,1,0.0,0.0,1.0,5.0,2.0,3.0,0.0,0.0
Aris,Larisa,2,1,1.0,0.0,7.0,0.0,4.0,6.0,0.0,1.0
Kifisia,Panserraikos,3,0,1.0,0.0,4.0,4.0,2.0,3.0,1.0,1.0
Atromitos,Asteras Tripolis,0,1,0.0,1.0,7.0,6.0,2.0,1.0,0.0,0.0
Panetolikos,Olympiakos,0,1,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0
Levadeiakos,PAOK,2,3,1.0,1.0,2.0,5.0,0.0,2.0,0.0,1.0
Panathinaikos,AEK,2,3,0.0,2.0,5.0,2.0,4.0,5.0,1.0,1.0
Olympiakos,OFI Crete,3,0,2.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0
Volos NFC,Kifisia,1,1,1.0,1.0,8.0,8.0,4.0,4.0,0.0,0.0
Asteras Tripolis,Levadeiakos,1,1,1.0,0.0,2.0,9.0,3.0,1.0,0.0,0.0
Larisa,Panathinaikos,2,2,1.0,1.0,4.0,5.0,4.0,4.0,0.0,1.0
PAOK,Aris,3,1,2.0,1.0,7.0,2.0,2.0,0.0,0.0,0.0
AEK,Atromitos,4,1,1.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0
Panserraikos,Panetolikos,0,1,0.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0
Levadeiakos,Larisa,3,0,1.0,0.0,9.0,2.0,1.0,3.0,0.0,0.0
OFI Crete,Panserraikos,3,0,3.0,0.0,8.0,5.0,4.0,3.0,0.0,0.0
Kifisia,Asteras Tripolis,0,0,0.0,0.0,6.0,4.0,1.0,3.0,0.0,0.0
Panetolikos,AEK,0,5,0.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0
Atromitos,PAOK,2,0,1.0,0.0,3.0,9.0,3.0,1.0,0.0,0.0
Aris,Olympiakos,0,0,0.0,0.0,3.0,5.0,5.0,3.0,1.0,1.0
Panathinaikos,Volos NFC,2,1,2.0,1.0,6.0,5.0,3.0,6.0,0.0,0.0
Asteras Tripolis,Aris,0,1,0.0,1.0,7.0,3.0,3.0,3.0,0.0,0.0
Volos NFC,Panetolikos,1,0,0.0,0.0,4.0,9.0,3.0,1.0,0.0,0.0
Olympiakos,Kifisia,1,1,1.0,1.0,18.0,1.0,0.0,5.0,0.0,1.0
Larisa,Atromitos,0,0,0.0,0.0,1.0,4.0,2.0,5.0,0.0,0.0
PAOK,Panathinaikos,2,0,1.0,0.0,7.0,3.0,1.0,3.0,0.0,0.0
AEK,OFI Crete,2,1,0.0,1.0,5.0,3.0,4.0,4.0,0.0,0.0
Panserraikos,Levadeiakos,0,2,0.0,0.0,2.0,7.0,2.0,2.0,2.0,0.0
Kifisia,Larisa,1,1,0.0,0.0,4.0,4.0,4.0,4.0,0.0,1.0
Atromitos,Olympiakos,0,2,0.0,1.0,2.0,5.0,3.0,2.0,0.0,0.0
Panetolikos,PAOK,0,3,0.0,2.0,5.0,8.0,3.0,1.0,0.0,0.0
Levadeiakos,Volos NFC,3,1,2.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0
OFI Crete,Asteras Tripolis,4,0,2.0,0.0,2.0,6.0,1.0,3.0,0.0,1.0
Aris,AEK,1,1,1.0,1.0,7.0,4.0,3.0,2.0,0.0,0.0
Panathinaikos,Panserraikos,3,0,3.0,0.0,10.0,1.0,1.0,5.0,0.0,1.0
Panserraikos,Kifisia,2,1,0.0,1.0,7.0,3.0,4.0,3.0,0.0,0.0
Larisa,Aris,1,0,1.0,0.0,4.0,6.0,5.0,4.0,0.0,0.0
PAOK,OFI Crete,3,0,3.0,0.0,6.0,0.0,1.0,3.0,0.0,0.0
AEK,Panathinaikos,4,0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0
Panetolikos,Levadeiakos,1,3,0.0,3.0,6.0,5.0,2.0,2.0,0.0,0.0
Volos NFC,Atromitos,0,3,0.0,2.0,3.0,4.0,6.0,3.0,0.0,0.0
Olympiakos,Volos NFC,1,0,1.0,0.0,13.0,3.0,0.0,0.0,0.0,0.0
Asteras Tripolis,AEK,0,1,0.0,1.0,10.0,8.0,2.0,4.0,0.0,0.0
Larisa,Panserraikos,1,0,0.0,0.0,5.0,1.0,5.0,4.0,0.0,1.0
Aris,Levadeiakos,2,2,1.0,0.0,7.0,6.0,6.0,5.0,0.0,0.0
OFI Crete,Panetolikos,1,0,1.0,0.0,4.0,5.0,1.0,3.0,0.0,1.0
Atromitos,Panathinaikos,0,0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0
Panetolikos,Aris,0,1,0.0,0.0,1.0,5.0,1.0,2.0,1.0,0.0
Atromitos,OFI Crete,1,2,1.0,1.0,8.0,2.0,2.0,3.0,0.0,0.0
Volos NFC,Larisa,0,2,0.0,2.0,7.0,4.0,1.0,0.0,1.0,0.0
Levadeiakos,Asteras Tripolis,3,1,1.0,0.0,3.0,6.0,3.0,4.0,0.0,0.0
Panathinaikos,Kifisia,3,0,1.0,0.0,4.0,5.0,2.0,7.0,0.0,1.0
PAOK,Panserraikos,4,1,4.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0
AEK,Olympiakos,1,1,0.0,0.0,3.0,1.0,3.0,5.0,0.0,0.0
Asteras Tripolis,Olympiakos,0,3,0.0,2.0,0.0,7.0,1.0,2.0,0.0,0.0
Larisa,Panetolikos,1,4,1.0,3.0,5.0,2.0,4.0,2.0,0.0,0.0
Asteras Tripolis,Volos NFC,2,0,0.0,0.0,11.0,5.0,1.0,3.0,0.0,0.0
Kifisia,Atromitos,0,1,0.0,0.0,4.0,4.0,0.0,2.0,0.0,0.0
Panserraikos,AEK,0,4,0.0,0.0,0.0,9.0,4.0,3.0,1.0,0.0
OFI Crete,Levadeiakos,3,2,2.0,1.0,3.0,6.0,1.0,2.0,0.0,0.0
Aris,PAOK,0,0,0.0,0.0,4.0,4.0,4.0,3.0,0.0,0.0
Olympiakos,Panathinaikos,0,1,0.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0
Panetolikos,Asteras Tripolis,3,1,1.0,1.0,6.0,2.0,2.0,2.0,0.0,0.0
Levadeiakos,Olympiakos,0,0,0.0,0.0,2.0,8.0,3.0,1.0,1.0,0.0
Volos NFC,Aris,1,1,0.0,1.0,4.0,1.0,2.0,3.0,0.0,1.0
Kifisia,OFI Crete,2,2,1.0,2.0,4.0,2.0,3.0,2.0,0.0,0.0
PAOK,AEK,0,0,0.0,0.0,7.0,5.0,4.0,4.0,0.0,0.0
Panathinaikos,Larisa,1,1,0.0,0.0,4.0,1.0,3.0,2.0,0.0,0.0
Atromitos,Panserraikos,2,2,1.0,1.0,4.0,3.0,3.0,3.0,0.0,1.0
Asteras Tripolis,Atromitos,1,2,0.0,2.0,6.0,6.0,2.0,1.0,0.0,0.0
Olympiakos,Panetolikos,2,0,1.0,0.0,12.0,4.0,1.0,2.0,0.0,0.0
OFI Crete,Panathinaikos,0,2,0.0,1.0,2.0,7.0,2.0,3.0,1.0,0.0
Panserraikos,Volos NFC,2,1,1.0,1.0,2.0,3.0,1.0,3.0,0.0,0.0
Larisa,PAOK,1,1,0.0,1.0,4.0,5.0,4.0,0.0,0.0,0.0
Aris,Kifisia,1,1,1.0,1.0,9.0,3.0,3.0,3.0,0.0,0.0
AEK,Levadeiakos,4,0,1.0,0.0,3.0,3.0,3.0,2.0,0.0,0.0
OFI Crete,Larisa,3,0,2.0,0.0,4.0,7.0,0.0,4.0,0.0,0.0
Atromitos,Panetolikos,1,0,1.0,0.0,4.0,0.0,5.0,3.0,0.0,0.0
Kifisia,Levadeiakos,1,0,1.0,0.0,3.0,5.0,6.0,2.0,0.0,0.0
Panserraikos,Olympiakos,1,2,0.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0
Volos NFC,AEK,2,2,1.0,1.0,1.0,7.0,6.0,3.0,0.0,0.0
PAOK,Asteras Tripolis,2,0,1.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0
Panathinaikos,Aris,3,1,1.0,0.0,1.0,5.0,2.0,3.0,0.0,0.0
Panathinaikos,OFI Crete,4,1,2.0,1.0,5.0,0.0,1.0,3.0,0.0,0.0
Kifisia,PAOK,1,4,0.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0
Aris,Atromitos,0,0,0.0,0.0,2.0,8.0,0.0,3.0,1.0,0.0
AEK,Larisa,1,0,1.0,0.0,7.0,3.0,2.0,3.0,0.0,0.0
Asteras Tripolis,Panserraikos,0,1,0.0,1.0,4.0,2.0,2.0,4.0,1.0,0.0
Volos NFC,OFI Crete,1,1,0.0,0.0,9.0,4.0,1.0,3.0,0.0,0.0
Levadeiakos,Panathinaikos,1,4,0.0,2.0,3.0,3.0,2.0,3.0,0.0,0.0
Olympiakos,PAOK,0,0,0.0,0.0,8.0,3.0,1.0,1.0,0.0,0.0
Panetolikos,Kifisia,2,1,2.0,1.0,6.0,5.0,3.0,2.0,1.0,0.0
OFI Crete,Olympiakos,0,3,0.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0
Panserraikos,Aris,0,0,0.0,0.0,6.0,6.0,1.0,1.0,0.0,1.0
Larisa,Asteras Tripolis,1,1,0.0,1.0,6.0,5.0,3.0,2.0,0.0,0.0
Kifisia,Volos NFC,2,0,1.0,0.0,3.0,6.0,2.0,3.0,0.0,0.0
PAOK,Levadeiakos,3,0,1.0,0.0,9.0,4.0,2.0,2.0,0.0,0.0
Atromitos,AEK,2,2,1.0,0.0,1.0,7.0,2.0,2.0,0.0,0.0
Panathinaikos,Panetolikos,0,0,0.0,0.0,5.0,6.0,0.0,1.0,0.0,0.0
PAOK,Panserraikos,3,2,2.0,1.0,9.0,1.0,1.0,3.0,0.0,0.0
Volos NFC,Olympiakos,0,2,0.0,1.0,3.0,3.0,3.0,2.0,1.0,0.0
Levadeiakos,Athens Kallithea,0,0,0.0,0.0,2.0,5.0,3.0,6.0,0.0,0.0
Panathinaikos,Asteras Tripolis,0,1,0.0,0.0,8.0,2.0,3.0,3.0,1.0,0.0
Atromitos,Aris,1,1,0.0,0.0,3.0,4.0,2.0,3.0,0.0,0.0
AEK,OFI Crete,3,0,2.0,0.0,6.0,1.0,3.0,2.0,0.0,0.0
Panetolikos,Lamia,0,1,0.0,0.0,4.0,3.0,2.0,7.0,1.0,1.0
OFI Crete,Atromitos,1,1,1.0,0.0,4.0,3.0,8.0,6.0,1.0,2.0
Panserraikos,Aris,0,1,0.0,1.0,4.0,2.0,4.0,6.0,0.0,0.0
AEK,Lamia,1,1,0.0,1.0,13.0,1.0,1.0,4.0,0.0,0.0
Asteras Tripolis,Volos NFC,0,1,0.0,1.0,13.0,0.0,3.0,4.0,0.0,0.0
PAOK,Panetolikos,2,0,0.0,0.0,4.0,1.0,2.0,5.0,0.0,0.0
Panathinaikos,Levadeiakos,1,0,0.0,0.0,7.0,3.0,2.0,2.0,0.0,0.0
Olympiakos,Athens Kallithea,2,1,1.0,0.0,7.0,3.0,1.0,2.0,0.0,0.0
Lamia,Olympiakos,0,3,0.0,1.0,4.0,6.0,2.0,1.0,0.0,0.0
Aris,Asteras Tripolis,1,1,0.0,0.0,4.0,3.0,4.0,3.0,0.0,1.0
Panetolikos,Panserraikos,3,0,1.0,0.0,3.0,4.0,4.0,3.0,0.0,0.0
Levadeiakos,AEK,0,3,0.0,1.0,1.0,6.0,3.0,3.0,0.0,0.0
Volos NFC,OFI Crete,1,3,0.0,1.0,7.0,0.0,3.0,2.0,0.0,0.0
Atromitos,PAOK,1,2,0.0,1.0,4.0,2.0,4.0,3.0,0.0,0.0
Athens Kallithea,Panathinaikos,2,2,1.0,1.0,9.0,3.0,4.0,2.0,0.0,0.0
Lamia,Athens Kallithea,0,0,0.0,0.0,1.0,3.0,2.0,2.0,0.0,0.0
Asteras Tripolis,Atromitos,1,2,1.0,2.0,6.0,1.0,1.0,5.0,0.0,0.0
Panserraikos,Levadeiakos,2,2,2.0,0.0,2.0,5.0,6.0,4.0,0.0,1.0
Olympiakos,Panetolikos,0,0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0
OFI Crete,Aris,3,2,1.0,0.0,6.0,7.0,3.0,2.0,0.0,0.0
PAOK,Panathinaikos,0,0,0.0,0.0,6.0,4.0,1.0,3.0,0.0,0.0
AEK,Volos NFC,2,0,1.0,0.0,3.0,5.0,2.0,3.0,0.0,0.0
Volos NFC,PAOK,1,4,0.0,1.0,4.0,5.0,4.0,1.0,1.0,0.0
Aris,Olympiakos,2,1,2.0,0.0,3.0,5.0,2.0,4.0,0.0,0.0
Panetolikos,Asteras Tripolis,1,1,1.0,1.0,1.0,3.0,4.0,5.0,0.0,1.0
Levadeiakos,OFI Crete,1,1,0.0,0.0,4.0,2.0,3.0,3.0,0.0,0.0
Panathinaikos,Panserraikos,3,1,1.0,1.0,7.0,1.0,1.0,4.0,0.0,0.0
Atromitos,Lamia,4,2,1.0,1.0,6.0,2.0,1.0,1.0,0.0,0.0
Athens Kallithea,AEK,0,0,0.0,0.0,2.0,13.0,3.0,5.0,0.0,0.0
Volos NFC,Athens Kallithea,1,1,1.0,1.0,6.0,4.0,2.0,1.0,0.0,0.0
Asteras Tripolis,Levadeiakos,1,1,1.0,1.0,4.0,3.0,2.0,3.0,0.0,0.0
