HomeTeam,AwayTeam,FTHG,FTAG
Drogheda,Shamrock Rovers,1,2
Derry City,Bohemians,1,0
St. Patricks,Bray,1,0
UC Dublin,Cork City,1,0
Monaghan,Dundalk,0,0
Shelbourne,Sligo Rovers,1,1
Bohemians,Shelbourne,0,2
Bray,Derry City,0,4
Cork City,Drogheda,2,3
Dundalk,St. Patricks,0,2
Shamrock Rovers,Monaghan,3,1
Sligo Rovers,UC Dublin,2,1
Cork City,Shamrock Rovers,1,1
Drogheda,Dundalk,0,0
Sligo Rovers,Bohemians,1,0
St. Patricks,Monaghan,1,1
UC Dublin,Bray,2,3
Shelbourne,Derry City,1,0
Bray,Drogheda,2,4
Derry City,Cork City,2,0
Dundalk,UC Dublin,2,1
Monaghan,Sligo Rovers,0,1
Shamrock Rovers,Shelbourne,4,0
Bohemians,St. Patricks,0,0
Shamrock Rovers,Bohemians,2,0
Cork City,Bray,1,1
Drogheda,Derry City,2,0
UC Dublin,Monaghan,3,2
Shelbourne,St. Patricks,1,1
Sligo Rovers,Dundalk,3,0
St. Patricks,Shamrock Rovers,5,1
Bohemians,Cork City,1,0
Bray,Sligo Rovers,1,2
Derry City,UC Dublin,0,0
Dundalk,Shelbourne,0,0
Monaghan,Drogheda,0,1
Sligo Rovers,Derry City,1,1
Cork City,Monaghan,6,0
Drogheda,St. Patricks,0,0
UC Dublin,Bohemians,1,2
Shamrock Rovers,Dundalk,6,0
Shelbourne,Bray,2,1
Bohemians,Monaghan,1,2
Bray,Shamrock Rovers,2,2
Cork City,Sligo Rovers,0,1
Derry City,Dundalk,1,2
Drogheda,Shelbourne,3,1
St. Patricks,UC Dublin,2,0
Sligo Rovers,St. Patricks,1,1
Dundalk,Bohemians,0,2
UC Dublin,Drogheda,1,1
Monaghan,Bray,0,1
Shamrock Rovers,Derry City,1,1
Shelbourne,Cork City,1,2
Derry City,St. Patricks,0,2
Bray,Bohemians,2,1
Cork City,Dundalk,3,2
Drogheda,Sligo Rovers,1,3
Shamrock Rovers,UC Dublin,2,2
Shelbourne,Monaghan,2,1
Bohemians,Drogheda,1,1
Dundalk,Bray,0,2
St. Patricks,Cork City,0,0
UC Dublin,Shelbourne,0,2
Sligo Rovers,Shamrock Rovers,3,0
Monaghan,Derry City,1,4
Shamrock Rovers,Drogheda,3,1
Bohemians,Derry City,1,2
Bray,St. Patricks,3,3
Cork City,UC Dublin,4,2
Dundalk,Monaghan,1,2
Sligo Rovers,Shelbourne,3,0
Derry City,Bray,3,2
Drogheda,Cork City,1,1
St. Patricks,Dundalk,1,2
UC Dublin,Sligo Rovers,1,0
Monaghan,Shamrock Rovers,0,0
Shelbourne,Bohemians,1,2
Dundalk,Drogheda,1,2
Bohemians,Sligo Rovers,0,0
Bray,UC Dublin,3,1
Derry City,Shelbourne,0,1
Monaghan,St. Patricks,0,4
Shamrock Rovers,Cork City,1,1
Shelbourne,Shamrock Rovers,2,3
Cork City,Derry City,2,2
Drogheda,Bray,3,1
St. Patricks,Bohemians,2,1
UC Dublin,Dundalk,1,1
Bohemians,Shamrock Rovers,4,0
Bray,Cork City,0,3
Derry City,Drogheda,0,3
Dundalk,Sligo Rovers,1,2
St. Patricks,Shelbourne,1,0
UC Dublin,Derry City,0,1
Shelbourne,Dundalk,4,0
Sligo Rovers,Bray,1,1
Shamrock Rovers,St. Patricks,1,1
Cork City,Bohemians,1,1
Derry City,Sligo Rovers,1,2
Bray,Shelbourne,2,3
Dundalk,Shamrock Rovers,1,1
Bohemians,UC Dublin,1,0
