HomeTeam,AwayTeam,FTHG,FTAG
Gamba Osaka,Vissel Kobe,2,3
Sanfrecce Hiroshima,Urawa Reds,1,0
Nagoya Grampus,Shimizu S-Pulse,1,0
Sagan Tosu,Cerezo Osaka,0,0
Hokkaido Consadole Sapporo,Iwata,0,0
Vegalta Sendai,Kashima Antlers,1,0
Kawasaki Frontale,Albirex Niigata,1,0
Omiya Ardija,FC Tokyo,0,1
Kashiwa Reysol,Yokohama F. Marinos,3,3
Albirex Niigata,Omiya Ardija,1,2
Cerezo Osaka,Gamba Osaka,2,1
Kashima Antlers,Kawasaki Frontale,0,1
Urawa Reds,Kashiwa Reysol,1,0
Yokohama F. Marinos,Vegalta Sendai,0,2
Shimizu S-Pulse,Sanfrecce Hiroshima,2,1
Iwata,Sagan Tosu,2,1
Vissel Kobe,Hokkaido Consadole Sapporo,2,1
FC Tokyo,Nagoya Grampus,3,2
Sanfrecce Hiroshima,Kashima Antlers,2,0
Vegalta Sendai,Omiya Ardija,4,1
Kawasaki Frontale,Cerezo Osaka,0,1
Vissel Kobe,FC Tokyo,0,2
Sagan Tosu,Yokohama F. Marinos,1,0
Hokkaido Consadole Sapporo,Urawa Reds,1,2
Kashiwa Reysol,Shimizu S-Pulse,2,1
Nagoya Grampus,Albirex Niigata,2,1
Gamba Osaka,Iwata,1,2
Omiya Ardija,Nagoya Grampus,1,1
FC Tokyo,Sanfrecce Hiroshima,0,1
Cerezo Osaka,Vegalta Sendai,1,2
Iwata,Kashiwa Reysol,1,0
Urawa Reds,Kawasaki Frontale,1,1
Albirex Niigata,Gamba Osaka,1,1
Shimizu S-Pulse,Hokkaido Consadole Sapporo,1,0
Sagan Tosu,Vissel Kobe,3,0
Yokohama F. Marinos,Kashima Antlers,0,0
Vissel Kobe,Shimizu S-Pulse,0,1
Nagoya Grampus,Sagan Tosu,1,0
Hokkaido Consadole Sapporo,Kashiwa Reysol,0,2
Vegalta Sendai,Iwata,2,2
Albirex Niigata,Yokohama F. Marinos,0,0
Omiya Ardija,Cerezo Osaka,0,3
Kashima Antlers,Urawa Reds,1,3
Sanfrecce Hiroshima,Gamba Osaka,4,1
Kawasaki Frontale,FC Tokyo,0,1
FC Tokyo,Kashima Antlers,1,2
Kashiwa Reysol,Vegalta Sendai,2,3
Yokohama F. Marinos,Omiya Ardija,1,1
Urawa Reds,Vissel Kobe,2,0
Nagoya Grampus,Hokkaido Consadole Sapporo,3,1
Shimizu S-Pulse,Iwata,3,2
Sagan Tosu,Sanfrecce Hiroshima,1,0
Cerezo Osaka,Albirex Niigata,0,1
Gamba Osaka,Kawasaki Frontale,3,2
Sanfrecce Hiroshima,Nagoya Grampus,1,1
Iwata,Yokohama F. Marinos,1,0
Vissel Kobe,Kashiwa Reysol,3,1
Hokkaido Consadole Sapporo,Kawasaki Frontale,2,3
Kashima Antlers,Cerezo Osaka,3,2
Sagan Tosu,Albirex Niigata,1,0
Omiya Ardija,Urawa Reds,2,0
Vegalta Sendai,FC Tokyo,4,0
Gamba Osaka,Shimizu S-Pulse,3,1
FC Tokyo,Shimizu S-Pulse,0,1
Nagoya Grampus,Urawa Reds,1,2
Kashiwa Reysol,Sagan Tosu,1,1
Kawasaki Frontale,Sanfrecce Hiroshima,1,4
Kashima Antlers,Gamba Osaka,5,0
Albirex Niigata,Vegalta Sendai,0,1
Omiya Ardija,Hokkaido Consadole Sapporo,2,1
Yokohama F. Marinos,Vissel Kobe,3,1
Cerezo Osaka,Iwata,3,2
Vissel Kobe,Omiya Ardija,3,0
Hokkaido Consadole Sapporo,Cerezo Osaka,1,0
Kawasaki Frontale,Iwata,4,3
Sanfrecce Hiroshima,Albirex Niigata,0,1
Sagan Tosu,Vegalta Sendai,1,1
Shimizu S-Pulse,Kashima Antlers,3,0
Urawa Reds,Yokohama F. Marinos,1,2
Cerezo Osaka,Vissel Kobe,1,2
Vegalta Sendai,Shimizu S-Pulse,0,1
Yokohama F. Marinos,Hokkaido Consadole Sapporo,2,1
Kashiwa Reysol,Sanfrecce Hiroshima,2,5
Iwata,Urawa Reds,2,2
Nagoya Grampus,Kawasaki Frontale,2,3
Omiya Ardija,Gamba Osaka,1,0
Albirex Niigata,FC Tokyo,0,2
Kashima Antlers,Sagan Tosu,0,0
Hokkaido Consadole Sapporo,FC Tokyo,0,1
Iwata,Kashima Antlers,3,0
Sagan Tosu,Omiya Ardija,1,1
Sanfrecce Hiroshima,Yokohama F. Marinos,1,3
Kawasaki Frontale,Kashiwa Reysol,0,2
Shimizu S-Pulse,Cerezo Osaka,1,1
Urawa Reds,Albirex Niigata,1,1
Vissel Kobe,Nagoya Grampus,0,1
Gamba Osaka,Vegalta Sendai,1,1
Sanfrecce Hiroshima,Vissel Kobe,3,2
Yokohama F. Marinos,Gamba Osaka,0,0
Albirex Niigata,Iwata,1,6
Urawa Reds,Shimizu S-Pulse,1,0
Omiya Ardija,Kawasaki Frontale,0,2
Kashima Antlers,Hokkaido Consadole Sapporo,7,0
Vegalta Sendai,Nagoya Grampus,4,0
Cerezo Osaka,Kashiwa Reysol,1,2
FC Tokyo,Sagan Tosu,3,2
Gamba Osaka,Sagan Tosu,2,3
Nagoya Grampus,Cerezo Osaka,0,1
Kawasaki Frontale,Vegalta Sendai,3,2
Hokkaido Consadole Sapporo,Sanfrecce Hiroshima,1,3
Shimizu S-Pulse,Yokohama F. Marinos,0,0
Iwata,Omiya Ardija,4,0
Vissel Kobe,Kashima Antlers,1,2
Kashiwa Reysol,Albirex Niigata,2,0
FC Tokyo,Urawa Reds,1,1
Vegalta Sendai,Hokkaido Consadole Sapporo,4,1
Kashima Antlers,Nagoya Grampus,2,3
Albirex Niigata,Shimizu S-Pulse,1,0
Cerezo Osaka,Sanfrecce Hiroshima,1,4
Gamba Osaka,Urawa Reds,1,2
Iwata,Vissel Kobe,1,3
Omiya Ardija,Kashiwa Reysol,2,4
Sagan Tosu,Kawasaki Frontale,0,1
Yokohama F. Marinos,FC Tokyo,1,0
Hokkaido Consadole Sapporo,Gamba Osaka,0,4
FC Tokyo,Cerezo Osaka,2,0
Shimizu S-Pulse,Sagan Tosu,1,1
Sanfrecce Hiroshima,Omiya Ardija,0,0
Kashiwa Reysol,Kashima Antlers,1,1
Kawasaki Frontale,Yokohama F. Marinos,0,0
Vissel Kobe,Albirex Niigata,1,0
Nagoya Grampus,Iwata,2,0
Urawa Reds,Vegalta Sendai,0,0
FC Tokyo,Kashiwa Reysol,0,1
Gamba Osaka,Nagoya Grampus,2,2
Yokohama F. Marinos,Nagoya Grampus,1,1
Vegalta Sendai,Sanfrecce Hiroshima,2,2
Albirex Niigata,Kashima Antlers,1,1
Cerezo Osaka,Urawa Reds,1,1
Gamba Osaka,Kashiwa Reysol,2,6
Iwata,FC Tokyo,3,1
Kawasaki Frontale,Vissel Kobe,0,1
Omiya Ardija,Shimizu S-Pulse,1,0
Sagan Tosu,Hokkaido Consadole Sapporo,1,0
Hokkaido Consadole Sapporo,Albirex Niigata,0,1
