HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Ath Bilbao,Getafe,1,1,1,0,5,6,4,1,0,0
Betis,Girona,1,1,1,0,4,4,2,0,0,0
Celta,Alaves,2,1,0,1,3,3,3,2,0,0
Las Palmas,Sevilla,2,2,1,1,6,3,0,0,0,0
Osasuna,Leganes,1,1,0,1,6,4,3,2,0,0
Valencia,Barcelona,1,2,1,1,3,8,2,3,0,0
Sociedad,Vallecano,1,2,0,0,10,5,2,4,0,0
Mallorca,Real Madrid,1,1,0,1,8,7,1,0,0,1
Valladolid,Espanol,1,0,1,0,3,2,2,2,0,0
Villarreal,Ath Madrid,2,2,2,2,2,3,1,3,0,0
Celta,Valencia,3,1,2,1,4,7,3,0,0,0
Sevilla,Villarreal,1,2,1,1,7,2,3,5,0,0
Osasuna,Mallorca,1,0,0,0,5,4,2,1,0,0
Barcelona,Ath Bilbao,2,1,1,1,5,6,4,5,0,0
Espanol,Sociedad,0,1,0,0,7,4,2,2,0,0
Getafe,Vallecano,0,0,0,0,3,2,1,2,0,0
Real Madrid,Valladolid,3,0,0,0,5,5,1,1,0,0
Leganes,Las Palmas,2,1,0,0,3,7,1,1,0,0
Alaves,Betis,0,0,0,0,3,8,1,4,1,0
Ath Madrid,Girona,3,0,1,0,1,9,1,3,0,0
Villarreal,Celta,4,3,1,2,7,4,4,3,0,0
Mallorca,Sevilla,0,0,0,0,5,9,0,1,0,1
Vallecano,Barcelona,1,2,1,0,6,6,3,1,0,0
Ath Bilbao,Valencia,1,0,1,0,5,3,1,3,0,0
Valladolid,Leganes,0,0,0,0,4,4,1,5,0,0
Ath Madrid,Espanol,0,0,0,0,9,3,0,2,0,0
Sociedad,Alaves,1,2,1,1,8,6,4,4,1,0
Girona,Osasuna,4,0,1,0,5,0,0,0,0,0
Las Palmas,Real Madrid,1,1,1,0,2,6,0,2,0,0
Barcelona,Valladolid,7,0,3,0,10,1,0,3,0,0
Ath Bilbao,Ath Madrid,0,1,0,0,2,2,3,1,0,0
Espanol,Vallecano,2,1,1,1,3,7,3,2,0,0
Leganes,Mallorca,0,1,0,1,1,3,1,3,0,0
Valencia,Villarreal,1,1,1,1,14,3,3,5,0,1
Alaves,Las Palmas,2,0,1,0,6,5,3,0,0,0
Osasuna,Celta,3,2,2,1,6,3,2,0,0,1
Sevilla,Girona,0,2,0,1,7,5,3,2,0,0
Getafe,Sociedad,0,0,0,0,4,1,1,1,0,0
Real Madrid,Betis,2,0,0,0,7,3,2,0,0,0
Betis,Leganes,2,0,0,0,11,1,1,2,0,0
Mallorca,Villarreal,1,2,0,1,7,6,3,3,1,0
Espanol,Alaves,3,2,1,1,0,5,2,3,0,0
Sevilla,Getafe,1,0,1,0,3,4,3,4,1,0
Sociedad,Real Madrid,0,2,0,0,6,6,4,1,0,0
Celta,Valladolid,3,1,2,0,5,3,3,5,0,1
Girona,Barcelona,1,4,0,2,1,6,3,2,0,1
Las Palmas,Ath Bilbao,2,3,0,2,9,3,1,2,0,1
Ath Madrid,Valencia,3,0,1,0,7,3,1,2,0,0
Vallecano,Osasuna,3,1,0,1,7,4,3,2,0,0
Mallorca,Sociedad,1,0,1,0,5,5,1,1,0,0
Betis,Getafe,2,1,0,0,8,4,3,5,0,0
Leganes,Ath Bilbao,0,2,0,0,4,7,3,0,0,0
Alaves,Sevilla,2,1,1,0,3,5,1,4,0,0
Valladolid,Sociedad,0,0,0,0,5,7,4,4,0,0
Osasuna,Las Palmas,2,1,1,1,2,4,2,5,0,0
Valencia,Girona,2,0,0,0,5,4,3,2,0,0
Real Madrid,Espanol,4,1,0,0,9,4,4,3,0,0
Getafe,Leganes,1,1,0,0,6,2,3,2,0,0
Ath Bilbao,Celta,3,1,2,1,3,6,3,2,0,0
Villarreal,Barcelona,1,5,1,2,7,3,6,1,0,0
Vallecano,Ath Madrid,1,1,1,0,3,4,0,0,0,0
Betis,Mallorca,1,2,1,1,6,3,3,2,0,0
Sevilla,Valladolid,2,1,1,0,6,4,5,4,1,0
Valencia,Osasuna,0,0,0,0,10,5,2,3,0,0
Real Madrid,Alaves,3,2,2,0,4,4,4,0,0,0
Girona,Vallecano,0,0,0,0,4,3,3,4,0,0
Barcelona,Getafe,1,0,1,0,7,5,1,1,0,0
Espanol,Villarreal,1,2,1,1,4,1,5,3,0,0
Las Palmas,Betis,1,1,1,1,1,4,4,2,0,0
Celta,Ath Madrid,0,1,0,0,2,3,2,2,0,0
Valladolid,Mallorca,1,2,0,0,7,4,3,2,0,0
Getafe,Alaves,2,0,1,0,2,2,3,6,0,0
Vallecano,Leganes,1,1,1,0,5,5,2,1,0,0
Sociedad,Valencia,3,0,1,0,6,4,0,0,0,0
Osasuna,Barcelona,4,2,2,0,5,8,2,2,0,0
Celta,Girona,1,1,0,1,4,4,1,0,0,0
Ath Bilbao,Sevilla,1,1,1,0,4,7,0,3,1,0
Betis,Espanol,1,0,0,0,8,4,2,4,0,0
