HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Accrington,Gillingham,1,1,0,0,3,3,2,2,0,0
Barnet,Fleetwood Town,0,2,0,1,8,2,0,0,0,0
Bristol Rvs,Harrogate,0,1,0,0,13,4,1,3,0,0
Cambridge,Cheltenham,1,0,0,0,4,2,0,2,0,0
Chesterfield,Barrow,1,0,1,0,4,3,1,1,0,0
Colchester,Tranmere,1,1,0,1,4,5,2,2,0,0
Grimsby,Crawley Town,3,0,2,0,10,3,0,2,0,0
Milton Keynes Dons,Oldham,0,0,0,0,7,3,1,3,0,0
Salford,Crewe,1,3,1,3,7,10,4,2,0,0
Shrewsbury,Bromley,0,0,0,0,4,5,3,1,0,0
Walsall,Swindon,2,1,1,0,1,5,2,1,1,0
Newport County,Notts County,1,1,0,0,2,6,1,1,0,0
Notts County,Salford,1,2,0,1,1,7,3,3,0,0
Tranmere,Shrewsbury,4,0,2,0,2,5,1,1,0,1
Barrow,Milton Keynes Dons,0,2,0,0,1,5,3,2,0,0
Bromley,Barnet,2,0,1,0,6,6,3,1,0,0
Cheltenham,Chesterfield,0,2,0,0,2,5,7,1,0,0
Crawley Town,Newport County,1,2,0,0,6,3,0,2,0,0
Crewe,Accrington,2,0,2,0,8,2,1,2,0,0
Fleetwood Town,Bristol Rvs,2,1,2,0,1,6,1,3,0,0
Gillingham,Walsall,1,0,0,0,5,2,3,3,0,0
Harrogate,Grimsby,3,3,0,0,3,4,5,3,0,0
Oldham,Colchester,1,1,1,1,8,7,1,1,0,0
Swindon,Cambridge,3,2,2,1,2,7,2,1,0,0
Chesterfield,Bristol Rvs,3,1,1,0,5,4,3,3,0,1
Oldham,Swindon,1,2,1,2,4,2,0,3,0,0
Barnet,Walsall,1,2,1,2,7,1,2,0,1,0
Barrow,Notts County,2,1,1,0,3,3,1,1,0,0
Bromley,Fleetwood Town,2,2,1,1,7,2,4,2,0,0
Cambridge,Harrogate,1,1,1,0,9,3,1,1,0,0
Crewe,Crawley Town,1,0,1,0,7,3,4,2,0,0
Grimsby,Newport County,2,1,1,0,12,3,2,3,0,0
Milton Keynes Dons,Cheltenham,5,0,3,0,3,1,1,4,0,0
Salford,Accrington,2,1,2,0,5,1,1,1,0,0
Shrewsbury,Colchester,0,2,0,0,6,1,2,1,1,0
Tranmere,Gillingham,1,1,0,0,3,4,2,2,0,1
Newport County,Salford,0,1,0,0,5,3,1,3,0,0
Bristol Rvs,Oldham,0,0,0,0,4,1,3,2,0,0
Cheltenham,Bromley,1,2,0,1,12,7,1,3,0,0
Colchester,Cambridge,1,2,1,2,2,11,2,4,0,0
Crawley Town,Milton Keynes Dons,1,1,1,0,8,11,4,1,0,0
Fleetwood Town,Crewe,1,4,0,2,2,3,6,4,0,0
Gillingham,Chesterfield,4,1,1,0,0,2,4,1,0,0
Harrogate,Barrow,1,0,1,0,4,6,0,0,0,0
Swindon,Barnet,0,2,0,0,6,8,2,3,0,0
Walsall,Grimsby,0,1,0,0,4,6,2,2,0,0
Notts County,Shrewsbury,4,1,2,1,4,4,3,3,0,0
Newport County,Milton Keynes Dons,1,2,1,1,3,7,1,2,0,0
