HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Guingamp,Le Mans,3,3,0.0,2.0,10.0,5.0,3.0,3.0,0.0,1.0
Dunkerque,Clermont,2,2,1.0,2.0,9.0,2.0,2.0,1.0,0.0,0.0
Laval,St Etienne,3,3,2.0,2.0,4.0,7.0,3.0,0.0,1.0,0.0
Montpellier,Red Star,1,1,1.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0
Pau FC,Annecy,2,0,1.0,0.0,5.0,5.0,2.0,2.0,0.0,1.0
Rodez,Nancy,0,0,0.0,0.0,4.0,9.0,1.0,2.0,0.0,0.0
Troyes,Grenoble,2,1,1.0,1.0,3.0,1.0,1.0,1.0,0.0,1.0
Amiens,Reims,2,2,1.0,1.0,8.0,7.0,1.0,1.0,0.0,0.0
Bastia,Pau FC,1,1,1.0,0.0,6.0,11.0,2.0,3.0,1.0,1.0
Clermont,Troyes,0,0,0.0,0.0,3.0,3.0,2.0,3.0,0.0,0.0
Grenoble,Laval,1,1,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0
Nancy,Boulogne,1,0,1.0,0.0,4.0,2.0,4.0,2.0,0.0,0.0
Red Star,Amiens,1,3,0.0,1.0,13.0,2.0,2.0,3.0,0.0,0.0
Annecy,Dunkerque,2,2,2.0,1.0,3.0,5.0,4.0,1.0,0.0,0.0
Reims,Guingamp,1,0,1.0,0.0,4.0,3.0,2.0,1.0,0.0,0.0
St Etienne,Rodez,4,0,1.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0
Le Mans,Montpellier,1,2,0.0,0.0,5.0,9.0,3.0,2.0,0.0,0.0
Amiens,Annecy,0,1,0.0,1.0,5.0,3.0,3.0,4.0,0.0,0.0
Clermont,Grenoble,2,1,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0
Dunkerque,Nancy,1,3,1.0,2.0,6.0,6.0,2.0,2.0,0.0,0.0
Le Mans,Bastia,1,0,0.0,0.0,9.0,5.0,4.0,2.0,0.0,0.0
Rodez,Laval,1,1,1.0,0.0,5.0,9.0,2.0,1.0,0.0,0.0
Guingamp,Red Star,0,4,0.0,1.0,8.0,2.0,1.0,3.0,0.0,0.0
Troyes,Montpellier,1,0,1.0,0.0,6.0,4.0,3.0,1.0,0.0,1.0
Boulogne,St Etienne,0,1,0.0,0.0,3.0,5.0,5.0,3.0,0.0,0.0
Pau FC,Reims,2,0,2.0,0.0,5.0,4.0,3.0,2.0,0.0,0.0
Dunkerque,Troyes,2,0,0.0,0.0,2.0,11.0,1.0,1.0,0.0,0.0
Laval,Clermont,0,0,0.0,0.0,13.0,5.0,2.0,0.0,0.0,0.0
Montpellier,Amiens,1,1,0.0,1.0,3.0,1.0,3.0,3.0,0.0,0.0
Nancy,Pau FC,2,2,2.0,1.0,11.0,3.0,1.0,1.0,0.0,0.0
Red Star,Annecy,1,0,1.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0
Rodez,Boulogne,1,0,1.0,0.0,4.0,4.0,2.0,1.0,0.0,1.0
Bastia,Guingamp,1,3,0.0,2.0,6.0,3.0,4.0,2.0,0.0,0.0
Reims,Le Mans,1,0,0.0,0.0,5.0,4.0,0.0,2.0,0.0,0.0
St Etienne,Grenoble,1,1,1.0,0.0,9.0,1.0,2.0,4.0,0.0,1.0
Amiens,Bastia,0,0,0.0,0.0,5.0,3.0,0.0,1.0,0.0,0.0
Boulogne,Laval,1,2,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0
Le Mans,Rodez,0,1,0.0,0.0,5.0,3.0,2.0,2.0,0.0,0.0
Pau FC,Red Star,0,3,0.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0
Troyes,Nancy,3,0,1.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0
Annecy,Reims,1,1,1.0,0.0,5.0,7.0,3.0,5.0,0.0,0.0
Grenoble,Dunkerque,1,0,1.0,0.0,6.0,7.0,2.0,1.0,0.0,0.0
Clermont,St Etienne,1,2,1.0,0.0,2.0,5.0,1.0,1.0,0.0,0.0
Guingamp,Montpellier,1,0,1.0,0.0,5.0,6.0,1.0,3.0,0.0,0.0
Boulogne,Bastia,1,0,0.0,0.0,2.0,4.0,3.0,4.0,0.0,0.0
Boulogne,Pau FC,0,3,0.0,3.0,6.0,0.0,3.0,2.0,0.0,0.0
Dunkerque,Le Mans,2,2,1.0,1.0,7.0,3.0,1.0,3.0,1.0,1.0
Grenoble,Annecy,1,3,0.0,0.0,4.0,10.0,0.0,1.0,0.0,0.0
Laval,Amiens,0,3,0.0,1.0,8.0,6.0,2.0,2.0,0.0,0.0
Nancy,Red Star,0,1,0.0,0.0,3.0,4.0,2.0,3.0,1.0,0.0
Rodez,Clermont,0,1,0.0,0.0,7.0,2.0,2.0,1.0,0.0,1.0
Montpellier,Bastia,2,0,2.0,0.0,2.0,9.0,3.0,3.0,0.0,0.0
Troyes,Guingamp,5,2,3.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
St Etienne,Reims,3,2,2.0,1.0,1.0,6.0,0.0,4.0,0.0,0.0
Amiens,St Etienne,0,1,0.0,0.0,3.0,9.0,2.0,2.0,0.0,0.0
Annecy,Nancy,1,2,1.0,1.0,4.0,3.0,4.0,3.0,0.0,0.0
Bastia,Rodez,2,3,1.0,0.0,7.0,6.0,1.0,1.0,0.0,0.0
Guingamp,Dunkerque,2,1,2.0,1.0,4.0,4.0,2.0,3.0,0.0,0.0
Le Mans,Grenoble,1,0,1.0,0.0,5.0,5.0,4.0,2.0,1.0,0.0
Montpellier,Boulogne,1,3,0.0,1.0,4.0,5.0,0.0,3.0,1.0,0.0
