HomeTeam,AwayTeam,FTHG,FTAG
Molde,Stromsgodset,2,1
Honefoss,Lillestrom,0,0
Odd,Sogndal,0,4
Stabaek,Aalesund,0,0
Tromso,Fredrikstad,1,0
Valerenga,Haugesund,2,1
Rosenborg,Brann,3,1
Sandnes,Viking,2,2
Brann,Sandnes,3,1
Stromsgodset,Valerenga,3,2
Fredrikstad,Stabaek,5,1
Haugesund,Molde,2,0
Sogndal,Honefoss,0,0
Viking,Odd,1,0
Lillestrom,Rosenborg,2,2
Aalesund,Tromso,0,0
Odd,Lillestrom,2,0
Honefoss,Fredrikstad,1,1
Rosenborg,Sogndal,0,0
Sandnes,Aalesund,1,1
Stromsgodset,Haugesund,3,3
Tromso,Stabaek,3,0
Molde,Brann,2,1
Valerenga,Viking,1,0
Fredrikstad,Rosenborg,1,2
Aalesund,Odd,2,1
Brann,Stromsgodset,1,2
Sogndal,Haugesund,1,1
Tromso,Sandnes,3,1
Lillestrom,Valerenga,1,1
Stabaek,Honefoss,0,2
Viking,Molde,1,0
Valerenga,Sogndal,0,2
Haugesund,Brann,2,1
Honefoss,Aalesund,3,1
Odd,Fredrikstad,1,1
Sandnes,Stabaek,2,1
Stromsgodset,Viking,1,0
Rosenborg,Tromso,3,0
Molde,Lillestrom,3,2
Aalesund,Rosenborg,2,2
Lillestrom,Stromsgodset,0,1
Fredrikstad,Sandnes,3,4
Stabaek,Odd,0,2
Tromso,Honefoss,0,0
Viking,Haugesund,0,2
Sogndal,Molde,2,1
Brann,Valerenga,1,2
Rosenborg,Stabaek,3,1
Odd,Tromso,2,2
Haugesund,Lillestrom,1,1
Sandnes,Honefoss,1,0
Stromsgodset,Sogndal,3,0
Valerenga,Fredrikstad,3,2
Molde,Aalesund,2,1
Brann,Viking,0,0
Stabaek,Molde,0,5
Tromso,Valerenga,3,1
Aalesund,Stromsgodset,3,1
Fredrikstad,Haugesund,0,0
Honefoss,Odd,1,4
Sandnes,Rosenborg,1,1
Sogndal,Viking,1,2
Lillestrom,Brann,3,4
Haugesund,Aalesund,4,2
Molde,Fredrikstad,2,0
Rosenborg,Honefoss,0,1
Stromsgodset,Tromso,2,0
Viking,Lillestrom,1,2
Brann,Sogndal,5,0
Odd,Sandnes,2,2
Fredrikstad,Stromsgodset,2,3
Honefoss,Valerenga,1,0
Aalesund,Brann,2,0
Lillestrom,Sogndal,1,0
Sandnes,Molde,0,2
Stabaek,Haugesund,0,2
Tromso,Viking,5,1
Rosenborg,Odd,0,0
Brann,Fredrikstad,2,0
Sogndal,Sandnes,0,0
Stromsgodset,Odd,1,0
Viking,Stabaek,1,0
Valerenga,Rosenborg,0,0
Haugesund,Honefoss,1,1
Lillestrom,Aalesund,0,0
Molde,Tromso,3,2
Honefoss,Molde,1,1
Sandnes,Haugesund,0,2
Stabaek,Lillestrom,4,1
Tromso,Brann,2,0
Fredrikstad,Viking,3,0
Valerenga,Stabaek,1,2
Aalesund,Sogndal,2,2
Rosenborg,Stromsgodset,3,3
Sogndal,Fredrikstad,1,3
Brann,Stabaek,2,1
Haugesund,Tromso,1,1
Lillestrom,Sandnes,1,3
Molde,Odd,3,1
Stromsgodset,Honefoss,4,0
Viking,Rosenborg,1,4
Valerenga,Aalesund,0,0
Honefoss,Brann,2,1
Tromso,Sogndal,1,1
Aalesund,Viking,1,1
Odd,Haugesund,2,1
Sandnes,Valerenga,0,2
Stabaek,Stromsgodset,1,2
Rosenborg,Molde,1,0
Fredrikstad,Lillestrom,3,4
Odd,Valerenga,2,3
Lillestrom,Tromso,4,2
Valerenga,Molde,1,2
Aalesund,Fredrikstad,3,0
Brann,Odd,6,2
Sogndal,Stabaek,3,1
Viking,Honefoss,2,1
Haugesund,Rosenborg,0,1
Stromsgodset,Sandnes,2,1
Haugesund,Sogndal,0,0
Molde,Viking,1,2
Brann,Aalesund,2,1
Fredrikstad,Honefoss,0,2
Odd,Stromsgodset,2,1
Stabaek,Valerenga,1,3
Rosenborg,Lillestrom,1,1
Stromsgodset,Fredrikstad,5,0
Lillestrom,Molde,1,1
Aalesund,Stabaek,3,1
Honefoss,Haugesund,3,2
Sogndal,Odd,0,1
Viking,Sandnes,3,0
Tromso,Rosenborg,1,1
Valerenga,Brann,1,1
Haugesund,Valerenga,4,2
Honefoss,Stromsgodset,1,1
Molde,Sogndal,2,1
Fredrikstad,Tromso,2,0
Odd,Viking,1,4
Sandnes,Lillestrom,0,1
Rosenborg,Aalesund,3,0
Stabaek,Brann,0,4
Valerenga,Odd,3,1
Brann,Haugesund,3,2
Lillestrom,Honefoss,2,2
Sogndal,Rosenborg,0,3
Stabaek,Sandnes,2,1
Tromso,Stromsgodset,4,0
Viking,Fredrikstad,3,0
Aalesund,Molde,0,1
Odd,Brann,1,0
Stromsgodset,Lillestrom,3,3
Haugesund,Stabaek,4,1
Honefoss,Tromso,0,1
Molde,Valerenga,2,0
Sandnes,Sogndal,3,1
Rosenborg,Viking,1,1
Fredrikstad,Aalesund,1,3
Valerenga,Sandnes,4,0
