HomeTeam,AwayTeam,FTHG,FTAG
Pogon Szczecin,Zaglebie,4,0
Piast Gliwice,Gornik Z.,1,2
Jagiellonia,Podbeskidzie,2,1
Widzew Lodz,Slask Wroclaw,2,1
Lech Poznan,Ruch,4,0
Wisla,GKS Belchatow,2,1
Legia,Korona Kielce,4,0
Lechia Gdansk,Polonia Warszawa,1,3
Zaglebie,Piast Gliwice,2,1
Jagiellonia,Gornik Z.,1,1
Podbeskidzie,Wisla,1,1
Widzew Lodz,Ruch,2,0
Polonia Warszawa,Lech Poznan,1,2
Slask Wroclaw,Korona Kielce,2,0
GKS Belchatow,Legia,0,2
Pogon Szczecin,Lechia Gdansk,0,2
Piast Gliwice,Pogon Szczecin,1,0
Wisla,Polonia Warszawa,1,3
Korona Kielce,Lechia Gdansk,0,1
Widzew Lodz,GKS Belchatow,1,0
Jagiellonia,Zaglebie,0,0
Lech Poznan,Gornik Z.,0,0
Slask Wroclaw,Ruch,1,0
Legia,Podbeskidzie,3,1
Podbeskidzie,Slask Wroclaw,1,1
Pogon Szczecin,Wisla,2,0
Polonia Warszawa,Jagiellonia,1,1
Lechia Gdansk,Piast Gliwice,1,2
Ruch,Korona Kielce,1,1
Zaglebie,Widzew Lodz,0,1
Gornik Z.,Legia,2,2
GKS Belchatow,Lech Poznan,0,1
Korona Kielce,Podbeskidzie,2,1
Legia,Polonia Warszawa,1,1
Jagiellonia,Piast Gliwice,0,2
Ruch,Zaglebie,2,1
Wisla,Lechia Gdansk,1,0
Slask Wroclaw,GKS Belchatow,2,1
Lech Poznan,Pogon Szczecin,1,1
Widzew Lodz,Gornik Z.,1,1
Podbeskidzie,Ruch,1,2
Polonia Warszawa,Widzew Lodz,3,1
GKS Belchatow,Korona Kielce,1,1
Pogon Szczecin,Jagiellonia,1,1
Zaglebie,Legia,2,2
Gornik Z.,Slask Wroclaw,4,1
Lechia Gdansk,Lech Poznan,2,0
Piast Gliwice,Wisla,2,0
Ruch,GKS Belchatow,2,1
Legia,Wisla,2,1
Korona Kielce,Zaglebie,1,0
Podbeskidzie,Gornik Z.,1,3
Lech Poznan,Piast Gliwice,4,0
Widzew Lodz,Pogon Szczecin,1,3
Slask Wroclaw,Polonia Warszawa,2,1
Jagiellonia,Lechia Gdansk,0,2
Gornik Z.,Korona Kielce,2,0
Zaglebie,Lech Poznan,0,1
GKS Belchatow,Podbeskidzie,2,1
Piast Gliwice,Widzew Lodz,1,2
Wisla,Jagiellonia,0,0
Lechia Gdansk,Slask Wroclaw,2,3
Polonia Warszawa,Ruch,2,1
Pogon Szczecin,Legia,0,3
Podbeskidzie,Lechia Gdansk,2,3
Widzew Lodz,Wisla,1,2
Korona Kielce,Pogon Szczecin,2,1
GKS Belchatow,Polonia Warszawa,0,5
Lech Poznan,Jagiellonia,0,2
Slask Wroclaw,Zaglebie,0,2
Legia,Piast Gliwice,3,2
Ruch,Gornik Z.,0,0
Gornik Z.,GKS Belchatow,2,0
Wisla,Lech Poznan,0,1
Piast Gliwice,Ruch,1,3
Zaglebie,Podbeskidzie,1,2
Jagiellonia,Widzew Lodz,2,2
Lechia Gdansk,Legia,1,2
Polonia Warszawa,Korona Kielce,2,0
Pogon Szczecin,Slask Wroclaw,0,3
Ruch,Lechia Gdansk,0,1
Widzew Lodz,Lech Poznan,0,1
Podbeskidzie,Polonia Warszawa,0,1
Slask Wroclaw,Piast Gliwice,1,3
Legia,Jagiellonia,1,2
Gornik Z.,Zaglebie,0,2
Korona Kielce,Wisla,1,1
GKS Belchatow,Pogon Szczecin,0,1
Zaglebie,GKS Belchatow,1,0
Lechia Gdansk,Widzew Lodz,2,0
Piast Gliwice,Podbeskidzie,1,0
Jagiellonia,Korona Kielce,0,0
Polonia Warszawa,Gornik Z.,1,1
Lech Poznan,Legia,1,3
Wisla,Slask Wroclaw,1,0
Pogon Szczecin,Ruch,1,0
Korona Kielce,Piast Gliwice,4,0
Legia,Widzew Lodz,1,0
GKS Belchatow,Lechia Gdansk,1,1
Polonia Warszawa,Zaglebie,0,1
Gornik Z.,Pogon Szczecin,0,0
Slask Wroclaw,Jagiellonia,3,3
Ruch,Wisla,1,2
Podbeskidzie,Lech Poznan,2,3
Jagiellonia,GKS Belchatow,2,2
Lech Poznan,Slask Wroclaw,0,3
Pogon Szczecin,Podbeskidzie,2,0
Widzew Lodz,Korona Kielce,1,0
Wisla,Gornik Z.,1,3
Lechia Gdansk,Zaglebie,2,2
Legia,Ruch,3,0
Piast Gliwice,Polonia Warszawa,1,1
Ruch,Jagiellonia,1,1
Slask Wroclaw,Legia,1,0
GKS Belchatow,Piast Gliwice,1,3
Zaglebie,Wisla,4,1
Gornik Z.,Lechia Gdansk,2,0
Podbeskidzie,Widzew Lodz,2,2
Korona Kielce,Lech Poznan,0,1
Polonia Warszawa,Pogon Szczecin,2,0
Zaglebie,Pogon Szczecin,3,0
Polonia Warszawa,Lechia Gdansk,1,1
Podbeskidzie,Jagiellonia,4,0
Slask Wroclaw,Widzew Lodz,2,1
Korona Kielce,Legia,3,2
GKS Belchatow,Wisla,0,0
Ruch,Lech Poznan,0,4
Gornik Z.,Piast Gliwice,1,0
Lechia Gdansk,Pogon Szczecin,1,1
Lech Poznan,Polonia Warszawa,0,1
Ruch,Widzew Lodz,3,0
Piast Gliwice,Zaglebie,1,1
Legia,GKS Belchatow,0,0
Korona Kielce,Slask Wroclaw,1,1
Gornik Z.,Jagiellonia,1,2
Wisla,Podbeskidzie,0,0
Zaglebie,Jagiellonia,2,1
Podbeskidzie,Legia,1,2
GKS Belchatow,Widzew Lodz,0,0
