HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Casa Pia,Sp Lisbon,0,2,0,1,2,9,4,1,0,0
Nacional,Gil Vicente,0,2,0,2,14,6,3,6,0,0
Arouca,AVS,3,1,1,0,4,5,2,0,0,0
Famalicao,Santa Clara,3,0,2,0,2,3,4,2,0,0
Moreirense,Alverca,2,1,1,1,6,2,3,1,0,0
Sp Braga,Tondela,3,0,2,0,5,3,1,3,0,0
Estoril,Estrela,1,1,1,0,4,4,4,1,0,0
Porto,Guimaraes,3,0,2,0,7,4,1,3,0,0
AVS,Casa Pia,0,2,0,1,1,3,4,5,0,0
Tondela,Famalicao,0,1,0,0,2,7,0,1,0,0
Guimaraes,Estoril,3,2,1,1,4,2,4,3,0,0
Estrela,Benfica,0,1,0,0,5,4,3,3,0,0
Rio Ave,Nacional,1,1,1,0,6,6,2,4,0,1
Alverca,Sp Braga,0,3,0,3,1,5,2,1,0,0
Santa Clara,Moreirense,0,1,0,1,3,0,4,5,0,0
Sp Lisbon,Arouca,6,0,3,0,6,1,1,0,0,1
Gil Vicente,Porto,0,2,0,1,1,5,2,4,0,0
Moreirense,Guimaraes,2,0,0,0,3,7,5,2,0,0
Nacional,Sp Lisbon,1,4,1,0,3,13,3,2,1,0
Arouca,Rio Ave,3,3,1,0,4,2,3,2,0,0
Benfica,Tondela,3,0,2,0,13,2,2,2,0,0
Famalicao,Gil Vicente,0,0,0,0,2,9,3,1,0,0
Porto,Casa Pia,4,0,3,0,7,2,3,1,0,0
Sp Braga,AVS,2,2,1,2,11,3,2,3,0,0
Estrela,Alverca,2,2,1,2,6,2,4,5,1,1
Gil Vicente,Moreirense,2,0,0,0,4,3,1,2,0,0
Casa Pia,Nacional,0,2,0,2,2,3,2,3,0,0
AVS,Famalicao,0,1,0,0,5,9,1,5,0,1
Guimaraes,Arouca,1,1,1,1,2,2,4,4,0,0
Sp Lisbon,Porto,1,2,0,0,5,3,3,5,0,0
Tondela,Estoril,2,2,0,1,3,4,1,3,0,0
Alverca,Benfica,1,2,0,2,5,2,4,6,0,1
Rio Ave,Sp Braga,2,2,2,1,1,7,3,2,0,0
Santa Clara,Estrela,0,0,0,0,8,0,2,2,0,0
Estoril,Santa Clara,0,1,0,0,5,7,4,1,0,0
Alverca,Tondela,1,0,1,0,5,6,1,2,0,0
Benfica,Santa Clara,1,1,0,0,4,5,1,1,0,1
Estoril,AVS,3,1,2,0,1,5,5,2,0,0
Moreirense,Rio Ave,3,1,0,0,7,3,1,0,0,0
Porto,Nacional,1,0,1,0,5,5,2,4,0,0
Famalicao,Sp Lisbon,1,2,1,1,5,4,4,3,0,0
Estrela,Guimaraes,0,2,0,1,3,2,2,0,0,0
Arouca,Casa Pia,0,2,0,1,7,6,2,7,0,0
Sp Braga,Gil Vicente,0,1,0,1,5,7,2,3,0,0
Rio Ave,Porto,0,3,0,2,2,10,2,1,0,0
Nacional,Arouca,1,2,0,0,3,5,2,2,1,1
Santa Clara,Alverca,2,1,1,1,7,0,6,4,0,0
AVS,Benfica,0,3,0,1,2,1,1,1,0,0
Guimaraes,Sp Braga,1,1,1,1,3,5,2,3,0,0
Tondela,Estrela,0,0,0,0,5,2,4,3,1,0
Gil Vicente,Estoril,2,0,1,0,4,0,2,2,0,0
Casa Pia,Famalicao,1,1,0,0,5,3,1,2,0,0
Sp Lisbon,Moreirense,3,0,0,0,6,4,1,1,0,0
Benfica,Rio Ave,1,1,0,0,11,2,3,2,0,0
Benfica,Gil Vicente,2,1,2,1,0,7,3,4,0,1
Moreirense,Casa Pia,2,1,1,1,6,8,5,4,0,0
Santa Clara,Tondela,1,2,0,0,3,4,2,7,0,0
Estrela,AVS,3,0,3,0,6,6,3,2,1,1
Estoril,Sp Lisbon,0,1,0,1,3,9,4,2,0,0
Alverca,Guimaraes,2,0,1,0,1,5,3,0,1,0
Sp Braga,Nacional,0,1,0,1,6,3,0,2,0,0
Famalicao,Rio Ave,0,0,0,0,11,6,4,5,0,0
Arouca,Porto,0,4,0,1,5,8,5,3,0,1
Casa Pia,Estoril,2,2,2,1,6,7,3,3,0,0
Gil Vicente,Estrela,2,0,2,0,5,7,2,3,1,0
Nacional,Moreirense,3,2,1,1,2,4,1,3,0,1
AVS,Alverca,1,3,1,1,0,5,3,2,0,0
Guimaraes,Santa Clara,2,1,0,1,9,3,4,5,0,0
Arouca,Famalicao,1,1,0,0,4,11,5,1,1,0
Rio Ave,Tondela,3,0,2,0,6,7,7,4,1,1
Sp Lisbon,Sp Braga,1,1,1,0,1,5,4,5,0,0
Porto,Benfica,0,0,0,0,3,3,6,2,0,0
Alverca,Gil Vicente,0,4,0,2,1,4,3,4,0,1
Santa Clara,AVS,2,0,0,0,8,4,1,1,0,0
