HomeTeam,AwayTeam,FTHG,FTAG
Pandurii,U. Cluj,6,2
CS Turnu Severin,Din. Bucuresti,1,2
Petrolul,Ceahlaul,5,0
CFR Cluj,Gaz Metan Medias,1,1
Bistrita,Astra,1,2
Poli Iasi,Otelul,1,2
FC Rapid Bucuresti,Vaslui,2,2
Viitorul Constanta,FC Brasov,2,2
FCSB,Concordia,1,0
FC Brasov,CS Turnu Severin,2,1
Ceahlaul,CFR Cluj,2,2
Gaz Metan Medias,Pandurii,0,2
Astra,FCSB,3,4
Vaslui,Petrolul,3,0
U. Cluj,Bistrita,1,0
Din. Bucuresti,Poli Iasi,5,2
Concordia,Viitorul Constanta,1,1
Otelul,FC Rapid Bucuresti,1,1
Bistrita,Gaz Metan Medias,1,1
Pandurii,Ceahlaul,3,1
CS Turnu Severin,Concordia,0,1
Petrolul,Otelul,2,1
CFR Cluj,Vaslui,3,0
Viitorul Constanta,Astra,0,0
FCSB,U. Cluj,5,1
FC Rapid Bucuresti,Poli Iasi,1,0
FC Brasov,Din. Bucuresti,2,2
Astra,CS Turnu Severin,1,1
Poli Iasi,Petrolul,2,2
U. Cluj,Viitorul Constanta,2,1
Vaslui,Pandurii,0,0
Gaz Metan Medias,FCSB,1,1
Ceahlaul,Bistrita,2,0
Otelul,CFR Cluj,1,2
Concordia,FC Brasov,2,1
CS Turnu Severin,U. Cluj,1,1
CFR Cluj,Poli Iasi,2,2
Concordia,Din. Bucuresti,0,0
Bistrita,Vaslui,0,3
Petrolul,FC Rapid Bucuresti,0,0
FCSB,Ceahlaul,3,0
Viitorul Constanta,Gaz Metan Medias,0,1
Pandurii,Otelul,3,2
FC Brasov,Astra,1,2
Gaz Metan Medias,CS Turnu Severin,2,0
Astra,Concordia,6,3
Otelul,Bistrita,1,1
FC Rapid Bucuresti,CFR Cluj,3,2
Poli Iasi,Pandurii,0,1
Din. Bucuresti,Petrolul,2,1
Ceahlaul,Viitorul Constanta,0,3
U. Cluj,FC Brasov,1,1
Vaslui,FCSB,3,1
Bistrita,Poli Iasi,1,0
FC Brasov,Gaz Metan Medias,3,1
Pandurii,FC Rapid Bucuresti,2,0
Astra,Din. Bucuresti,1,0
FCSB,Otelul,2,1
CFR Cluj,Petrolul,2,2
Concordia,U. Cluj,0,2
Viitorul Constanta,Vaslui,2,2
CS Turnu Severin,Ceahlaul,1,1
Ceahlaul,FC Brasov,2,1
Din. Bucuresti,CFR Cluj,0,1
Gaz Metan Medias,Concordia,1,3
Otelul,Viitorul Constanta,1,1
FC Rapid Bucuresti,Bistrita,3,1
Petrolul,Pandurii,4,0
Poli Iasi,FCSB,0,3
U. Cluj,Astra,1,3
Vaslui,CS Turnu Severin,2,1
Concordia,Ceahlaul,2,1
Bistrita,Petrolul,1,1
CS Turnu Severin,Otelul,1,1
U. Cluj,Din. Bucuresti,1,2
Astra,Gaz Metan Medias,4,0
FC Brasov,Vaslui,2,1
Pandurii,CFR Cluj,2,1
Viitorul Constanta,Poli Iasi,1,0
FCSB,FC Rapid Bucuresti,1,0
Gaz Metan Medias,U. Cluj,2,1
CFR Cluj,Bistrita,5,1
Vaslui,Concordia,3,0
