HomeTeam,AwayTeam,FTHG,FTAG
M. Saransk,Lokomotiv Moscow,2,3
CSKA Moscow,FK Rostov,1,0
Volga N. Novgorod,Dynamo Moscow,1,0
Vladikavkaz,Spartak Moscow,1,2
Zenit,Amkar,2,0
Krylya Sovetov,Akhmat Grozny,1,1
FK Anzi Makhackala,Kuban,2,1
Krasnodar,Rubin Kazan,2,1
Kuban,M. Saransk,1,0
Zenit,Dynamo Moscow,2,0
Amkar,CSKA Moscow,3,1
Lokomotiv Moscow,Krylya Sovetov,2,0
Rubin Kazan,Vladikavkaz,3,1
Spartak Moscow,Volga N. Novgorod,2,1
FK Rostov,FK Anzi Makhackala,2,2
Akhmat Grozny,Krasnodar,1,0
M. Saransk,FK Rostov,3,0
CSKA Moscow,Zenit,1,3
Vladikavkaz,Akhmat Grozny,5,0
Krasnodar,Lokomotiv Moscow,3,1
Krylya Sovetov,Kuban,2,1
FK Anzi Makhackala,Amkar,1,0
Dynamo Moscow,Spartak Moscow,0,4
Volga N. Novgorod,Rubin Kazan,1,2
Kuban,Krasnodar,2,1
Zenit,Spartak Moscow,5,0
Lokomotiv Moscow,Vladikavkaz,2,2
Akhmat Grozny,Volga N. Novgorod,2,0
Amkar,M. Saransk,0,0
CSKA Moscow,FK Anzi Makhackala,1,0
Rubin Kazan,Dynamo Moscow,2,0
FK Rostov,Krylya Sovetov,1,2
Spartak Moscow,Rubin Kazan,2,1
Volga N. Novgorod,Lokomotiv Moscow,0,2
Krasnodar,FK Rostov,0,0
Dynamo Moscow,Akhmat Grozny,1,2
M. Saransk,CSKA Moscow,0,3
FK Anzi Makhackala,Zenit,1,1
Krylya Sovetov,Amkar,0,2
Vladikavkaz,Kuban,2,1
Lokomotiv Moscow,Dynamo Moscow,2,3
Zenit,Rubin Kazan,1,2
Akhmat Grozny,Spartak Moscow,2,1
FK Rostov,Vladikavkaz,3,1
Amkar,Krasnodar,2,2
CSKA Moscow,Krylya Sovetov,3,0
FK Anzi Makhackala,M. Saransk,4,2
Kuban,Volga N. Novgorod,6,2
M. Saransk,Zenit,0,3
Rubin Kazan,Akhmat Grozny,1,2
Volga N. Novgorod,FK Rostov,1,1
Vladikavkaz,Amkar,1,1
Krasnodar,CSKA Moscow,0,1
Dynamo Moscow,Kuban,1,2
Krylya Sovetov,FK Anzi Makhackala,1,2
Lokomotiv Moscow,Spartak Moscow,2,1
Zenit,Akhmat Grozny,0,2
Lokomotiv Moscow,Rubin Kazan,1,0
Kuban,Spartak Moscow,2,2
CSKA Moscow,Vladikavkaz,2,0
FK Anzi Makhackala,Krasnodar,5,2
FK Rostov,Dynamo Moscow,1,0
Amkar,Volga N. Novgorod,3,2
M. Saransk,Krylya Sovetov,2,3
Krasnodar,M. Saransk,6,1
Volga N. Novgorod,CSKA Moscow,2,3
Dynamo Moscow,Amkar,3,2
Krylya Sovetov,Zenit,2,2
Akhmat Grozny,Lokomotiv Moscow,0,3
Spartak Moscow,FK Rostov,3,1
Rubin Kazan,Kuban,1,0
Vladikavkaz,FK Anzi Makhackala,0,1
Zenit,Lokomotiv Moscow,1,1
Amkar,Spartak Moscow,1,3
Kuban,Akhmat Grozny,2,1
CSKA Moscow,Dynamo Moscow,0,2
FK Anzi Makhackala,Volga N. Novgorod,2,1
FK Rostov,Rubin Kazan,0,4
Krylya Sovetov,Krasnodar,2,2
M. Saransk,Vladikavkaz,1,1
Akhmat Grozny,FK Rostov,2,1
Lokomotiv Moscow,Kuban,0,1
Volga N. Novgorod,M. Saransk,0,2
Vladikavkaz,Krylya Sovetov,2,2
Dynamo Moscow,FK Anzi Makhackala,0,2
Rubin Kazan,Amkar,0,1
Spartak Moscow,CSKA Moscow,0,2
Krasnodar,Zenit,0,2
FK Anzi Makhackala,Spartak Moscow,2,1
Zenit,Kuban,1,0
Krasnodar,Vladikavkaz,2,0
Amkar,Akhmat Grozny,0,1
CSKA Moscow,Rubin Kazan,2,0
M. Saransk,Dynamo Moscow,1,2
FK Rostov,Lokomotiv Moscow,0,0
Krylya Sovetov,Volga N. Novgorod,0,1
Lokomotiv Moscow,Amkar,1,2
Kuban,FK Rostov,1,0
Spartak Moscow,M. Saransk,2,0
Volga N. Novgorod,Krasnodar,1,1
Vladikavkaz,Zenit,2,3
Dynamo Moscow,Krylya Sovetov,1,0
Akhmat Grozny,CSKA Moscow,1,2
Rubin Kazan,FK Anzi Makhackala,2,1
Zenit,FK Rostov,2,1
Amkar,Kuban,0,3
Krylya Sovetov,Spartak Moscow,0,5
M. Saransk,Rubin Kazan,1,3
CSKA Moscow,Lokomotiv Moscow,2,1
FK Anzi Makhackala,Akhmat Grozny,3,1
Krasnodar,Dynamo Moscow,2,0
Vladikavkaz,Volga N. Novgorod,0,2
FK Rostov,Amkar,3,0
Dynamo Moscow,Vladikavkaz,2,0
Akhmat Grozny,M. Saransk,2,1
Kuban,CSKA Moscow,1,3
Lokomotiv Moscow,FK Anzi Makhackala,1,1
Rubin Kazan,Krylya Sovetov,2,0
Volga N. Novgorod,Zenit,1,2
Spartak Moscow,Krasnodar,2,0
Volga N. Novgorod,Spartak Moscow,1,1
Dynamo Moscow,Zenit,3,0
Vladikavkaz,Rubin Kazan,0,2
CSKA Moscow,Amkar,3,0
M. Saransk,Kuban,0,3
FK Anzi Makhackala,FK Rostov,0,0
Krylya Sovetov,Lokomotiv Moscow,0,1
Krasnodar,Akhmat Grozny,3,0
FK Rostov,M. Saransk,2,0
Akhmat Grozny,Vladikavkaz,1,0
Lokomotiv Moscow,Krasnodar,3,2
Spartak Moscow,Dynamo Moscow,1,5
Kuban,Krylya Sovetov,4,1
Amkar,FK Anzi Makhackala,1,2
Rubin Kazan,Volga N. Novgorod,0,0
Zenit,CSKA Moscow,1,1
Krasnodar,Kuban,2,1
Spartak Moscow,Zenit,2,4
Dynamo Moscow,Rubin Kazan,3,0
Vladikavkaz,Lokomotiv Moscow,0,1
Volga N. Novgorod,Akhmat Grozny,1,1
FK Anzi Makhackala,CSKA Moscow,2,0
Krylya Sovetov,FK Rostov,0,2
M. Saransk,Amkar,1,1
FK Rostov,Krasnodar,2,3
Amkar,Krylya Sovetov,0,2
Kuban,Vladikavkaz,0,0
Lokomotiv Moscow,Volga N. Novgorod,0,1
Akhmat Grozny,Dynamo Moscow,1,2
CSKA Moscow,M. Saransk,2,1
Rubin Kazan,Spartak Moscow,0,1
Zenit,FK Anzi Makhackala,1,1
Volga N. Novgorod,Kuban,0,2
Krasnodar,Amkar,2,1
Dynamo Moscow,Lokomotiv Moscow,1,0
Krylya Sovetov,CSKA Moscow,0,2
Vladikavkaz,FK Rostov,0,0
Spartak Moscow,Akhmat Grozny,3,1
Rubin Kazan,Zenit,1,0
M. Saransk,FK Anzi Makhackala,2,0
