HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Kilmarnock,Livingston,2,2,2,0,3,5,2,2,1,0
Motherwell,Rangers,1,1,0,1,1,12,1,4,0,0
Falkirk,Dundee United,2,2,0,1,2,4,1,5,0,0
Dundee,Hibernian,1,2,1,2,3,11,3,1,0,0
Celtic,St Mirren,1,0,0,0,12,1,2,1,0,0
Hearts,Aberdeen,2,0,1,0,3,3,3,2,0,0
Livingston,Falkirk,3,1,2,0,4,5,4,2,0,0
St Mirren,Motherwell,0,0,0,0,7,4,5,1,0,0
Rangers,Dundee,1,1,0,0,7,4,2,1,1,0
Aberdeen,Celtic,0,2,0,1,1,6,2,3,0,0
Dundee United,Hearts,2,3,2,1,2,9,3,4,0,0
Hibernian,Kilmarnock,2,2,2,1,4,7,1,2,0,0
Celtic,Livingston,3,0,0,0,10,4,0,1,0,0
Hearts,Motherwell,3,3,0,1,9,3,3,2,0,0
Kilmarnock,Dundee,0,0,0,0,7,3,3,3,0,0
St Mirren,Rangers,1,1,1,0,6,6,3,3,0,0
Livingston,Hearts,1,2,1,0,5,9,7,2,0,0
Motherwell,Kilmarnock,2,2,1,1,9,0,2,5,0,0
Rangers,Celtic,0,0,0,0,8,1,3,0,0,0
Dundee,Dundee United,0,2,0,1,3,2,0,1,0,0
Aberdeen,Falkirk,0,1,0,0,5,6,3,5,1,0
Hibernian,St Mirren,1,1,0,0,10,7,1,1,0,0
Aberdeen,Livingston,0,0,0,0,6,6,4,3,0,0
Dundee,Motherwell,1,1,0,1,2,6,1,1,1,0
Falkirk,St Mirren,1,2,0,0,4,2,1,2,0,0
Rangers,Hearts,0,2,0,1,9,2,2,1,0,0
Hibernian,Dundee United,3,3,1,2,6,4,2,4,0,1
Kilmarnock,Celtic,1,2,0,0,6,7,2,3,0,0
Dundee,Livingston,3,2,1,0,8,3,1,3,0,0
Dundee United,Aberdeen,2,0,1,0,11,3,2,1,0,0
Falkirk,Hibernian,2,2,1,2,5,5,2,0,0,0
Celtic,Hibernian,0,0,0,0,7,2,2,1,0,0
Dundee United,Kilmarnock,0,2,0,1,9,6,4,2,0,0
Hearts,Falkirk,3,0,2,0,9,5,0,1,0,0
St Mirren,Dundee,1,0,1,0,5,5,3,2,0,0
Motherwell,Aberdeen,2,0,0,0,3,4,0,3,0,0
Livingston,Rangers,1,2,0,1,4,8,4,1,0,0
Dundee United,Livingston,1,1,0,1,4,5,1,1,0,0
Kilmarnock,St Mirren,2,0,2,0,4,9,1,2,0,0
Hearts,Hibernian,1,0,0,0,4,2,2,1,0,0
Aberdeen,Dundee,4,0,3,0,11,2,1,0,0,0
Celtic,Motherwell,3,2,1,1,10,0,2,0,0,0
Falkirk,Rangers,1,1,0,1,7,6,1,4,0,0
Hibernian,Livingston,4,0,1,0,7,10,1,2,0,0
Motherwell,Falkirk,1,2,1,0,6,4,1,5,0,0
Rangers,Dundee United,2,2,1,0,7,2,0,4,0,0
St Mirren,Aberdeen,0,1,0,0,5,2,2,4,0,0
Kilmarnock,Hearts,0,3,0,1,4,5,2,2,0,0
Dundee,Celtic,2,0,2,0,2,12,2,2,0,0
Dundee United,St Mirren,3,1,1,1,4,12,1,1,0,1
Falkirk,Dundee,2,1,0,1,5,3,2,2,0,0
Livingston,Motherwell,1,2,1,0,0,3,2,2,0,0
Hearts,Celtic,3,1,1,1,5,9,4,1,0,0
Aberdeen,Hibernian,1,2,0,1,6,3,0,2,0,0
Rangers,Kilmarnock,3,1,1,1,9,2,1,2,0,0
Celtic,Falkirk,4,0,2,0,6,3,1,2,0,0
Hibernian,Rangers,0,1,0,1,5,4,2,3,0,0
Kilmarnock,Aberdeen,0,1,0,1,7,2,4,6,0,0
Motherwell,Dundee United,2,0,1,0,4,2,1,2,0,0
St Mirren,Hearts,2,2,1,1,6,7,2,2,0,0
Falkirk,Kilmarnock,3,1,3,0,2,6,0,1,0,0
Hearts,Dundee,4,0,2,0,6,2,0,2,0,0
Livingston,Hibernian,2,2,1,1,6,1,2,1,0,0
Falkirk,Livingston,1,1,1,0,6,1,3,2,0,0
St Mirren,Hibernian,0,3,0,1,5,6,4,1,0,0
Aberdeen,Motherwell,1,1,0,0,4,6,3,1,0,0
Dundee,Rangers,0,3,0,2,4,6,0,1,0,0
Hearts,Dundee United,1,1,1,1,4,3,2,4,0,0
Celtic,Kilmarnock,4,0,1,0,8,7,2,2,0,0
Dundee United,Falkirk,0,3,0,2,5,5,3,3,0,0
Hibernian,Dundee,2,0,1,0,8,3,2,1,0,0
Kilmarnock,Motherwell,1,3,0,2,3,3,1,5,0,0
Rangers,Livingston,2,1,1,1,2,1,2,4,0,0
St Mirren,Celtic,0,1,0,0,2,4,2,1,0,0
Aberdeen,Hearts,1,0,1,0,6,3,3,4,0,0
Motherwell,Hibernian,2,0,2,0,0,2,0,1,0,1
Dundee,St Mirren,3,1,2,1,1,11,0,2,0,0
Motherwell,Hearts,0,0,0,0,3,4,2,4,0,0
Kilmarnock,Dundee United,1,1,1,0,3,3,3,2,0,0
Hibernian,Celtic,1,2,0,2,4,3,3,3,0,0
Rangers,Falkirk,0,0,0,0,4,5,0,3,0,0
Livingston,Aberdeen,0,1,0,0,7,4,1,1,0,0
Aberdeen,St Mirren,3,3,0,0,8,6,0,1,0,0
Celtic,Dundee,1,0,1,0,6,0,3,0,0,0
Dundee United,Rangers,2,2,1,1,8,9,3,3,0,0
Falkirk,Motherwell,0,0,0,0,6,3,2,0,0,0
Hearts,Kilmarnock,1,1,0,0,9,1,1,2,0,0
Dundee,Aberdeen,1,3,0,2,6,4,2,1,0,0
Hibernian,Falkirk,3,0,2,0,10,4,1,4,0,0
Motherwell,Livingston,3,0,1,0,4,5,2,3,0,0
St Mirren,Dundee United,2,0,1,0,3,2,2,2,0,0
Kilmarnock,Rangers,0,3,0,1,7,2,2,2,0,0
Celtic,Hearts,1,2,0,1,5,3,1,3,0,0
Dundee United,Motherwell,0,0,0,0,1,4,3,3,0,0
Livingston,Dundee,2,2,0,2,7,0,2,2,1,0
Falkirk,Hearts,0,2,0,1,3,7,2,2,0,0
Aberdeen,Kilmarnock,2,1,0,1,9,3,2,5,0,0
Rangers,Hibernian,1,0,1,0,5,5,1,3,0,0
Dundee United,Celtic,2,1,0,1,7,6,2,1,0,0
Dundee United,Hibernian,1,1,1,1,5,7,2,2,0,0
Kilmarnock,Falkirk,0,1,0,0,2,2,2,1,0,0
Motherwell,Dundee,1,0,0,0,2,3,1,2,0,0
St Mirren,Livingston,1,0,0,0,7,4,0,1,0,0
Hearts,Rangers,2,1,2,0,6,10,2,1,0,0
Celtic,Aberdeen,3,1,1,0,8,4,1,2,0,0
Hibernian,Hearts,3,2,2,0,3,8,1,0,0,0
Dundee,Falkirk,1,0,1,0,1,9,3,2,0,0
Livingston,Celtic,2,4,2,4,11,4,1,0,0,0
Rangers,Motherwell,1,0,0,0,5,1,3,1,0,0
St Mirren,Kilmarnock,0,0,0,0,11,4,1,0,0,0
Aberdeen,Dundee United,1,1,0,1,9,5,2,3,0,0
Dundee,Kilmarnock,2,1,0,1,7,5,2,4,0,0
Hibernian,Aberdeen,2,0,0,0,4,5,1,2,0,0
Livingston,Dundee United,1,3,0,1,2,7,4,0,0,0
Rangers,St Mirren,2,1,1,0,5,4,1,2,0,0
Motherwell,Celtic,2,0,1,0,1,3,0,4,0,0
Celtic,Rangers,1,3,1,0,8,5,0,3,0,0
Dundee United,Dundee,0,1,0,1,8,2,2,1,0,0
