HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Arbroath,Ayr,1,1,0,1,6,2,2,5,0,0
Airdrie Utd,Ross County,2,2,0,1,4,10,3,2,0,0
Morton,Dunfermline,0,0,0,0,1,8,3,1,0,0
Raith Rvs,Queens Park,1,1,0,1,10,2,1,3,0,0
St Johnstone,Partick,5,1,3,1,7,1,2,2,0,0
Ross County,St Johnstone,0,1,0,0,2,5,4,3,0,0
Ayr,Raith Rvs,0,1,0,1,6,5,3,0,0,0
Dunfermline,Airdrie Utd,2,0,2,0,3,4,2,3,0,0
Partick,Morton,1,1,0,1,2,6,3,2,0,0
Queens Park,Arbroath,1,3,0,0,7,3,2,1,0,0
Raith Rvs,Dunfermline,2,0,1,0,2,3,3,2,0,0
Airdrie Utd,Queens Park,1,1,0,0,3,7,3,4,0,0
Morton,Ayr,2,2,1,0,1,7,3,1,0,0
Ross County,Partick,1,3,0,1,10,9,1,2,0,0
St Johnstone,Arbroath,3,0,1,0,9,3,2,2,0,0
Arbroath,Airdrie Utd,1,0,0,0,4,0,3,2,0,0
Ayr,Queens Park,1,1,0,1,6,2,1,2,0,0
Dunfermline,Ross County,2,2,1,1,2,2,3,2,0,0
Partick,Raith Rvs,3,2,2,2,7,2,3,4,0,0
St Johnstone,Morton,1,1,0,1,13,2,1,3,0,0
Morton,Raith Rvs,0,1,0,0,4,5,3,5,0,1
Ross County,Arbroath,1,2,0,1,15,3,2,4,0,0
Partick,Airdrie Utd,2,1,0,1,12,4,2,3,0,0
Arbroath,Dunfermline,0,5,0,2,9,5,4,2,0,0
Ayr,Ross County,1,1,1,0,8,5,0,3,0,0
Queens Park,Morton,0,0,0,0,2,8,2,4,0,0
Raith Rvs,St Johnstone,0,2,0,1,6,5,1,0,0,0
St Johnstone,Dunfermline,2,1,0,1,13,4,1,2,0,0
Airdrie Utd,Raith Rvs,0,0,0,0,5,11,2,1,0,0
Arbroath,Morton,1,1,0,0,6,7,1,0,0,0
Ross County,Queens Park,1,2,1,1,3,2,2,3,1,0
Airdrie Utd,St Johnstone,1,2,0,2,5,10,5,1,1,1
Dunfermline,Ayr,0,1,0,1,6,3,2,2,1,1
Ayr,Airdrie Utd,4,2,4,1,4,4,1,1,0,0
Dunfermline,Partick,0,2,0,2,5,6,2,2,1,0
Morton,Ross County,1,1,0,1,8,5,3,4,0,0
Queens Park,St Johnstone,1,2,1,1,1,4,2,3,0,0
Raith Rvs,Arbroath,3,0,0,0,7,5,3,0,0,0
Queens Park,Partick,0,1,0,1,5,5,4,3,0,0
Airdrie Utd,Morton,1,2,0,0,4,4,1,2,0,0
Dunfermline,Queens Park,0,0,0,0,2,3,2,2,0,0
Partick,Arbroath,1,1,1,0,6,5,2,1,0,0
Ross County,Raith Rvs,2,0,0,0,3,6,0,2,0,0
St Johnstone,Ayr,0,0,0,0,10,2,4,2,0,0
Arbroath,Queens Park,4,1,3,0,7,1,0,4,0,0
Morton,Partick,1,1,1,0,3,11,3,0,0,0
Raith Rvs,Ayr,0,2,0,2,6,3,2,3,0,0
St Johnstone,Ross County,0,0,0,0,17,0,0,0,0,0
Dunfermline,Raith Rvs,2,0,1,0,2,4,4,3,0,0
Arbroath,St Johnstone,3,1,0,1,4,2,3,2,0,0
Ayr,Morton,2,1,1,0,7,2,3,3,0,0
Partick,Ross County,1,0,0,0,5,3,4,3,0,0
Queens Park,Airdrie Utd,0,0,0,0,4,7,3,1,0,0
Airdrie Utd,Dunfermline,0,4,0,2,5,8,2,1,1,0
Partick,Ayr,2,1,0,1,8,4,2,3,0,1
Airdrie Utd,Arbroath,1,0,1,0,0,6,1,3,0,0
Morton,St Johnstone,0,4,0,4,4,6,2,0,0,0
