HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Burgos,Cultural Leonesa,5,1,3,0,3,3,1,1,0,1
Valladolid,Ceuta,3,0,2,0,6,4,3,2,0,0
Santander,Castellon,3,1,2,1,3,12,3,0,0,1
Malaga,Eibar,1,1,0,0,8,4,2,2,0,0
Granada,La Coruna,1,3,0,1,7,1,3,2,1,0
Sociedad B,Zaragoza,1,0,1,0,2,9,4,2,0,0
Cadiz,Mirandes,1,0,1,0,8,0,3,2,0,1
Huesca,Leganes,1,1,0,0,5,3,2,2,0,0
Las Palmas,Andorra,1,1,1,0,1,2,2,3,1,0
Sp Gijon,Cordoba,2,1,1,1,2,4,2,2,0,0
Almeria,Albacete,4,4,1,1,17,5,3,2,0,0
Eibar,Granada,3,0,1,0,6,3,2,4,0,1
Castellon,Valladolid,0,1,0,1,8,9,3,3,0,0
Leganes,Cadiz,1,1,1,0,7,5,2,1,0,0
Mirandes,Huesca,0,1,0,1,1,4,5,2,0,0
Ceuta,Sp Gijon,0,1,0,1,3,3,1,2,0,0
Zaragoza,Andorra,1,3,0,1,6,5,1,2,1,0
La Coruna,Burgos,0,0,0,0,2,6,2,1,0,0
Cultural Leonesa,Almeria,0,1,0,0,3,5,1,2,0,0
Malaga,Sociedad B,1,0,0,0,6,2,2,2,0,0
Albacete,Santander,2,3,0,0,2,10,1,3,0,0
Cordoba,Las Palmas,1,3,0,1,3,2,4,1,0,0
Sociedad B,Almeria,2,2,1,1,2,8,3,4,0,0
Sp Gijon,Cultural Leonesa,1,0,0,0,10,3,4,1,0,0
Santander,Ceuta,4,1,2,1,5,1,0,1,0,1
Valladolid,Cordoba,0,0,0,0,7,0,2,2,0,0
Castellon,Zaragoza,1,1,0,0,7,3,2,3,0,0
Andorra,Burgos,2,1,1,0,5,4,1,2,0,0
Cadiz,Albacete,2,1,1,0,7,4,4,3,0,1
Las Palmas,Malaga,0,1,0,1,7,3,2,4,0,0
Granada,Mirandes,1,2,0,0,6,1,2,2,1,0
Huesca,Eibar,2,1,1,1,5,6,2,1,0,1
Leganes,La Coruna,2,2,2,0,4,3,4,3,0,0
Albacete,Mirandes,1,4,0,1,5,2,2,1,1,0
Cordoba,Castellon,2,1,0,1,4,4,2,0,0,0
La Coruna,Sp Gijon,1,0,0,0,6,3,3,1,0,0
Zaragoza,Valladolid,1,1,0,0,1,7,5,4,0,0
Malaga,Granada,2,2,2,1,2,1,2,1,0,0
Ceuta,Huesca,2,1,1,0,8,0,1,2,0,1
Burgos,Las Palmas,0,0,0,0,2,6,2,2,0,0
Sociedad B,Cadiz,3,3,1,1,1,5,4,3,0,0
Almeria,Santander,2,3,2,0,5,3,3,3,1,0
Cultural Leonesa,Leganes,0,0,0,0,9,3,0,2,0,0
Eibar,Andorra,2,0,0,0,10,5,3,4,0,0
Las Palmas,Sociedad B,2,1,1,0,4,2,1,6,0,0
Cadiz,Eibar,1,0,0,0,5,4,2,2,0,0
Mirandes,La Coruna,1,5,0,2,1,6,2,3,0,0
Huesca,Malaga,1,0,0,0,4,3,4,2,0,0
Valladolid,Almeria,3,1,1,0,8,3,5,5,0,0
Andorra,Cordoba,3,1,2,1,3,7,2,4,0,0
Santander,Cultural Leonesa,2,4,0,3,11,1,0,2,0,0
Castellon,Ceuta,3,3,2,1,10,6,3,5,0,1
Sp Gijon,Burgos,2,3,0,2,8,4,1,2,0,0
Granada,Leganes,0,2,0,1,5,1,2,3,0,0
Zaragoza,Albacete,0,0,0,0,3,6,1,3,0,0
La Coruna,Huesca,4,0,3,0,6,3,1,2,0,0
Cultural Leonesa,Castellon,1,3,0,2,1,4,2,6,1,0
Andorra,Mirandes,1,1,1,1,8,4,2,5,0,0
Leganes,Las Palmas,0,1,0,0,2,4,7,5,1,0
Almeria,Sp Gijon,2,1,0,1,6,1,4,8,0,2
Ceuta,Zaragoza,1,0,0,0,6,5,5,2,0,0
Albacete,Valladolid,2,0,0,0,2,6,3,3,0,0
Eibar,Sociedad B,2,1,1,0,2,3,2,2,0,0
Malaga,Cadiz,0,1,0,1,5,2,1,2,0,0
Cordoba,Santander,2,2,0,0,12,1,2,3,1,0
Burgos,Granada,1,1,0,0,6,1,1,3,0,0
Mirandes,Zaragoza,0,1,0,1,4,2,3,4,0,0
Eibar,La Coruna,1,1,0,1,6,2,4,5,0,0
Santander,Andorra,1,2,0,0,15,3,3,3,0,0
Las Palmas,Almeria,0,1,0,1,5,1,2,4,1,1
Sociedad B,Cordoba,1,1,1,0,8,5,4,5,0,0
Burgos,Malaga,2,1,1,1,0,3,5,4,0,1
Cadiz,Ceuta,0,0,0,0,1,1,2,2,0,0
Sp Gijon,Albacete,3,4,3,1,2,8,1,2,0,0
Valladolid,Cultural Leonesa,0,1,0,1,2,2,3,3,0,0
Huesca,Granada,0,1,0,1,13,2,1,1,0,0
Leganes,Castellon,0,1,0,1,6,2,4,2,0,0
Ceuta,Eibar,1,0,1,0,7,3,4,1,0,1
La Coruna,Almeria,1,1,0,1,4,2,4,3,0,0
Andorra,Leganes,1,2,0,0,7,1,2,3,1,0
Huesca,Burgos,2,1,1,0,1,1,2,3,0,0
Granada,Sociedad B,5,2,5,1,2,5,2,4,0,0
Zaragoza,Cordoba,0,1,0,0,7,4,6,5,1,0
Castellon,Sp Gijon,3,1,2,1,3,1,3,6,0,0
Santander,Malaga,3,0,0,0,11,3,2,0,0,1
Valladolid,Mirandes,1,1,0,1,14,2,0,1,0,0
Las Palmas,Cadiz,1,0,0,0,6,5,1,4,0,0
Cultural Leonesa,Albacete,0,0,0,0,6,1,1,1,0,1
Granada,Las Palmas,0,0,0,0,7,7,1,1,0,0
Mirandes,Leganes,0,0,0,0,3,10,6,1,0,0
Almeria,Zaragoza,4,2,0,0,7,5,2,2,0,0
Sociedad B,Andorra,3,0,1,0,2,4,4,2,0,1
Albacete,Ceuta,0,0,0,0,6,3,1,3,0,0
Eibar,Castellon,0,0,0,0,1,7,1,4,0,0
Sp Gijon,Santander,2,1,1,0,4,6,1,5,1,1
Burgos,Valladolid,0,1,0,0,2,2,6,7,0,0
Cadiz,Huesca,1,0,0,0,13,2,2,3,0,0
Malaga,La Coruna,3,0,2,0,1,9,1,3,0,0
