HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Genoa,Lecce,0,0,0,0,3,7,2,3,0,0
Sassuolo,Napoli,0,2,0,1,1,2,3,1,1,0
Milan,Cremonese,1,2,1,1,9,2,1,4,0,0
Roma,Bologna,1,0,0,0,2,4,1,1,0,0
Cagliari,Fiorentina,1,1,0,0,3,2,4,2,0,0
Como,Lazio,2,0,0,0,6,0,2,3,0,0
Atalanta,Pisa,1,1,0,1,10,4,2,0,0,0
Juventus,Parma,2,0,0,0,6,6,1,2,1,0
Udinese,Verona,1,1,0,0,5,1,3,2,0,0
Inter,Torino,5,0,2,0,6,5,0,0,0,0
Cremonese,Sassuolo,3,2,2,0,5,4,2,2,0,0
Lecce,Milan,0,2,0,0,4,5,1,0,0,0
Bologna,Como,1,0,0,0,7,4,4,3,0,0
Parma,Atalanta,1,1,0,0,1,2,2,2,0,0
Napoli,Cagliari,1,0,0,0,13,0,2,1,0,0
Pisa,Roma,0,1,0,0,1,7,2,1,0,0
Genoa,Juventus,0,1,0,0,3,4,1,2,0,0
Torino,Fiorentina,0,0,0,0,7,3,2,2,0,0
Inter,Udinese,1,2,1,2,13,2,1,3,0,0
Lazio,Verona,4,0,3,0,8,1,0,0,0,0
Cagliari,Parma,2,0,1,0,4,5,3,1,0,0
Juventus,Inter,4,3,2,1,5,9,2,1,0,0
Fiorentina,Napoli,1,3,0,2,8,5,0,0,0,0
Roma,Torino,0,1,0,0,7,4,2,3,0,0
Atalanta,Lecce,4,1,1,0,8,2,0,0,0,0
Pisa,Udinese,0,1,0,1,8,6,1,2,0,0
Sassuolo,Lazio,1,0,0,0,3,7,6,3,0,0
Milan,Bologna,1,0,0,0,7,4,3,2,0,0
Verona,Cremonese,0,0,0,0,10,1,2,1,0,0
Como,Genoa,1,1,1,0,0,8,2,2,1,0
Lecce,Cagliari,1,2,1,1,4,7,2,3,0,0
Bologna,Genoa,2,1,0,0,8,2,1,5,0,0
Verona,Juventus,1,1,1,1,5,3,3,3,0,0
Udinese,Milan,0,3,0,1,1,4,2,0,0,0
Lazio,Roma,0,1,0,1,3,6,1,1,2,0
Cremonese,Parma,0,0,0,0,3,3,1,0,0,0
Torino,Atalanta,0,3,0,3,1,0,0,0,0,0
Fiorentina,Como,1,2,1,0,2,6,4,3,0,0
Inter,Sassuolo,2,1,1,0,7,3,2,1,0,0
Napoli,Pisa,3,2,1,0,5,3,1,2,0,0
Como,Cremonese,1,1,1,0,4,3,3,4,1,0
Juventus,Atalanta,1,1,0,1,14,5,0,3,0,1
Cagliari,Inter,0,2,0,1,4,4,0,2,0,0
Sassuolo,Udinese,3,1,2,0,1,5,0,3,0,0
Pisa,Fiorentina,0,0,0,0,4,6,0,1,0,0
Roma,Verona,2,0,1,0,8,1,0,4,0,0
Lecce,Bologna,2,2,1,1,3,9,4,2,0,0
Milan,Napoli,2,1,2,0,1,7,1,0,1,0
Parma,Torino,2,1,1,0,4,3,3,3,0,0
Genoa,Lazio,0,3,0,2,6,0,5,1,0,0
Verona,Sassuolo,0,1,0,0,4,2,2,2,0,0
Lazio,Torino,3,3,2,1,3,5,3,3,0,0
Parma,Lecce,0,1,0,1,4,9,1,2,0,0
Inter,Cremonese,4,1,2,0,13,1,1,1,0,0
Atalanta,Como,1,1,1,1,8,3,1,3,0,0
Udinese,Cagliari,1,1,0,1,7,2,1,2,0,0
Bologna,Pisa,4,0,3,0,2,2,0,1,0,1
Fiorentina,Roma,1,2,1,2,3,4,2,3,0,0
Napoli,Genoa,2,1,0,1,7,5,1,3,0,0
Juventus,Milan,0,0,0,0,6,0,2,2,0,0
Lecce,Sassuolo,0,0,0,0,6,4,2,2,0,0
Pisa,Verona,0,0,0,0,3,8,4,2,0,0
Torino,Napoli,1,0,1,0,3,11,1,2,0,0
Roma,Inter,0,1,0,1,4,5,4,3,0,0
Como,Juventus,2,0,1,0,4,1,3,1,0,0
Cagliari,Bologna,0,2,0,1,2,7,1,3,0,0
Genoa,Parma,0,0,0,0,3,0,2,5,0,1
Atalanta,Lazio,0,0,0,0,7,1,4,0,0,0
Milan,Fiorentina,2,1,0,0,1,3,3,3,0,0
Cremonese,Udinese,1,1,1,0,5,4,4,2,0,0
Milan,Pisa,2,2,1,0,6,2,1,3,0,0
Parma,Como,0,0,0,0,3,3,0,1,0,0
Udinese,Lecce,3,2,2,0,4,9,2,2,0,0
Napoli,Inter,3,1,1,0,1,4,2,1,0,0
Cremonese,Atalanta,1,1,0,0,2,10,3,1,0,0
Torino,Genoa,2,1,0,1,9,1,2,2,0,0
Sassuolo,Roma,0,1,0,1,6,6,3,2,0,0
Verona,Cagliari,2,2,1,0,3,2,3,4,0,0
Fiorentina,Bologna,2,2,0,1,5,6,3,5,0,1
Lazio,Juventus,1,0,1,0,2,5,2,4,0,0
Lecce,Napoli,0,1,0,0,3,5,2,1,0,0
Atalanta,Milan,1,1,1,1,9,4,1,3,0,0
Como,Verona,3,1,1,1,1,3,1,4,0,0
Juventus,Udinese,3,1,1,1,8,4,1,4,0,0
Roma,Parma,2,1,0,0,9,2,0,3,0,0
Bologna,Torino,0,0,0,0,3,3,2,3,0,0
Genoa,Cremonese,0,2,0,1,7,3,3,1,0,0
Inter,Fiorentina,3,0,0,0,8,5,1,2,0,1
Cagliari,Sassuolo,1,2,0,0,6,7,4,4,0,0
Pisa,Lazio,0,0,0,0,3,1,2,2,0,0
Udinese,Atalanta,1,0,1,0,5,4,1,3,0,0
Napoli,Como,0,0,0,0,4,2,3,2,0,0
Cremonese,Juventus,1,2,0,1,2,3,1,0,0,0
Verona,Inter,1,2,1,1,4,8,2,1,0,0
Fiorentina,Lecce,0,1,0,1,4,4,4,1,0,0
Torino,Pisa,2,2,2,2,4,2,2,1,0,0
Parma,Bologna,1,3,1,1,1,5,3,2,1,0
Milan,Roma,1,0,1,0,7,8,1,5,0,0
Sassuolo,Genoa,1,2,0,1,3,7,1,3,0,0
Lazio,Cagliari,2,0,0,0,7,5,0,2,0,0
Pisa,Cremonese,1,0,0,0,4,5,4,2,0,0
Como,Cagliari,0,0,0,0,10,0,3,1,0,0
Lecce,Verona,0,0,0,0,7,2,1,4,0,0
