HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Pescara,Cesena,1,3,1,1,3,5,1,1,0,0
Empoli,Padova,3,1,2,1,6,4,2,4,0,0
Virtus Entella,Juve Stabia,1,1,0,0,5,7,2,2,0,0
Monza,Mantova,1,0,0,0,9,1,3,3,0,0
Palermo,Reggiana,2,1,1,0,9,6,1,1,0,0
Spezia,Carrarese,0,2,0,1,7,3,5,2,1,0
Venezia,Bari,2,1,2,1,6,3,1,1,0,0
Catanzaro,Sudtirol,1,1,0,1,1,5,0,2,0,0
Frosinone,Avellino,2,0,2,0,6,1,3,2,1,0
Sampdoria,Modena,0,2,0,0,4,0,1,4,0,0
Reggiana,Empoli,3,1,1,1,8,2,0,1,0,2
Juve Stabia,Venezia,0,0,0,0,6,1,3,1,0,1
Mantova,Pescara,2,1,1,0,4,5,4,2,0,0
Cesena,Virtus Entella,1,1,0,0,8,2,2,3,0,0
Palermo,Frosinone,0,0,0,0,6,3,1,3,0,0
Spezia,Catanzaro,0,0,0,0,1,5,3,3,0,0
Carrarese,Padova,0,0,0,0,4,2,3,3,0,1
Sudtirol,Sampdoria,3,1,3,0,2,5,1,2,0,0
Bari,Monza,1,1,1,1,3,6,2,4,0,0
Modena,Avellino,1,1,0,0,7,2,2,5,0,1
Avellino,Monza,2,1,1,0,2,3,2,0,0,0
Juve Stabia,Reggiana,0,0,0,0,8,1,4,0,0,0
Modena,Bari,3,0,1,0,2,2,1,2,0,0
Padova,Frosinone,0,1,0,1,6,4,1,2,0,0
Pescara,Venezia,2,2,0,1,7,5,1,1,0,0
Catanzaro,Carrarese,1,1,0,0,6,8,4,3,0,0
Sampdoria,Cesena,1,2,0,1,1,2,4,2,0,0
Virtus Entella,Mantova,1,0,1,0,7,4,3,0,0,0
Sudtirol,Palermo,0,2,0,1,7,3,2,3,0,0
Empoli,Spezia,1,1,0,1,2,7,3,2,0,0
Frosinone,Sudtirol,2,2,2,0,5,4,2,2,0,0
Palermo,Bari,2,0,0,0,6,1,0,3,0,0
Reggiana,Catanzaro,2,2,1,1,3,3,1,2,0,0
Spezia,Juve Stabia,1,3,0,2,6,3,0,3,0,0
Venezia,Cesena,1,2,0,0,2,3,3,2,1,0
Monza,Sampdoria,1,0,0,0,2,1,1,2,1,1
Mantova,Modena,1,3,1,2,4,10,3,3,0,0
Carrarese,Avellino,3,4,2,2,9,2,1,5,0,1
Pescara,Empoli,4,0,0,0,6,5,1,2,0,0
Padova,Virtus Entella,2,1,0,1,5,8,0,5,0,1
Catanzaro,Juve Stabia,2,2,0,2,7,0,2,6,0,2
Avellino,Virtus Entella,2,0,1,0,3,8,1,2,0,0
Cesena,Palermo,1,1,1,0,2,1,2,1,0,0
Mantova,Frosinone,1,5,0,4,6,4,2,4,0,0
Sudtirol,Reggiana,3,1,2,0,10,4,1,0,0,0
Venezia,Spezia,2,0,1,0,7,2,1,2,0,1
Monza,Padova,0,1,0,0,7,3,1,2,0,0
Bari,Sampdoria,1,1,1,1,3,2,3,4,0,0
Modena,Pescara,2,1,0,1,4,0,3,3,0,0
Empoli,Carrarese,2,2,1,1,2,3,2,3,0,0
Frosinone,Cesena,3,1,0,0,7,3,1,1,1,0
Juve Stabia,Mantova,2,1,2,0,4,4,2,3,0,0
Padova,Avellino,2,2,2,2,4,1,2,1,0,0
Palermo,Venezia,0,0,0,0,4,3,5,2,1,0
Reggiana,Spezia,1,1,0,1,2,5,5,1,0,1
Virtus Entella,Bari,2,2,0,1,4,2,6,1,0,0
Carrarese,Modena,0,0,0,0,4,6,3,4,0,0
Empoli,Monza,1,1,0,0,4,4,2,2,0,0
Pescara,Sudtirol,1,1,0,0,5,2,2,3,0,0
Sampdoria,Catanzaro,0,0,0,0,3,5,0,1,0,0
Avellino,Mantova,0,0,0,0,8,7,2,3,0,0
Bari,Padova,2,1,0,0,7,7,2,0,0,1
Monza,Catanzaro,2,1,1,1,5,3,2,1,0,0
Venezia,Frosinone,3,0,2,0,3,7,3,4,0,0
Spezia,Palermo,1,2,0,1,5,5,1,3,0,0
Cesena,Reggiana,1,2,1,2,4,0,2,3,1,0
Carrarese,Juve Stabia,3,0,1,0,5,3,2,4,0,0
Sudtirol,Empoli,1,2,1,0,2,7,2,2,1,0
Sampdoria,Pescara,4,1,0,1,8,1,2,1,0,1
Modena,Virtus Entella,2,0,0,0,5,3,1,0,0,0
Virtus Entella,Sampdoria,3,1,2,0,12,5,3,1,0,0
Frosinone,Monza,0,1,0,1,5,2,1,3,0,0
Mantova,Sudtirol,1,1,0,1,5,2,1,3,0,0
Pescara,Carrarese,2,2,0,1,10,4,2,2,0,0
Reggiana,Bari,3,1,1,1,3,1,3,1,0,1
Juve Stabia,Avellino,2,0,2,0,6,3,2,1,0,1
Spezia,Cesena,1,2,1,2,6,4,1,4,0,0
Palermo,Modena,1,1,1,0,3,5,1,1,0,0
Empoli,Venezia,1,1,1,1,5,6,3,1,0,0
Catanzaro,Padova,0,1,0,1,8,4,3,4,0,0
Modena,Empoli,2,1,1,1,6,5,3,3,0,0
Avellino,Spezia,0,4,0,0,7,6,2,1,1,0
Monza,Reggiana,3,1,3,1,7,2,2,3,0,0
Sampdoria,Frosinone,1,1,0,1,5,8,0,3,0,0
Sudtirol,Cesena,0,1,0,1,8,4,2,2,0,0
Virtus Entella,Pescara,1,1,0,0,11,5,2,1,0,0
Carrarese,Venezia,3,2,1,1,6,4,5,4,0,0
Catanzaro,Palermo,1,0,1,0,2,8,3,3,0,0
Padova,Juve Stabia,2,2,1,1,2,3,2,2,0,0
Bari,Mantova,1,0,0,0,3,2,2,5,0,0
Cesena,Carrarese,2,1,1,0,5,4,1,1,0,0
Empoli,Sampdoria,1,1,0,0,4,5,3,1,1,1
Frosinone,Virtus Entella,4,0,1,0,10,3,1,0,0,0
Palermo,Monza,0,3,0,1,6,6,1,4,0,0
Pescara,Avellino,1,1,1,1,5,8,1,3,0,0
Reggiana,Modena,1,0,1,0,1,9,2,3,0,0
Mantova,Catanzaro,1,3,1,0,9,5,1,2,0,0
Spezia,Padova,1,1,1,0,3,3,1,6,0,0
Venezia,Sudtirol,3,0,2,0,1,4,1,2,0,0
Avellino,Reggiana,4,3,1,1,4,4,4,3,0,0
Carrarese,Frosinone,0,2,0,1,5,2,5,3,0,1
Padova,Sudtirol,1,1,0,1,1,8,4,3,0,0
Virtus Entella,Empoli,1,0,0,0,11,2,2,2,0,0
Palermo,Pescara,5,0,1,0,6,5,3,2,0,0
Bari,Cesena,1,0,0,0,3,4,1,1,0,0
Catanzaro,Venezia,2,1,0,0,2,5,1,4,0,0
Modena,Juve Stabia,3,0,1,0,3,7,1,3,0,0
Monza,Spezia,1,0,0,0,8,1,3,2,1,0
Sampdoria,Mantova,0,1,0,0,11,6,2,0,0,0
Spezia,Bari,1,1,1,1,4,12,4,2,1,0
Empoli,Catanzaro,1,0,0,0,2,4,5,4,1,0
