HomeTeam,AwayTeam,FTHG,FTAG
Elfsborg,Djurgarden,2,1
GAIS,Hacken,0,0
Sundsvall,Kalmar,0,1
AIK,Mjallby,0,0
Syrianska,Goteborg,2,1
Malmo FF,Gefle,0,0
Orebro,Atvidabergs,3,4
Norrkoping,Helsingborg,1,0
Atvidabergs,GAIS,2,1
Gefle,Syrianska,1,1
Hacken,Malmo FF,5,0
Mjallby,Orebro,0,0
Djurgarden,Sundsvall,1,0
Helsingborg,Elfsborg,2,1
Goteborg,Norrkoping,1,2
Kalmar,AIK,1,2
Atvidabergs,Gefle,6,1
GAIS,Djurgarden,0,0
Orebro,Helsingborg,0,0
Elfsborg,Norrkoping,2,0
Hacken,Mjallby,4,2
Sundsvall,Syrianska,4,0
AIK,Goteborg,1,1
Malmo FF,Kalmar,2,0
Syrianska,AIK,0,1
Goteborg,Orebro,2,2
Mjallby,Atvidabergs,2,0
Gefle,Elfsborg,1,2
Helsingborg,GAIS,1,1
Kalmar,Hacken,3,1
Norrkoping,Sundsvall,2,2
Djurgarden,Malmo FF,2,3
Mjallby,Djurgarden,4,3
Atvidabergs,Helsingborg,1,2
Kalmar,Gefle,0,1
GAIS,Norrkoping,2,0
AIK,Sundsvall,1,1
Hacken,Goteborg,1,2
Malmo FF,Syrianska,2,0
Orebro,Elfsborg,0,2
Elfsborg,GAIS,2,1
Gefle,AIK,0,1
Helsingborg,Mjallby,1,1
Syrianska,Hacken,1,2
Goteborg,Atvidabergs,2,1
Djurgarden,Kalmar,1,1
Sundsvall,Orebro,3,1
Norrkoping,Malmo FF,3,2
Atvidabergs,Hacken,0,3
Goteborg,Sundsvall,2,0
Syrianska,Elfsborg,1,4
Helsingborg,AIK,0,0
Djurgarden,Orebro,2,1
Gefle,Norrkoping,0,2
Mjallby,Malmo FF,2,2
Kalmar,GAIS,2,2
Sundsvall,Helsingborg,0,1
Norrkoping,Syrianska,1,4
Malmo FF,Atvidabergs,2,1
GAIS,Mjallby,2,2
Orebro,Kalmar,0,1
Elfsborg,Goteborg,1,0
AIK,Djurgarden,1,1
Hacken,Gefle,3,0
Malmo FF,Helsingborg,3,0
Syrianska,GAIS,2,0
Djurgarden,Atvidabergs,1,1
Kalmar,Mjallby,1,2
Norrkoping,Orebro,3,0
Elfsborg,AIK,1,0
Helsingborg,Hacken,3,2
Gefle,Sundsvall,0,0
Goteborg,Malmo FF,2,2
Atvidabergs,Syrianska,1,0
Hacken,Norrkoping,6,0
Kalmar,Helsingborg,1,1
Orebro,AIK,2,2
GAIS,Sundsvall,1,2
Mjallby,Goteborg,1,1
Djurgarden,Gefle,1,1
Malmo FF,Elfsborg,1,0
Atvidabergs,Kalmar,3,0
Hacken,Djurgarden,1,1
AIK,Norrkoping,5,2
Mjallby,Gefle,0,0
Orebro,Syrianska,0,1
Sundsvall,Elfsborg,0,3
GAIS,Goteborg,1,1
Gefle,Orebro,2,1
Helsingborg,Djurgarden,1,1
Norrkoping,Atvidabergs,2,2
Syrianska,Mjallby,2,1
AIK,GAIS,1,0
Elfsborg,Hacken,2,0
Goteborg,Kalmar,1,1
Sundsvall,Malmo FF,1,1
Atvidabergs,Elfsborg,5,1
Hacken,Sundsvall,1,2
Kalmar,Syrianska,3,0
Mjallby,Norrkoping,0,2
Helsingborg,Gefle,4,1
Malmo FF,AIK,4,0
Djurgarden,Goteborg,3,2
GAIS,Orebro,0,1
Sundsvall,Atvidabergs,3,3
Syrianska,Djurgarden,1,1
AIK,Hacken,3,1
Gefle,GAIS,0,0
Elfsborg,Mjallby,0,0
Norrkoping,Kalmar,2,1
Orebro,Malmo FF,2,1
Goteborg,Helsingborg,1,1
Atvidabergs,AIK,2,0
