HomeTeam,AwayTeam,FTHG,FTAG
Servette,Basel,0,1
Thun,Lausanne,0,0
Grasshoppers,Sion,0,2
Luzern,Zurich,1,1
St. Gallen,Young Boys,1,1
Basel,Luzern,2,2
Lausanne,St. Gallen,0,1
Sion,Servette,1,0
Young Boys,Grasshoppers,0,1
Zurich,Thun,0,2
Grasshoppers,Basel,2,2
St. Gallen,Zurich,3,1
Lausanne,Servette,5,1
Young Boys,Thun,3,0
Luzern,Sion,0,3
Sion,Basel,1,1
St. Gallen,Grasshoppers,1,1
Thun,Luzern,2,1
Zurich,Lausanne,4,0
Servette,Young Boys,1,1
Lausanne,Sion,0,2
Luzern,St. Gallen,1,1
Grasshoppers,Servette,1,0
Young Boys,Zurich,4,1
Basel,Thun,3,1
Basel,Lausanne,2,0
Thun,St. Gallen,0,1
Servette,Zurich,1,1
Sion,Young Boys,1,0
Luzern,Grasshoppers,0,2
Grasshoppers,Thun,1,0
St. Gallen,Basel,2,1
Servette,Luzern,0,2
Zurich,Sion,1,0
Young Boys,Lausanne,0,0
Lausanne,Grasshoppers,0,2
Sion,St. Gallen,0,3
Luzern,Young Boys,1,2
Thun,Servette,3,0
Basel,Zurich,0,0
Sion,Thun,2,1
Zurich,Grasshoppers,0,1
Lausanne,Luzern,1,0
St. Gallen,Servette,2,0
Young Boys,Basel,1,1
Servette,Lausanne,0,1
Zurich,St. Gallen,0,2
Basel,Sion,4,1
Grasshoppers,Luzern,2,0
Thun,Young Boys,2,1
Lausanne,Basel,1,1
Luzern,Thun,2,1
Young Boys,Servette,6,2
Sion,Zurich,2,2
Grasshoppers,St. Gallen,1,0
St. Gallen,Lausanne,2,1
Thun,Grasshoppers,2,3
Sion,Luzern,3,2
Zurich,Young Boys,1,1
Basel,Servette,3,2
Servette,St. Gallen,1,1
Thun,Sion,1,1
Lausanne,Zurich,0,2
Luzern,Basel,1,0
Grasshoppers,Young Boys,3,2
Sion,Lausanne,1,1
Servette,Grasshoppers,2,0
St. Gallen,Thun,1,0
Zurich,Basel,1,2
Basel,Young Boys,2,0
Grasshoppers,Lausanne,1,1
Luzern,Servette,1,1
Thun,Zurich,1,4
St. Gallen,Sion,0,3
Lausanne,Thun,3,0
Zurich,Luzern,0,2
Servette,Sion,0,2
Young Boys,St. Gallen,0,0
Basel,Grasshoppers,4,0
Sion,Grasshoppers,1,1
Zurich,Servette,0,2
Lausanne,Young Boys,2,1
St. Gallen,Luzern,1,1
Thun,Basel,3,2
Young Boys,Luzern,2,1
Basel,St. Gallen,1,0
Luzern,Lausanne,0,0
Servette,Thun,0,0
Young Boys,Sion,3,1
Grasshoppers,Zurich,1,0
Servette,Grasshoppers,0,1
Young Boys,Luzern,3,2
Zurich,Lausanne,2,0
Basel,Sion,3,0
Grasshoppers,Young Boys,2,0
Sion,St. Gallen,1,0
Lausanne,Basel,1,2
Luzern,Zurich,1,1
Thun,Servette,1,1
Servette,Lausanne,1,0
Zurich,Young Boys,4,0
St. Gallen,Luzern,4,0
Thun,Sion,4,0
Basel,Grasshoppers,0,0
Luzern,Thun,0,0
Zurich,Sion,3,1
Servette,Basel,1,2
Young Boys,St. Gallen,2,0
Lausanne,Grasshoppers,0,0
Grasshoppers,St. Gallen,3,1
Luzern,Servette,1,1
Sion,Lausanne,0,1
Thun,Zurich,0,4
Basel,Young Boys,3,0
St. Gallen,Thun,0,0
Servette,Zurich,1,2
St. Gallen,Lausanne,3,1
Basel,Thun,1,0
Young Boys,Sion,0,0
Grasshoppers,Luzern,0,0
Sion,Servette,1,1
Thun,Grasshoppers,1,0
Zurich,St. Gallen,1,3
Lausanne,Young Boys,0,0
Luzern,Basel,0,4
Sion,Luzern,2,1
Zurich,Grasshoppers,2,4
Lausanne,Thun,2,4
Young Boys,Servette,0,2
St. Gallen,Basel,1,1
Luzern,Lausanne,1,0
Servette,St. Gallen,1,3
Basel,Zurich,3,1
Young Boys,Thun,1,2
Grasshoppers,Sion,1,1
Lausanne,St. Gallen,1,3
Zurich,Servette,4,0
Luzern,Grasshoppers,1,1
Thun,Basel,2,2
Sion,Young Boys,0,0
Grasshoppers,Thun,0,2
Basel,Luzern,0,3
Young Boys,Lausanne,3,1
St. Gallen,Zurich,1,2
Lausanne,Zurich,1,1
Grasshoppers,Servette,2,0
St. Gallen,Young Boys,3,1
Sion,Basel,0,1
Thun,Luzern,1,1
Young Boys,Grasshoppers,4,0
Lausanne,Sion,1,3
Luzern,St. Gallen,2,0
Zurich,Basel,3,1
Servette,Thun,2,0
Luzern,Young Boys,3,1
St. Gallen,Sion,5,0
Basel,Servette,2,0
Thun,Lausanne,2,0
Grasshoppers,Zurich,0,1
Basel,Lausanne,2,0
Sion,Grasshoppers,0,4
Thun,St. Gallen,3,0
Servette,Young Boys,0,1
Zurich,Luzern,4,1
Servette,Sion,4,0
Lausanne,Luzern,3,0
Sion,Thun,0,1
St. Gallen,Servette,4,1
Young Boys,Zurich,2,4
Grasshoppers,Basel,1,0
Lausanne,Servette,3,0
Luzern,Sion,2,0
St. Gallen,Grasshoppers,1,2
Young Boys,Basel,0,1
Zurich,Thun,2,0
Basel,St. Gallen,1,0
Grasshoppers,Lausanne,4,1
Servette,Luzern,3,4
Sion,Zurich,4,2
Thun,Young Boys,2,2
Basel,Aarau,3,1
Young Boys,Sion,2,0
Luzern,Lausanne,2,0
Zurich,Thun,3,2
St. Gallen,Grasshoppers,0,2
Aarau,Luzern,4,2
Lausanne,Young Boys,1,3
Sion,Zurich,0,0
Thun,St. Gallen,3,2
Grasshoppers,Basel,1,1
Basel,Lausanne,2,0
Grasshoppers,Aarau,4,2
