HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Gaziantep,Galatasaray,0,3,0.0,3.0,1.0,4.0,2.0,4.0,1.0,0.0
Samsunspor,Genclerbirligi,2,1,1.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0
Antalyaspor,Kasimpasa,2,1,2.0,1.0,3.0,3.0,3.0,4.0,0.0,0.0
Rizespor,Goztep,0,3,0.0,0.0,3.0,5.0,2.0,1.0,0.0,0.0
Eyupspor,Konyaspor,1,4,0.0,3.0,8.0,7.0,2.0,1.0,0.0,0.0
Trabzonspor,Kocaelispor,1,0,0.0,0.0,3.0,5.0,2.0,0.0,0.0,0.0
Galatasaray,Karagumruk,3,0,1.0,0.0,10.0,3.0,0.0,1.0,0.0,1.0
Kocaelispor,Samsunspor,0,1,0.0,0.0,4.0,7.0,2.0,2.0,1.0,0.0
Alanyaspor,Rizespor,0,0,0.0,0.0,3.0,1.0,1.0,2.0,0.0,0.0
Goztep,Fenerbahce,0,0,0.0,0.0,3.0,6.0,6.0,4.0,1.0,1.0
Genclerbirligi,Antalyaspor,0,1,0.0,0.0,8.0,3.0,0.0,2.0,0.0,0.0
Konyaspor,Gaziantep,3,0,1.0,0.0,2.0,6.0,3.0,3.0,0.0,0.0
Besiktas,Eyupspor,2,1,1.0,1.0,10.0,3.0,2.0,2.0,0.0,0.0
Buyuksehyr,Kayserispor,1,1,1.0,0.0,5.0,7.0,1.0,1.0,0.0,0.0
Kasimpasa,Trabzonspor,0,1,0.0,0.0,6.0,4.0,2.0,2.0,0.0,0.0
Karagumruk,Goztep,0,2,0.0,1.0,4.0,6.0,2.0,2.0,0.0,0.0
Fenerbahce,Kocaelispor,3,1,1.0,1.0,6.0,0.0,1.0,3.0,0.0,0.0
Gaziantep,Genclerbirligi,2,1,1.0,1.0,10.0,4.0,3.0,6.0,0.0,1.0
Trabzonspor,Antalyaspor,1,0,1.0,0.0,5.0,5.0,1.0,2.0,0.0,0.0
Kayserispor,Galatasaray,0,4,0.0,1.0,6.0,3.0,2.0,2.0,0.0,0.0
Eyupspor,Alanyaspor,2,1,1.0,0.0,0.0,5.0,3.0,3.0,0.0,0.0
Goztep,Konyaspor,1,1,0.0,0.0,5.0,6.0,2.0,2.0,0.0,0.0
Kasimpasa,Gaziantep,2,3,0.0,2.0,3.0,4.0,4.0,4.0,0.0,0.0
Kocaelispor,Kayserispor,1,1,0.0,0.0,4.0,7.0,3.0,2.0,0.0,0.0
Antalyaspor,Karagumruk,1,2,1.0,1.0,7.0,4.0,0.0,2.0,0.0,0.0
Galatasaray,Rizespor,3,1,1.0,0.0,5.0,2.0,1.0,4.0,0.0,0.0
Buyuksehyr,Eyupspor,0,0,0.0,0.0,5.0,4.0,4.0,5.0,0.0,0.0
Genclerbirligi,Fenerbahce,1,3,0.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0
Alanyaspor,Besiktas,2,0,1.0,0.0,2.0,6.0,1.0,3.0,0.0,0.0
Trabzonspor,Samsunspor,1,1,1.0,0.0,2.0,10.0,1.0,4.0,0.0,0.0
Eyupspor,Galatasaray,0,2,0.0,0.0,6.0,6.0,2.0,1.0,0.0,0.0
Karagumruk,Kasimpasa,0,1,0.0,1.0,6.0,4.0,0.0,4.0,0.0,1.0
Samsunspor,Antalyaspor,1,2,0.0,1.0,6.0,2.0,4.0,2.0,0.0,0.0
