HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,HC,AC,HY,AY,HR,AR
Man United,Fulham,1,0,0,0,7,8,2,3,0,0
Ipswich,Liverpool,0,2,0,0,2,10,3,1,0,0
Arsenal,Wolves,2,0,1,0,8,2,2,2,0,0
Everton,Brighton,0,3,0,1,1,5,1,1,1,0
Newcastle,Southampton,1,0,1,0,3,12,2,4,1,0
Nott'm Forest,Bournemouth,1,1,1,0,2,6,1,3,0,0
West Ham,Aston Villa,1,2,1,1,5,3,1,2,0,0
Brentford,Crystal Palace,2,1,1,0,4,7,1,5,0,0
Chelsea,Man City,0,2,0,1,4,3,1,1,0,0
Leicester,Tottenham,1,1,0,1,2,13,1,1,0,0
Brighton,Man United,2,1,1,0,4,4,1,2,0,0
Crystal Palace,West Ham,0,2,0,0,3,3,1,1,0,0
Fulham,Leicester,2,1,1,1,7,5,2,2,0,0
Man City,Ipswich,4,1,3,1,10,1,2,3,0,0
Southampton,Nott'm Forest,0,1,0,0,4,10,3,3,0,0
Tottenham,Everton,4,0,2,0,12,5,0,0,0,0
Aston Villa,Arsenal,0,2,0,0,4,1,1,3,0,0
Bournemouth,Newcastle,1,1,1,0,8,9,2,2,0,0
Wolves,Chelsea,2,6,2,2,5,5,2,3,0,0
Liverpool,Brentford,2,0,1,0,9,4,2,3,0,0
Arsenal,Brighton,1,1,1,0,3,7,3,2,1,0
Brentford,Southampton,3,1,1,0,2,8,2,1,0,0
Everton,Bournemouth,2,3,0,0,8,4,2,1,0,0
Ipswich,Fulham,1,1,1,1,8,6,2,3,0,0
Leicester,Aston Villa,1,2,0,1,1,4,4,5,0,0
Nott'm Forest,Wolves,1,1,1,1,7,3,3,4,0,0
West Ham,Man City,1,3,1,2,3,11,3,2,0,0
Chelsea,Crystal Palace,1,1,1,0,4,5,4,2,0,0
Newcastle,Tottenham,2,1,1,0,7,12,4,4,0,0
Man United,Liverpool,0,3,0,2,5,2,4,1,0,0
Southampton,Man United,0,3,0,2,0,7,1,4,1,0
Brighton,Ipswich,0,0,0,0,9,2,4,3,0,0
Crystal Palace,Leicester,2,2,0,1,5,2,0,3,0,0
Fulham,West Ham,1,1,1,0,3,2,2,3,0,0
Liverpool,Nott'm Forest,0,1,0,0,7,2,4,4,0,0
Man City,Brentford,2,1,2,1,12,3,3,1,0,0
Aston Villa,Everton,3,2,1,2,6,2,1,4,0,0
Bournemouth,Chelsea,0,1,0,0,6,3,6,8,0,0
Tottenham,Arsenal,0,1,0,0,7,6,5,3,0,0
Wolves,Newcastle,1,2,1,0,4,7,3,3,0,0
West Ham,Chelsea,0,3,0,2,6,5,5,2,0,0
Aston Villa,Wolves,3,1,0,1,6,5,3,6,0,0
Fulham,Newcastle,3,1,2,0,6,0,6,0,0,0
Leicester,Everton,1,1,0,1,6,1,1,2,0,0
Liverpool,Bournemouth,3,0,3,0,3,9,1,4,0,0
Southampton,Ipswich,1,1,1,0,2,10,4,4,0,0
Tottenham,Brentford,3,1,2,1,9,4,3,1,0,0
Crystal Palace,Man United,0,0,0,0,4,11,3,1,0,0
Brighton,Nott'm Forest,2,2,2,1,9,1,3,4,0,1
Man City,Arsenal,2,2,1,2,8,2,3,4,0,1
Newcastle,Man City,1,1,0,1,5,6,4,4,0,0
Arsenal,Leicester,4,2,2,0,17,0,2,4,0,0
Brentford,West Ham,1,1,1,0,7,7,2,3,0,0
Chelsea,Brighton,4,2,4,2,8,2,3,2,0,0
Everton,Crystal Palace,2,1,0,1,5,8,2,1,0,0
Nott'm Forest,Fulham,0,1,0,0,6,5,2,4,0,0
Wolves,Liverpool,1,2,0,1,2,10,2,3,0,0
Ipswich,Aston Villa,2,2,1,2,10,0,4,1,0,0
Man United,Tottenham,0,3,0,1,5,3,5,3,1,0
Bournemouth,Southampton,3,1,3,0,7,4,2,5,0,0
Crystal Palace,Liverpool,0,1,0,1,3,8,4,2,0,0
Arsenal,Southampton,3,1,0,0,13,1,0,3,0,0
Brentford,Wolves,5,3,4,2,10,3,2,3,0,0
Leicester,Bournemouth,1,0,1,0,0,9,4,1,0,0
Man City,Fulham,3,2,1,1,8,3,2,1,0,0
West Ham,Ipswich,4,1,2,1,5,5,0,1,0,0
Everton,Newcastle,0,0,0,0,0,10,1,2,0,0
Aston Villa,Man United,0,0,0,0,6,3,1,5,0,0
Chelsea,Nott'm Forest,1,1,0,0,11,3,6,2,0,1
Brighton,Tottenham,3,2,0,2,4,7,2,2,0,0
Tottenham,West Ham,4,1,1,1,13,5,1,3,0,1
Fulham,Aston Villa,1,3,1,1,6,11,3,3,1,1
Ipswich,Everton,0,2,0,2,5,8,1,1,0,0
Man United,Brentford,2,1,0,1,9,2,2,2,0,0
Newcastle,Brighton,0,1,0,1,9,4,2,2,0,0
Southampton,Leicester,2,3,2,0,10,6,5,3,1,0
Bournemouth,Arsenal,2,0,0,0,7,4,1,1,0,1
Wolves,Man City,1,2,1,1,1,18,4,1,0,0
Liverpool,Chelsea,2,1,1,0,1,6,4,3,0,0
Nott'm Forest,Crystal Palace,1,0,0,0,6,6,2,3,0,0
Leicester,Nott'm Forest,1,3,1,1,6,7,5,2,0,0
Aston Villa,Bournemouth,1,1,0,0,9,7,7,6,0,0
Brentford,Ipswich,4,3,2,2,5,5,0,1,0,1
Brighton,Wolves,2,2,1,0,9,6,3,3,0,0
Man City,Southampton,1,0,1,0,12,1,1,3,0,0
Everton,Fulham,1,1,0,0,4,2,1,0,0,0
Chelsea,Newcastle,2,1,1,1,7,4,6,3,0,0
Crystal Palace,Tottenham,1,0,1,0,8,8,4,4,0,0
West Ham,Man United,2,1,0,0,6,5,5,1,0,0
Arsenal,Liverpool,2,2,2,1,1,3,2,2,0,0
Newcastle,Arsenal,1,0,1,0,4,6,4,4,0,0
Bournemouth,Man City,2,1,1,0,3,10,2,1,0,0
Ipswich,Leicester,1,1,0,0,4,6,4,2,1,0
Liverpool,Brighton,2,1,0,1,10,7,1,1,0,0
Nott'm Forest,West Ham,3,0,1,0,11,6,1,2,0,1
Southampton,Everton,1,0,0,0,3,6,4,2,0,0
Wolves,Crystal Palace,2,2,0,0,3,6,1,2,0,0
Tottenham,Aston Villa,4,1,0,1,6,4,2,0,0,0
Man United,Chelsea,1,1,0,0,4,8,6,2,0,0
Fulham,Brentford,2,1,0,1,11,3,2,1,0,0
Brentford,Bournemouth,3,2,1,1,6,4,2,4,0,0
Crystal Palace,Fulham,0,2,0,1,1,8,1,1,1,0
West Ham,Everton,0,0,0,0,7,6,1,2,0,0
Wolves,Southampton,2,0,1,0,1,9,1,4,0,0
Brighton,Man City,2,1,0,1,0,4,3,3,0,0
Liverpool,Aston Villa,2,0,1,0,2,9,0,3,0,0
Man United,Leicester,3,0,2,0,1,5,0,1,0,0
Nott'm Forest,Newcastle,1,3,1,0,4,5,1,1,0,0
Tottenham,Ipswich,1,2,0,2,12,2,1,5,0,0
Chelsea,Arsenal,1,1,0,0,4,3,4,2,0,0
Leicester,Chelsea,1,2,0,1,2,9,4,3,0,0
Arsenal,Nott'm Forest,3,0,1,0,8,1,3,2,0,0
Aston Villa,Crystal Palace,2,2,1,2,10,1,3,2,0,0
Bournemouth,Brighton,1,2,0,1,7,0,2,2,0,1
Everton,Brentford,0,0,0,0,10,4,0,0,0,1
Fulham,Wolves,1,4,1,1,7,2,3,0,0,0
Man City,Tottenham,0,4,0,2,9,3,4,2,0,0
Southampton,Liverpool,2,3,1,1,3,10,3,4,0,0
Ipswich,Man United,1,1,1,1,4,3,0,0,0,0
